Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,12.956,15.862,23.125,28.446,32.825,35.918,32.938,29.976,30.341,28.353,21.323,16.129
1902,15.861,18.353,25.034,29.455,33.384,33.598,30.836,30.934,29.324,26.621,20.372,14.742
1903,14.511,16.371,21.813,27.656,32.344,35.886,33.237,29.817,30.274,26.125,19.735,14.533
1904,13.973,17.513,22.414,29.747,32.393,34.634,29.947,28.947,29.023,26.493,19.663,15.554
1905,12.559,12.592,19.322,26.305,33.794,35.756,31.955,30.217,31.051,27.276,21.861,15.772
1906,13.58,15.178,20.674,28.617,35.223,33.587,31.536,29.587,28.825,26.986,21.505,16.229
1907,15.995,14.982,19.792,26.328,31.446,34.519,33.584,29.378,30.774,27.326,20.872,14.382
1908,13.884,17.183,22.566,29.889,32.903,35.467,29.968,28.507,29.334,26.137,19.903,14.631
1909,13.56,15.791,22.938,26.88,32.137,32.539,29.72,29.268,29.028,26.797,21.682,14.712
1910,13.746,16.973,22.816,28.07,33.444,33.647,30.999,29.688,29.484,25.314,19.661,14.9
1911,15.748,17.392,20.683,28.637,34.657,34.686,32.965,30.768,28.923,26.976,18.536,14.771
1912,14.781,17.894,22.058,28.705,33.662,35.884,31.916,29.717,28.306,26.593,19.43,14.938
1913,14.922,16.57,20.535,30.005,31.315,32.297,31.189,31.096,31.213,27.722,20.211,15.104
1914,16.253,16.71,22.263,29.345,33.341,33.697,30.809,29.715,29.733,25.386,20.88,14.481
1915,14.253,15.215,22.386,28.516,35.323,34.576,33.204,30.836,30.963,28.436,20.713,15.799
1916,15.163,16.482,25.479,30.525,33.236,33.167,31.038,29.109,29.224,25.975,18.776,14.221
1917,14.752,17.132,22.292,25.667,28.981,33.147,30.078,28.89,28.155,25.025,17.998,15.09
1918,13.592,17.278,22.355,26.697,34.923,33.948,34.123,31.762,30.722,27.223,20.381,14.328
1919,14.36,15.965,23.15,28.064,32.501,36.133,30.248,29.147,29.465,26.166,19.824,14.491
1920,14.507,16.182,22.719,28.585,30.123,33.105,30.316,30.424,31.291,28.202,21.91,16.161
1921,15.298,18.053,25.746,31.904,36.163,35.194,33.342,29.377,28.711,25.764,20.302,16.849
1922,14.039,18.271,24.405,29.706,33.886,33.658,31.195,28.938,28.524,25.977,19.972,14.737
1923,14.214,16.081,23.337,29.805,32.766,36.665,31.796,28.87,29.503,25.584,20.062,15.11
1924,13.322,16.463,23.946,29.517,30.612,36.317,31.226,29.407,28.583,25.647,19.873,15.331
