Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,14.701,18.102,23.367,29.431,33.061,35.095,30.49,28.306,27.634,26.341,20.372,15.94
1902,16.904,18.802,26.498,30.193,34.233,34.805,29.571,28.972,27.94,25.572,19.677,15.402
1903,16.466,17.801,24.035,30.038,33.529,34.097,30.734,28.868,28.707,25.646,19.239,15.139
1904,16.269,18.27,24.337,30.934,32.861,31.996,28.236,27.74,27.938,25.639,19.403,16.735
1905,15.066,14.897,22.568,27.166,33.069,36.102,29.367,28.203,27.938,25.308,20.402,16.134
1906,15.636,18.265,23.131,30.032,34.831,33.368,29.472,28.27,28.405,25.872,20.774,16.801
1907,17.037,17.702,22.495,27.561,32.094,32.691,31.322,28.211,28.83,26.536,20.435,15.236
1908,14.535,18.863,23.864,31.732,34.493,34.668,29.67,28.51,28.934,25.537,19.636,15.369
1909,18.195,17.805,24.196,28.031,33.663,30.009,28.507,28.173,28.142,25.308,20.604,16.636
1910,15.433,18.502,24.536,30.169,33.467,31.733,29.498,28.143,28.438,25.642,19.577,15.536
1911,18.529,17.998,22.935,29.67,34.73,31.161,31.071,28.076,27.707,25.872,20.067,15.236
1912,16.268,19.735,24.105,29.766,33.66,34.434,29.671,28.14,27.838,25.741,19.736,15.305
1913,15.867,18.83,22.334,30.561,31.93,29.534,29.364,28.371,28.302,25.929,19.565,16.1
1914,17,19.663,23.528,28.962,32.256,32.658,29.141,28.305,28.166,24.902,21.339,16.405
1915,16.733,18.299,23.772,30.003,35.094,33.804,30.274,28.572,28.075,26.946,21.415,15.97
1916,15.367,18.896,25.708,31.336,34.2,29.977,29.27,27.94,28.14,26.373,20.152,14.672
1917,15.768,18.565,23.401,27.767,29.898,31.036,28.971,28.205,27.937,26.075,18.952,15.936
1918,14.867,18.764,24.566,28.966,33.728,29.7,31.125,28.033,28.334,25.266,19.832,15.468
1919,17.728,17.499,24.601,28.993,32.586,32.09,28.44,28.205,27.935,25.24,20.442,15.804
1920,15.802,18.568,24.566,29.867,31.361,33.935,28.638,28.208,28.564,26.501,20.901,16.037
1921,16.999,18.269,26.437,31.662,36.031,32.53,30.225,27.409,27.767,24.969,18.805,17.094
1922,16.105,19.499,24.968,29.761,34.625,30.787,28.137,27.373,27.232,24.162,19.499,15.539
1923,15.836,18.3,23.595,30.601,34.231,35.298,28.968,27.845,28.333,24.77,19.935,16.932
1924,15.9,18.865,25.997,30.965,33.066,35.432,28.44,28.139,27.767,25.871,20.206,16.106
1925,14.831,17.397,23.966,30.338,32.333,31.465,27.84,28.439,28.14,25.871,20.044,15.471
1926,15.967,19.529,23.465,26.899,31.624,35.268,30.196,28.405,27.605,25.074,18.335,15.673
1927,15.334,18.465,22.601,29.296,32.556,33.868,29.536,28.071,28.934,25.871,19.876,17.034
1928,16.195,18.929,24.803,28.896,33.858,31.597,28.736,28.87,29.006,26.84,21.034,16.902
1929,16.069,17.535,25.069,30.528,34.66,33.067,28.868,27.311,29.064,25.071,20.075,15.604
1930,15.565,18.1,24.967,29.332,32.856,33.367,28.57,27.942,28.408,26.505,20.173,15.734
1931,17.697,18.369,23.8,30.929,34.162,34.196,29.464,28.675,28.473,25.878,20.209,16.769
1932,17.634,18.065,24.667,29.665,33.061,34.568,29.895,28.139,28.538,26.172,20.381,15.936
