Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,14.486,18.177,23.95,30.041,33.35,35.659,31.411,29.495,28.657,27.584,21.472,16.934
1902,17.268,19.361,26.52,30.331,34.292,35.091,30.603,29.718,29.079,26.316,20.817,16.01
1903,16.246,17.899,23.928,30.515,33.901,34.626,31.976,29.512,29.755,26.804,20.602,16.217
1904,16.44,18.905,24.634,31.555,32.879,32.827,29.687,28.845,28.876,26.737,20.229,16.946
1905,14.68,14.599,22.199,27.528,33.398,36.187,30.482,28.833,28.988,26.605,21.321,16.444
1906,15.601,17.656,23.165,30.634,35.154,33.915,30.724,29.065,29.378,26.838,22.016,17.395
1907,17.644,17.749,21.934,27.923,32.239,33.582,31.86,29.594,29.711,27.678,21.244,16.173
1908,14.923,18.816,24.39,32.434,34.473,35.294,30.72,29.601,29.726,26.745,20.546,16.066
1909,17.746,17.634,25.013,28.581,33.939,31.417,30.06,29.217,29.559,26.949,21.421,17.05
1910,15.605,18.624,25.087,30.754,33.76,32.6,30.324,29.341,29.378,26.604,20.572,16.049
1911,17.65,18.261,22.943,30.256,35.099,32.178,32.186,29.54,28.837,26.816,20.062,15.689
1912,16.24,19.794,24.538,29.981,33.625,34.771,30.803,29.218,28.777,26.843,20.183,15.956
1913,15.861,18.551,22.466,30.951,32.199,30.768,30.398,29.65,29.456,26.552,20.017,16.307
1914,17.256,19.234,23.523,29.261,32.456,33.189,30.508,29.118,29.005,25.573,21.877,16.929
1915,16.739,17.921,24.126,30.586,35.027,34.231,31.508,29.34,29.284,28.273,22.578,16.743
1916,15.861,18.417,26.843,31.787,34.768,31.516,30.333,28.961,29.139,27.217,21.542,15.472
1917,15.662,18.317,23.619,27.956,30.099,32.105,30.165,29.417,28.715,26.816,20.628,16.367
1918,14.791,18.854,24.927,29.303,34.07,30.99,31.904,29.236,29.335,26.379,20.485,15.683
1919,16.179,17.144,24.771,28.984,32.474,32.784,29.893,29.417,28.894,26.39,21.195,16.329
1920,16.228,18.25,24.177,30.365,31.386,34.27,30,29.417,29.291,27.198,21.645,17.094
1921,16.772,18.899,27.146,32.065,36.422,33.118,30.871,28.799,28.395,25.778,19.92,16.951
1922,16.102,19.74,25.734,30.273,34.963,31.635,29.633,28.693,28.156,25.097,20.314,16.267
1923,16.067,18.163,24.229,31.394,34.378,35.886,30.165,29.422,29.074,25.701,20.775,16.952
