Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,14.816,18.458,24.017,30.089,33.358,35.568,31.235,29.441,28.614,27.503,21.455,17.016
1902,17.44,19.458,26.687,30.382,34.379,35.143,30.53,29.74,29.067,26.347,20.839,16.039
1903,16.52,18.157,24.183,30.645,33.954,34.551,31.823,29.503,29.73,26.774,20.552,16.178
1904,16.661,18.978,24.837,31.623,32.969,32.678,29.504,28.837,28.884,26.667,20.295,17.134
1905,15.058,14.822,22.486,27.62,33.439,36.284,30.36,28.781,28.942,26.54,21.336,16.56
1906,15.897,18.075,23.324,30.676,35.176,33.929,30.59,29.029,29.383,26.808,21.978,17.456
1907,17.741,18.113,22.242,27.972,32.318,33.398,31.759,29.56,29.659,27.561,21.276,16.2
1908,14.98,18.963,24.471,32.452,34.562,35.257,30.63,29.659,29.711,26.693,20.572,16.118
1909,18.137,17.875,25.018,28.581,34.002,31.302,29.924,29.126,29.451,26.778,21.459,17.103
1910,15.664,18.873,25.164,30.823,33.811,32.503,30.228,29.319,29.383,26.649,20.624,16.138
1911,18.02,18.36,23.167,30.323,35.112,32.035,32.094,29.477,28.791,26.808,20.197,15.755
1912,16.52,20.038,24.687,30.07,33.673,34.78,30.694,29.2,28.784,26.827,20.322,16.056
1913,16.02,18.894,22.644,31.046,32.265,30.636,30.277,29.558,29.36,26.529,20.115,16.592
1914,17.379,19.634,23.713,29.301,32.476,33.14,30.373,29.101,28.942,25.6,21.997,17.079
1915,16.922,18.196,24.273,30.634,35.114,34.226,31.413,29.3,29.25,28.246,22.645,16.82
1916,15.981,18.661,26.844,31.814,34.839,31.384,30.266,28.901,29.131,27.23,21.557,15.538
1917,15.843,18.539,23.767,28.174,30.202,32.024,30.067,29.377,28.747,26.87,20.606,16.496
1918,14.979,18.94,25.057,29.367,34.034,30.836,31.797,29.159,29.277,26.304,20.565,15.898
1919,16.661,17.356,24.978,29.112,32.587,32.649,29.722,29.377,28.878,26.34,21.317,16.496
1920,16.301,18.578,24.45,30.439,31.565,34.351,29.899,29.4,29.281,27.193,21.711,17.023
1921,17.101,18.937,27.152,32.122,36.466,33.096,30.775,28.797,28.475,25.777,19.944,17.038
1922,16.496,19.916,25.76,30.324,34.978,31.48,29.475,28.678,28.113,25.044,20.362,16.496
1923,16.239,18.515,24.248,31.399,34.487,35.833,30.045,29.396,29.101,25.696,20.848,17.134
1924,15.835,18.975,26.434,31.538,33.179,36.007,29.823,29.101,28.481,26.838,21.058,16.939
1925,14.86,17.362,24.565,31.076,32.945,32.08,29.223,29.48,29.131,26.664,20.887,15.921
1926,15.996,19.579,23.499,27.35,31.944,36.009,30.965,29.417,28.744,26.157,19.124,16.539
1927,15.101,18.352,23.241,29.847,32.599,34.429,30.59,29.217,29.687,26.76,20.861,17.459
1928,15.763,19.039,25.315,29.446,34.22,32.397,29.98,30.103,30.209,27.807,21.578,17.417
1929,16.219,17.856,25.727,30.885,34.935,33.737,30.022,28.62,29.621,25.96,21.141,16.239
1930,15.5,18.439,25.581,29.993,33.148,33.828,29.679,29.101,29.53,27.163,21.064,16.219
1931,17.46,18.436,24.382,31.559,34.268,34.86,30.377,29.961,29.306,26.902,21.164,17.495
1932,17.76,18.097,25.239,30.257,33.389,35.237,30.694,29.137,29.383,27.044,21.745,16.443
1933,14.644,19.813,25.32,28.199,31.168,32.322,30.045,29.281,29.148,26.578,21.038,16.881
1934,16.135,19.258,24.505,30.864,33.982,33.376,30.045,29.3,29.482,26.203,21.118,17.313
1935,15.294,19.295,24.792,27.685,34.442,34.706,30.485,28.699,28.867,26.279,21.012,16.68
1936,15.379,18.949,25.226,29.456,33.821,30.991,29.58,29.101,28.622,25.531,21.417,17.241
1937,14.858,18.953,23.639,28.401,32.918,33.866,30.418,28.243,29.203,25.874,20.824,15.53
1938,16.228,17.157,26.303,31.092,33.482,31.44,30.05,29.101,29.319,27.06,20.358,16.499
1939,17.078,19.375,23.3,29.611,34.906,32.884,29.941,28.933,28.78,26.741,20.991,16.799
1940,16.017,18.498,22.9,29.092,33.67,34.166,29.997,29.317,28.776,27.063,22.131,16.733
1941,16.253,19.434,26.88,32.58,33.881,32.844,31.306,29.516,29.4,27.322,21.295,17.698
1942,15.916,19.415,25.578,30.52,35.197,34.826,30.362,29.3,28.464,26.701,22.418,17.036
1943,18.454,18.717,25.736,28.724,34.682,34.246,30.5,28.637,29.324,26.821,21.818,17.895
1944,16.139,18.637,23.639,28.38,35.362,33.648,30.243,29.377,29.978,26.081,21.639,18.221
1945,15.077,18.078,25.26,28.703,33.542,34.525,31.242,30.121,29.101,25.561,20.88,15.618
1946,16.884,20.876,24.72,29.482,32.502,32.905,29.888,29.661,29.388,26.581,21.276,18.062
1947,15.936,19.515,25.94,31.82,34.124,35.042,30.21,29.661,29.3,26.501,21.838,17.459
1948,17,19.097,24.581,31.721,34.687,35.244,29.803,29.2,28.884,26.482,21.217,16.76
1949,17.562,19.293,25.002,30.107,32.645,34.148,30.363,29.162,29.2,27.337,20.052,15.918
1950,17.022,18.396,23.859,29.783,34.043,33.043,30.067,29.101,28.881,26.422,20.56,17.178
1951,15.719,18.92,24.792,29.538,33.759,33.925,30.684,29.46,29.12,28.6,22.52,16.839
1952,17.601,21.095,24.399,31.063,34.345,33.084,30.042,28.884,29.054,27.241,21.355,17.344
1953,16.115,20.783,28.098,31.103,34.625,33.987,29.301,28.603,28.844,26.143,20.759,18.659
1954,15.556,20.756,25.363,32.124,35.14,33.665,30.683,29.101,29.184,25.617,20.759,16.899
1955,16.461,19.12,26.721,29.64,33.919,33.425,29.364,29.022,28.8,26.454,21.399,17.397
1956,16.623,18.981,25.815,31.717,35.016,31.55,30.067,29.162,28.221,26.717,20.737,17.769
1957,17.098,18.439,24.044,30.379,34.561,34.206,30.544,29.701,29.303,26.881,22.123,18.153
1958,18.239,19.854,25.802,32,34.824,35.483,30.581,29.117,29.208,26.958,22.158,18.217
1959,16.938,18.676,25.504,31.144,33.904,34.246,30.659,29.338,29.126,26.859,21.795,17.636
1960,16.415,21.355,24.463,30.36,33.866,34.808,29.944,29.515,29.307,26.659,20.778,18.407
1961,17.059,18.097,25.7,30.721,34.28,33.398,30.482,29.198,29.022,26.419,20.519,14.071
1962,15.234,19.455,24.658,30.422,33.584,35.568,31.424,28.702,28.341,25.717,21.358,17.401
1963,15.302,20.201,24.585,30.023,32.464,32.745,30.045,29.364,28.624,27.159,22.959,17.656
1964,15.96,19.194,26.362,31.184,32.481,33.949,29.426,29.376,28.767,27.599,21.154,17.477
1965,17.416,19.674,23.962,29.002,33.501,35.386,30.688,29.477,28.524,26.977,22.441,16.646
1966,16.845,21.358,25.598,31.423,34.482,33.883,31.505,29.15,29.427,27.144,22.801,16.584
1967,15.822,20.542,23.683,29.381,33.515,34.584,30.257,28.535,28.784,26.237,21.108,17.935
1968,15.769,18.036,24.48,29.74,33.417,32.55,30.067,29.437,30.266,26.336,21.929,17.257
1969,16.46,20.211,27.339,31.473,32.877,34.867,30,28.66,28.685,27.513,23.283,17.439
1970,16.898,18.558,24.516,31.343,33.812,32.446,30.429,29.524,28.526,27.417,21.444,17.282
1971,15.881,17.972,24.317,28.944,31.005,31.021,28.864,27.963,28.808,26.336,20.876,17.186
1972,16.042,17.136,24.945,29.66,34.183,35.102,31.3,29.257,28.16,25.561,21.398,17.401
1973,16.799,20.419,24.363,31.861,33.902,33.584,31.025,28.98,28.644,26.344,20.781,16.334
1974,15.819,18.181,25.362,31.523,33.623,33.704,29.783,29.101,28.722,27.82,21.082,15.96
1975,15.66,18.76,24.598,31.087,34.427,33.226,29.067,28.841,28.583,27.543,20.203,16.382
1976,16.576,19.435,24.985,29.439,32.937,33.244,30.424,28.715,28.382,26.825,22.938,16.901
1977,15.874,19.458,26.083,30.116,31.801,32.85,29.523,29.217,29.103,26.718,23.476,17.752
1978,15.638,17.776,22.757,29.677,34.587,33.449,29.679,28.884,28.658,26.785,22.816,17.34
1979,17.362,18.038,24,30.193,33.795,32.924,30.146,29.91,29.545,28.021,24.558,18.508
1980,16.677,19.577,24.482,32.056,34.415,32.102,29.517,28.618,28.902,26.981,21.999,17.658
1981,16.315,19.725,24.36,29.616,32.497,33.523,29.324,29.3,29.121,26.544,20.899,16.859
1982,17.604,18.251,22.753,29.615,32.824,32.367,31.885,29.359,28.722,26.941,22.046,17.328
1983,15.379,19.137,24.022,28.581,31.764,33.864,30.348,29.799,29.742,26.621,20.842,17.617
1984,16.181,17.896,25.617,31.02,34.523,32.545,29.527,28.878,28.382,27.556,20.823,17.937
1985,17.076,19.154,27.103,31.22,34.124,34.266,29.378,29.3,29.098,26.136,21.821,18.623
1986,16.685,18.818,24.681,30.3,31.664,32.986,29.223,28.62,28.267,25.96,22.475,16.939
1987,16.036,20.351,24.244,30.484,32.801,35.467,30.827,29.547,29.521,27.061,22.054,17.091
1988,17.24,19.978,24.799,31.099,34.562,32.548,29.585,28.91,30.224,27.339,22.236,18.575
1989,15.719,18.7,24.442,30.08,34.318,32.482,29.826,29.137,29.366,27.539,22.097,16.961
1990,17.512,19.333,23.579,30.84,32.661,33.452,28.906,29.126,29.142,26.959,21.623,17.92
1991,16.352,20.208,25.241,29.781,34.023,32.565,31.066,28.52,29.304,26.48,21.594,17.38
1992,15.788,17.698,26.417,30.841,32.459,32.455,30.785,28.982,28.867,27.418,22.872,17.359
1993,17.059,20.676,23.539,29.419,33.659,33.365,31.259,29.86,28.884,27.894,21.939,18.04
1994,17.801,18.777,26.914,29.864,35.475,33.586,30.005,29.081,29.443,26.481,21.797,17.499
1995,15.368,19.807,24.084,30.403,34.766,34.886,30.561,28.763,28.763,27.385,22.047,18.459
1996,17.042,19.637,25.925,29.779,34.321,32.966,29.944,28.166,29.684,26.665,21.72,17.192
1997,15.96,18.174,25.057,29.819,32.605,34.383,32.221,29.284,28.483,25.952,21.85,17.837
1998,15.714,20.417,23.48,30.261,34.106,34.586,29.983,29.499,29.465,28.618,23.234,19.218
1999,16.262,20.844,25.449,32.344,33.661,32.986,29.907,29.101,28.705,27.758,23.917,18.826
2000,16.926,19.575,24.681,31.483,33.547,32.325,30.364,29.48,28.859,28.182,24.323,17.777
2001,16.36,19.996,25.311,29.999,34.09,32.027,29.647,29.702,30.027,28.082,24.456,19.421
2002,16.639,20.061,25.88,30.845,35.189,34.292,32.003,29.224,28.658,27.06,22.46,17.697
