Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,13.254,16.846,23.18,29.424,32.464,34.851,31.048,29.354,28.618,27.348,21.674,16.443
1902,16.837,18.901,25.163,29.275,33.047,33.625,30.034,29.455,28.755,25.397,20.792,16.067
1903,15.417,16.773,22.307,29.387,33.109,33.793,31.629,29.388,29.45,26.129,20.947,16.417
1904,15.672,18.745,23.552,30.835,31.71,32.386,29.648,28.827,28.49,26.186,20.006,16.131
1905,13.224,13.624,20.237,26.521,32.388,34.527,30.221,29.085,28.764,26.34,21.229,15.902
1906,14.492,15.807,21.862,29.976,34.124,32.879,30.404,28.854,29.056,26.264,22.227,17.197
1907,17.41,15.859,20.023,27.115,31.213,33.095,31.263,29.445,29.621,27.408,21.14,16.082
1908,15.087,18.128,23.711,31.899,33.209,34.427,30.18,29.173,29.233,26.54,20.463,15.748
1909,15.967,16.911,24.863,27.855,33,31.295,30.048,29.399,29.567,27.142,21.205,16.838
1910,15.704,17.601,24.223,29.936,32.699,32.028,29.715,29.276,29.055,25.832,20.329,15.714
1911,16.182,18,21.498,29.398,34.245,31.947,31.705,29.561,28.547,26.098,19.509,15.491
1912,15.324,18.707,23.434,28.8,32.337,33.579,30.33,29.028,28.414,26.33,19.536,15.614
1913,15.468,16.767,21.252,30.158,31.198,30.664,30.17,29.736,29.543,26.063,19.593,15.012
1914,16.827,17.344,22.214,28.407,31.713,32.475,30.192,29.21,28.738,24.783,21.149,16.219
1915,16.169,16.876,22.912,29.559,33.764,33.089,31.072,29.425,29.12,27.9,22.256,16.398
1916,15.542,17.447,26.615,30.889,33.949,31.296,29.86,29.225,28.755,26.472,21.486,15.184
1917,15.213,17.309,22.304,26.682,28.9,31.568,30.044,29.328,28.159,25.892,21.04,15.849
1918,14.469,18.362,23.958,28.222,33.215,30.995,31.365,29.261,29.261,26.215,20.271,14.722
1919,14.63,16.42,23.461,27.742,31.374,32.343,29.772,29.328,28.564,25.991,20.825,15.547
1920,16.388,16.681,22.322,29.5,30.206,32.87,29.827,29.328,28.982,26.52,21.439,17.34
1921,15.445,18.406,26.448,31.278,35.645,32.313,30.239,28.573,27.869,25.18,20.133,16.353
1922,14.588,18.856,25.194,29.622,34.161,31.466,29.653,28.506,27.996,24.849,20.368,14.968
1923,15.782,16.612,23.817,30.941,33.201,34.959,29.861,29.276,28.616,25.244,20.711,16.183
1924,14.623,17.858,25.39,30.745,31.346,35.234,29.872,28.854,27.968,26.369,20.574,16.434
1925,13.668,17.006,23.73,30.494,32.243,31.132,29.323,29.239,28.65,25.915,20.038,15.944
1926,14.997,18.612,21.593,26.245,30.953,35.186,30.581,29.187,28.701,25.766,18.763,16.139
1927,14.395,16.331,22.452,29.132,31.518,33.376,30.255,28.83,29.183,26.057,20.339,16.975
1928,14.697,17.925,24.002,28.625,33.559,32.085,30.01,30.251,30.089,27.245,20.866,16.322
1929,15.016,17.021,24.948,29.782,34.012,32.798,29.925,28.569,28.927,25.47,21.02,15.411
1930,14.12,17.258,24.805,29.327,32.42,32.678,29.657,29.101,29.299,26.092,20.518,16.195
1931,16.672,16.307,23.449,31.058,33.009,34.322,30.177,29.928,28.659,26.091,20.815,16.768
1932,17.029,16.634,24.224,29.398,32.407,34.368,30.487,29.076,28.991,26.394,21.876,15.976
1933,13.969,18.178,24.252,27.359,29.936,31.967,29.814,29.187,28.741,25.98,21.185,16.639
1934,14.627,18.883,23.194,30.241,32.908,32.368,29.861,28.774,29.281,25.991,20.948,15.603
1935,13.471,17.926,23.759,26.456,33.854,34.082,30.062,28.529,28.548,25.787,20.532,15.176
1936,14.216,16.825,23.795,28.502,32.658,30.035,29.204,28.625,28.133,24.869,20.901,16.235
1937,14.168,16.99,22.593,27.018,31.857,32.909,30.196,28.599,28.896,25.204,19.864,15.149
1938,14.562,15.792,25.004,30.45,32.533,30.928,29.547,28.854,29.079,26.355,19.477,16.691
1939,15.775,17.116,21.391,28.746,34.055,31.818,29.811,28.965,28.619,25.907,20.993,16.679
1940,15.213,16.951,21.085,28.352,32.741,33.233,29.936,29.226,28.265,26.567,21.574,15.249
1941,14.595,18.397,25.883,32,32.99,32.253,31.022,29.489,29.017,26.623,20.995,17.553
1942,14.764,18.512,25.101,29.787,33.554,34.156,30.092,28.882,28.216,26.322,21.956,15.801
1943,15.833,18.161,24.559,27.508,33.708,33.062,30.164,28.621,29.256,26.442,22.25,17.046
1944,14.296,16.756,22.549,27.678,34.743,32.723,30.061,29.328,29.391,26.097,21.318,17.849
1945,13.486,16.761,24.037,27.721,32.877,33.923,30.515,29.691,28.707,25.105,21.026,15.198
1946,17.021,19.857,23.658,28.625,31.12,32.482,29.834,29.752,29.265,25.668,21.01,17.014
1947,14.519,18.431,24.338,30.905,33.214,34.273,30.044,29.554,28.964,25.608,21.459,16.802
1948,15.899,17.499,23.029,30.986,33.816,34.686,29.861,28.873,28.556,25.568,20.501,15.752
1949,17.043,17.619,24.066,29.515,31.71,33.681,30,29.121,28.817,26.976,20.317,14.822
1950,16.015,17.082,22.405,29.256,33.08,32.355,29.852,28.854,28.443,26.099,20.75,16.246
1951,14.292,18.276,23.751,28.139,32.871,33.221,30.817,29.551,28.757,28.003,21.908,16.554
1952,16.779,19.668,22.708,30.156,33.067,32.289,29.863,28.818,29.112,26.925,21.198,16.884
1953,14.23,19.969,26.935,30.518,33.525,33.47,29.498,28.922,28.953,26.014,21.002,17.787
1954,14.292,18.903,24.87,31.293,34.577,33.023,30.27,29.028,28.93,25.022,20.73,15.584
1955,15.07,18.756,25.71,28.392,32.584,33.019,29.631,28.854,28.555,25.613,21.312,16.152
1956,15.428,18.722,24.428,31.027,33.976,31.582,29.706,29.121,28.435,25.792,20.794,15.889
1957,15.1,17.453,22.503,29.139,33.101,32.952,30.362,29.628,28.962,26.252,22.053,17.006
1958,16.752,18.268,24.568,31.178,33.591,34.386,30.188,29.035,29.161,26.549,22.053,17.319
1959,15.946,17.404,24.766,30.205,33.251,33.357,30.041,29.377,29.112,26.322,21.308,17.398
1960,14.903,21.063,23.087,29.228,33.457,33.842,29.908,29.452,29.212,25.903,20.678,18.477
1961,15.768,16.297,24.691,30.078,33.026,32.732,30.532,29.301,29.152,25.671,19.752,13.847
1962,14.512,18.011,23.766,29.661,32.791,34.401,31.196,29,28.229,25.688,21.354,16.605
1963,15.464,19.61,23.334,28.66,31.604,32.284,30.357,29.13,28.456,26.751,21.752,16.794
1964,14.824,18.114,25.79,30.404,31.261,33.719,29.452,29.385,28.405,27.463,20.996,16.638
1965,16.58,17.466,22.59,27.972,32.556,34.765,30.221,28.974,28.585,26.225,21.572,16.104
1966,16.387,20.168,24.758,30.588,33.656,33.296,31.124,29.328,28.991,26.423,21.856,16.415
1967,15.41,19.982,22.41,28.801,32.536,33.715,29.861,28.319,28.752,25.654,19.806,16.313
