Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,15.233,18.867,24.091,30.419,33.121,34.865,30.773,29.457,28.85,27.502,21.706,17.062
1902,17.605,19.518,26.436,30.021,33.79,34.357,30.141,29.929,29.042,26.274,21.107,16.102
1903,16.751,18.496,24.175,30.705,34.075,33.783,31.471,29.618,29.677,26.718,20.826,16.17
1904,16.779,19.109,24.889,31.723,32.581,32.267,29.281,28.969,29.042,26.598,20.648,17.285
1905,15.351,15.171,22.373,27.615,32.734,35.598,30.048,28.847,28.96,26.55,21.529,16.699
1906,16.166,18.608,23.025,30.91,34.698,33.539,30.348,29.076,29.542,26.694,22.039,17.496
1907,17.793,18.405,22.097,28.012,32.339,33.08,31.025,29.749,29.674,27.314,21.419,16.369
1908,14.974,19.075,24.601,32.641,34.271,34.402,30.275,29.937,29.677,26.824,20.807,16.062
1909,18.07,18.51,25.327,28.56,33.886,31.268,29.842,29.243,29.561,26.746,21.687,17.282
1910,15.885,19.085,25.04,30.912,33.563,32.252,29.853,29.479,29.464,26.574,20.86,16.313
1911,18.271,18.423,23.181,30.412,34.734,31.785,31.579,29.315,28.88,26.616,20.448,15.876
1912,16.76,20.181,24.616,29.639,33.128,34.15,30.264,29.343,29.019,26.729,20.503,16.145
1913,16.26,19.003,22.677,31.322,32.085,30.486,30.059,29.418,29.48,26.294,20.306,16.536
1914,17.305,19.771,23.713,28.96,32.293,32.554,29.995,29.209,29.042,25.524,21.904,17.292
1915,17.161,18.719,24.051,30.509,34.391,33.456,31.172,29.586,29.362,28.231,23.069,16.839
1916,16.004,19.046,26.748,31.559,35.163,31.362,30.034,29.049,29.266,27.097,21.741,15.726
1917,16.067,18.765,23.697,28.549,30.324,31.855,29.96,29.405,28.839,26.673,21.013,16.624
1918,15.166,18.991,25.108,29.316,33.435,30.763,31.477,28.86,29.438,26.415,20.974,15.899
1919,17.368,17.829,25.088,29.255,32.652,32.354,29.753,29.462,28.962,26.335,21.556,16.623
1920,16.462,18.945,24.124,30.523,31.906,34.12,29.925,29.462,29.266,27.1,21.9,17.068
1921,17.334,19.013,26.79,31.929,36.168,33.056,30.464,28.898,28.704,25.705,20.371,16.693
