Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,13.962,17.498,23.542,29.761,32.433,34.481,30.889,29.38,28.721,27.612,21.921,16.941
1902,17.228,19.224,25.369,29.187,32.815,33.231,29.928,29.551,28.851,25.699,21.098,16.35
1903,15.855,17.371,22.691,29.64,33.312,33.343,31.49,29.329,29.393,26.435,21.23,16.712
1904,16.127,18.983,23.871,30.996,31.612,32.132,29.586,28.888,28.651,26.472,20.357,16.655
1905,13.88,14.102,20.612,26.652,32.044,34.189,30.099,28.865,28.741,26.665,21.498,16.333
1906,15.057,16.574,22.031,30.214,33.931,32.713,30.354,28.879,29.151,26.486,22.387,17.519
1907,17.7,16.603,20.376,27.227,31.343,32.961,30.956,29.605,29.579,27.499,21.362,16.536
1908,15.186,18.392,24.09,32.108,33.152,33.919,30.026,29.426,29.198,26.86,20.793,16.118
1909,16.425,17.471,25.303,27.939,33.03,31.262,30.08,29.315,29.588,27.341,21.519,17.254
1910,15.936,18.075,24.44,30.114,32.648,31.846,29.612,29.396,29.099,26.108,20.624,16.176
1911,16.696,18.124,21.883,29.626,34.065,31.827,31.506,29.479,28.6,26.322,19.826,15.854
1912,15.851,19.151,23.711,28.688,32.166,33.221,30.137,29.092,28.552,26.596,19.851,16.04
1913,15.776,17.344,21.62,30.457,31.195,30.575,30.143,29.624,29.539,26.229,19.911,15.573
1914,17.018,17.907,22.575,28.282,31.682,32.162,30.027,29.172,28.751,25.045,21.337,16.801
1915,16.565,17.426,23.077,29.634,33.408,32.67,31.004,29.439,29.179,28.218,22.661,16.814
1916,15.859,17.864,26.765,30.774,34.247,31.292,29.846,29.224,28.855,26.734,21.724,15.678
1917,15.564,17.753,22.624,27.109,29.17,31.496,30.04,29.388,28.219,26.104,21.389,16.291
1918,14.763,18.565,24.294,28.344,32.943,30.902,31.278,29.105,29.298,26.597,20.704,15.246
1919,15.284,16.852,23.971,27.996,31.589,32.191,29.796,29.388,28.651,26.318,21.182,16.105
1920,16.645,17.298,22.558,29.71,30.609,32.788,29.96,29.388,28.956,26.785,21.707,17.613
1921,16.007,18.732,26.485,31.253,35.5,32.329,30.168,28.739,28.063,25.482,20.548,16.399
1922,15.33,19.229,25.478,30.068,34.266,31.373,29.738,28.61,28.14,25.224,20.762,15.683
1923,16.11,17.203,24.138,30.962,33.233,34.555,29.85,29.453,28.751,25.623,21.065,16.647
1924,15.115,18.252,25.707,30.921,31.653,34.986,29.929,28.964,28.016,26.645,20.882,16.977
1925,14.155,17.172,23.996,30.31,32.266,31.214,29.432,29.229,28.715,26.098,20.434,16.3
1926,15.45,18.9,21.952,26.691,31.231,35.123,30.443,29.229,28.787,26.114,19.313,16.649
1927,14.829,17.003,22.68,29.448,31.496,33.201,30.204,28.939,29.198,26.392,20.858,17.281
1928,15.021,18.252,24.416,28.932,33.46,31.939,29.933,30.136,30.034,27.422,21.127,16.904
1929,15.551,17.397,25.049,29.793,34.016,32.841,29.85,28.747,28.918,25.695,21.252,15.965
1930,14.614,17.704,24.983,29.45,32.526,32.514,29.695,29.128,29.301,26.357,20.775,16.467
1931,16.956,17.003,23.706,31.066,32.9,34.137,30.099,29.988,28.815,26.483,21.069,17.234
1932,17.329,17.163,24.518,29.54,32.611,34.077,30.463,29.196,29.151,26.781,22.098,16.39
1933,14.36,18.715,24.458,27.567,30.488,31.878,29.754,29.127,28.805,26.253,21.435,17.054
1934,15.165,19.071,23.51,30.317,32.933,32.152,29.85,28.974,29.342,26.218,21.111,16.292
1935,14.186,18.408,24.119,26.935,33.791,33.736,30.159,28.593,28.702,26.128,20.93,15.87
1936,14.751,17.612,24.124,28.752,32.587,30.227,29.368,28.87,28.267,25.246,21.33,16.764
1937,14.563,17.602,22.869,27.531,31.941,32.906,30.268,28.632,29.059,25.531,20.246,15.695
1938,15.239,16.304,25.319,30.598,32.444,31.01,29.655,28.964,29.21,26.681,19.885,17.013
1939,16.263,17.809,21.84,29.208,33.944,31.81,29.872,29.123,28.796,26.245,21.358,17.113
1940,15.699,17.588,21.447,28.599,32.864,33.06,29.964,29.288,28.452,26.928,21.916,15.941
1941,15.22,18.888,26.143,31.99,32.896,32.225,30.986,29.429,29.054,26.789,21.317,18.014
1942,15.36,18.751,25.229,29.808,33.674,33.983,30.196,29.022,28.146,26.508,22.31,16.369
1943,16.612,18.378,24.74,27.634,33.672,32.914,30.077,28.738,29.242,26.728,22.373,17.605
1944,14.871,17.44,22.878,27.721,34.654,32.623,30.071,29.388,29.671,26.277,21.464,18.109
1945,14.233,17.092,24.319,27.911,32.719,33.795,30.628,29.692,28.755,25.394,21.242,15.613
1946,17.077,20.179,23.956,28.428,31.123,32.443,29.846,29.783,29.204,25.911,21.2,17.409
1947,15.111,18.751,24.66,30.98,33.074,34.06,30.05,29.688,29.001,25.986,21.661,17.183
1948,16.292,18.091,23.476,30.98,33.644,34.629,29.845,29.088,28.663,25.812,20.935,16.268
1949,17.256,18.056,24.208,29.299,31.456,33.313,29.952,29.238,28.842,27.168,20.664,15.368
1950,16.428,17.575,22.787,29.359,33.078,32.146,29.85,28.937,28.464,26.363,20.809,16.806
1951,14.866,18.647,24.17,28.526,32.991,33.097,30.627,29.625,28.903,28.269,22.287,16.719
1952,17.006,20.007,23.087,30.172,33.036,32.305,29.933,28.91,29.018,27.241,21.474,17.183
