Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,13.855,17.107,23.284,29.289,33.758,36.29,31.581,28.204,28.03,26.377,20.176,16.166
1902,16.648,18.746,26.095,30.442,34.024,34.522,29.436,28.843,27.689,25.11,18.952,15.023
1903,15.83,17.123,23.1,28.901,33.577,35.295,31.246,28.46,28.233,24.47,18.71,15.003
1904,15.863,17.851,23.582,30.188,33.101,33.641,28.093,27.361,27.571,25.166,18.962,16.281
1905,14.362,13.786,21.367,26.864,33.364,35.898,29.846,28.117,28.421,25.178,20.571,15.891
1906,14.985,16.963,22.567,29.689,35.163,33.615,29.326,28.096,27.604,25.414,20.352,16.569
1907,16.852,17.062,21.909,27.645,32.457,34.357,32.582,27.806,29.09,26.624,20.519,14.804
1908,14.451,18.285,23.458,31.279,34.498,35.231,29.08,27.841,28.501,25.245,19.564,15.262
1909,17.429,16.621,24.567,27.778,33.482,30.624,28.134,27.881,27.546,25.144,20.451,15.763
1910,14.784,18.104,23.929,29.301,33.486,32.487,29.757,27.921,28.121,24.347,18.454,15.241
1911,17.689,17.747,21.955,29.131,34.845,32.777,30.737,28.327,27.091,25.511,18.821,15.066
1912,15.95,19.239,23.032,29.288,33.943,35.041,29.742,28.022,27.434,25.111,19.066,15.091
1913,15.419,18.309,21.755,30.587,31.975,30.706,29.758,28.759,28.794,26.865,19.682,16.048
1914,17.25,19.064,23.198,29.32,33.288,33.759,28.8,27.901,28.288,24.962,20.648,15.817
1915,15.964,16.762,22.774,28.945,35.372,34.15,30.209,28.111,28.013,26.297,20.064,16.014
1916,15.47,17.663,25.385,30.576,33.955,30.516,29.345,27.578,27.753,25.361,18.142,14.391
1917,15.37,17.75,22.741,26.897,29.896,31.783,28.838,28.014,27.398,25.061,17.517,15.722
1918,14.197,18.405,23.977,28.277,34.531,31.411,31.736,28.745,28.733,26.008,20.138,15.205
1919,15.887,16.468,24.041,28.887,33.357,34.334,28.224,27.838,27.968,24.769,19.642,15.504
1920,15.306,17.785,23.975,29.443,31.358,33.547,28.437,28.244,29.176,26.965,20.95,16.186
1921,16.648,18.267,26.041,31.673,35.993,33.654,31.311,27.369,27.501,24.864,19.049,17.549
1922,15.509,19.405,24.742,30.029,34.839,32.944,28.61,27.283,27.423,24.789,19.567,15.449
1923,15.332,17.706,24.174,30.246,33.886,36.119,29.408,27.629,28.221,24.568,19.821,16.359
1924,15.064,18.118,25.568,30.6,32.667,35.961,28.541,27.802,27.69,25.341,19.393,15.672
1925,13.991,16.539,23.63,30.17,32.37,31.6,27.537,28.646,27.818,25.867,18.809,14.813
1926,15.351,19.148,22.732,26.392,31.981,35.58,30.538,28.258,27.244,24.406,17.891,14.933
1927,13.868,17.022,22.077,29.005,33.055,34.155,29.152,27.915,28.433,25.427,18.558,16.626
1928,15.255,18.284,24.025,28.988,34.572,33.082,28.992,29.034,28.935,26.169,20.832,16.01
1929,15.288,16.661,24.764,30.136,34.94,33.521,29.037,27.047,29.292,24.954,19.726,15.023
1930,15.026,17.605,24.642,29.112,33.728,33.578,28.495,27.759,27.977,26.098,19.208,15.543
1931,17.024,17.437,23.355,31.042,34.203,35.21,30.123,28.646,27.825,24.805,19.21,16.408
1932,17.552,17.149,24.07,29.249,33.38,34.888,30.53,27.758,28.113,25.58,19.145,15.681
1933,13.861,18.919,24.354,27.171,30.667,32.139,28.981,28.115,27.628,25.138,19.209,15.747
1934,15.126,18.56,22.968,29.476,33.794,32.886,28.959,27.835,27.76,24.228,19.28,16.526
1935,14.187,18.309,23.832,27.044,34.362,34.79,29.026,27.446,27.507,24.523,19.984,15.804
1936,14.267,17.95,23.832,28.755,34.331,31.437,28.434,27.644,27.487,25.125,19.855,16.108
1937,14.151,18.25,22.254,28.214,33.242,33.303,29.425,27.259,27.651,24.053,20.442,14.947
1938,15.765,16.146,25.221,30.356,34.173,30.601,28.81,27.988,28.372,25.969,19.02,15.422
1939,16.606,18.604,22.569,28.499,34.725,32.397,28.87,27.863,27.336,25.91,19.364,15.447
1940,15.196,17.359,22.153,28.299,33.968,34.221,29.912,27.96,27.868,25.343,20.575,15.649
1941,15.367,18.396,25.856,31.656,34.332,32.481,30.683,28.66,28.654,27.175,20.027,16.729
1942,14.514,18.794,24.721,30.249,35.159,34.841,28.784,27.936,27.502,25.58,20.893,15.962
1943,17.582,17.934,25.01,28.243,34.715,33.994,29.639,27.027,28.245,25.226,20.957,16.793
1944,15.412,17.65,22.457,27.95,35.004,33.113,29.034,28.167,28.188,24.568,20.654,17.605
1945,13.854,17.583,24.598,27.974,33.491,34.3,30.028,29.059,27.946,24.467,19.354,14.65
1946,16.332,20.131,23.854,30.213,33.343,32.25,28.766,28.126,28.513,25.945,19.82,17.34
1947,14.77,18.818,25.301,30.938,34.569,34.848,29.169,28.401,28.047,24.899,20.835,16.601
1948,16.071,17.809,23.366,31.088,35.225,34.535,29.065,27.901,27.635,25.969,19.412,15.938
1949,17.108,18.909,24.554,30.609,34.03,34.403,29.738,27.899,28.289,25.885,18.383,15.145
1950,16.409,17.263,22.913,28.444,34.102,33.483,29.059,27.848,28.001,24.968,19.168,15.708
1951,14.688,17.738,23.607,28.156,33.345,33.754,30.387,28.048,27.864,27.71,21.332,15.95
1952,17.088,20.575,23.798,30.775,34.925,32.462,28.879,27.348,28.43,25.966,19.91,16.758
1953,15.184,20.272,27.434,30.331,34.665,34.191,28.517,27.186,27.708,24.932,19.419,17.95
1954,14.542,19.73,24.132,30.746,35.223,33.827,30.08,27.989,27.693,23.883,19.751,16.292
1955,15.821,18.56,25.999,28.546,33.835,33.352,28.529,27.802,27.734,24.431,19.292,16.685
1956,16.067,18.173,24.786,30.546,34.847,31.183,28.596,27.629,27.265,24.906,18.67,17.008
1957,16.026,17.308,22.827,29.101,33.519,33.813,29.404,28.548,27.347,25.524,21.004,17.36
1958,17.654,19.196,25.225,31.532,34.86,35.347,29.363,28.097,27.74,25.129,20.446,17.367
1959,16.111,17.794,25.197,30.346,33.761,34.303,29.437,27.902,28.011,25.779,20.467,16.99
1960,15.558,20.739,24.065,29.542,33.978,35.055,29.012,27.784,28.188,25.126,19.209,17.179
