Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,13.749,17.052,23.433,29.669,33.293,35.959,31.907,29.491,28.781,27.201,21.149,16.182
1902,16.795,18.863,25.865,30.146,33.839,34.595,30.475,29.618,28.908,25.561,20.17,15.589
1903,15.63,16.922,22.993,29.656,33.791,34.822,32.188,29.59,29.569,25.943,20.243,15.821
1904,15.901,18.457,24.025,30.961,32.62,33.296,29.712,28.783,28.708,26.096,19.675,16.147
1905,13.761,13.757,21.157,26.929,33.043,35.66,30.62,29.123,29.049,26.128,20.957,15.82
1906,14.794,16.357,22.632,30.202,34.881,33.708,30.651,28.991,29.168,26.336,21.643,16.888
1907,17.336,16.455,21.099,27.708,32.06,33.934,32.447,29.379,29.962,27.508,20.957,15.475
1908,14.903,18.271,24.031,32.103,34.227,35.282,30.577,29.244,29.576,26.327,20.189,15.555
1909,16.966,16.719,25.047,28.241,33.68,31.229,29.943,29.324,29.403,26.695,20.916,16.456
1910,15.431,17.825,24.492,30.13,33.381,32.615,30.324,29.21,29.249,25.715,19.765,15.382
1911,16.941,17.864,22.052,29.688,34.815,32.627,32.076,29.652,28.569,26.233,19.381,15.156
1912,15.628,18.996,23.649,29.395,33.319,34.575,30.676,29.05,28.608,26.156,19.482,15.284
1913,15.535,17.495,21.767,30.567,31.841,30.949,30.588,29.825,29.614,26.625,19.622,15.353
1914,17.074,18.163,22.934,29.009,32.534,33.533,30.27,29.183,29.047,25.101,21.07,16.048
1915,16.234,16.956,23.247,29.79,34.887,33.897,31.236,29.35,29.003,27.588,21.596,16.153
1916,15.535,17.623,26.419,31.188,34.243,31.297,30.149,29.084,28.908,26.593,20.48,14.744
1917,15.265,17.595,22.827,27.023,29.579,31.976,30.151,29.39,28.408,26.089,19.857,15.68
1918,14.468,18.503,24.398,28.695,34.053,31.247,32.275,29.491,29.49,26.281,20.195,14.856
1919,15.26,16.39,24.024,28.474,32.439,33.444,29.81,29.35,28.848,25.894,20.505,15.449
1920,16.062,17.156,23.331,29.829,30.986,33.735,29.91,29.39,29.486,26.914,21.215,16.681
1921,15.962,18.465,26.693,31.77,36.214,33.228,31.135,28.578,28.314,25.334,19.649,16.74
1922,15.062,19.095,25.295,29.95,34.854,32.405,29.683,28.55,28.288,25.046,20.129,15.082
1923,15.696,17.127,24.146,31.061,33.979,35.879,30.149,29.21,28.987,25.236,20.456,16.221
1924,14.927,18.028,25.87,31.068,32.242,36.08,29.844,28.95,28.415,26.436,20.345,16.082
