Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,14.214,17.984,23.771,30.043,32.956,35.241,31.156,29.429,28.672,27.6,21.744,16.943
1902,17.243,19.343,26.056,30.026,33.67,34.497,30.356,29.629,28.999,26.128,21.043,16.143
1903,16.07,17.713,23.427,30.369,33.628,34.17,31.756,29.429,29.628,26.728,20.943,16.373
1904,16.271,19.014,24.37,31.47,32.342,32.585,29.629,28.9,28.8,26.699,20.343,16.842
1905,14.342,14.442,21.625,27.299,32.87,35.497,30.329,28.829,28.9,26.672,21.442,16.372
1906,15.341,17.312,22.756,30.641,34.641,33.513,30.557,28.929,29.3,26.729,22.271,17.471
1907,17.572,17.383,21.327,27.77,31.856,33.257,31.414,29.572,29.629,27.628,21.372,16.244
1908,14.972,18.671,24.243,32.441,33.913,34.798,30.456,29.572,29.528,26.843,20.643,16.071
1909,17.199,17.614,25.086,28.469,33.556,31.429,30.029,29.229,29.6,27.172,21.542,17.072
1910,15.672,18.442,24.8,30.67,33.312,32.385,30.027,29.371,29.299,26.498,20.672,16.043
1911,17.199,18.243,22.499,30.099,34.713,32.056,31.913,29.529,28.728,26.628,20.042,15.743
1912,16.042,19.542,24.227,29.655,33.042,34.27,30.585,29.199,28.699,26.8,20.17,15.973
1913,15.772,18.14,22.099,30.912,31.784,30.729,30.229,29.629,29.501,26.428,20.042,16.069
1914,17.1,18.769,23.17,29.025,32.085,32.813,30.356,29.099,28.9,25.4,21.698,16.843
1915,16.642,17.814,23.727,30.397,34.369,33.698,31.356,29.401,29.3,28.299,22.743,16.742
1916,15.772,18.242,26.801,31.556,34.57,31.529,30.086,29.1,29.027,27.028,21.771,15.543
1917,15.572,18.142,23.199,27.812,29.727,31.956,30.029,29.4,28.528,26.627,21.015,16.343
1918,14.771,18.77,24.671,29.097,33.57,31.028,31.628,29.157,29.3,26.443,20.614,15.471
1919,15.842,17.113,24.47,28.769,32.028,32.556,29.9,29.4,28.8,26.4,21.272,16.242
1920,16.344,17.913,23.555,30.241,31.07,33.784,30,29.4,29.128,27.028,21.743,17.273
1921,16.442,18.942,26.857,31.898,36.084,32.857,30.556,28.771,28.271,25.699,20.215,16.728
1922,15.813,19.57,25.571,30.313,34.656,31.529,29.671,28.672,28.172,25.143,20.516,16.042
1923,16.043,17.842,24.143,31.37,33.884,35.441,30.028,29.472,28.9,25.671,20.943,16.871
1924,15.371,18.642,26.072,31.37,32.426,35.713,29.999,29.099,28.298,26.801,20.971,16.843
1925,14.371,17.272,24.299,30.956,32.656,31.756,29.4,29.329,28.999,26.456,20.671,16.044
1926,15.572,19.271,22.728,27.184,31.571,35.756,30.785,29.329,28.8,26.171,19.186,16.544
1927,14.842,17.712,22.971,29.812,32.084,34.013,30.527,29.099,29.528,26.671,20.914,17.3
1928,15.271,18.642,24.842,29.313,33.884,32.286,30.028,30.329,30.229,27.727,21.4,17.042
1929,15.742,17.613,25.429,30.526,34.485,33.427,30.028,28.672,29.327,25.9,21.272,16.342
1930,14.942,18.042,25.3,29.87,32.828,33.412,29.728,29.099,29.5,26.828,20.97,16.272
1931,17.071,17.712,24.071,31.499,33.642,34.684,30.329,30,29.098,26.771,21.172,17.342
1932,17.471,17.613,24.87,30.069,33,34.842,30.628,29.171,29.3,26.999,21.972,16.372
1933,14.343,19.241,24.899,28.07,30.743,32.257,30.027,29.228,29.027,26.499,21.244,16.872
1934,15.542,19.171,23.999,30.799,33.485,32.971,30.028,29.17,29.429,26.3,21.172,16.741
1935,14.612,18.841,24.471,27.413,34.157,34.414,30.399,28.699,28.8,26.271,20.942,16.212
1936,14.942,18.284,24.7,29.269,33.283,30.699,29.5,28.971,28.5,25.471,21.344,17.071
1937,14.572,18.242,23.271,28.084,32.455,33.556,30.4,28.4,29.17,25.799,20.542,15.515
1938,15.614,16.712,25.799,31.041,33.014,31.328,29.927,29.099,29.271,26.901,20.141,16.743
1939,16.571,18.612,22.57,29.514,34.512,32.484,29.999,29,28.771,26.599,21.215,16.844
1940,15.743,18.012,22.198,29.041,33.257,33.784,30.029,29.3,28.6,27.071,22.072,16.242
1941,15.642,19.143,26.499,32.499,33.485,32.656,31.227,29.528,29.228,27.157,21.344,17.815
1942,15.514,19.142,25.401,30.398,34.484,34.584,30.3,29.199,28.327,26.7,22.371,16.641
1943,17.44,18.571,25.299,28.397,34.213,33.713,30.357,28.7,29.329,26.872,22.171,17.672
1944,15.37,18.012,23.271,28.297,35.057,33.284,30.229,29.4,29.842,26.271,21.6,18.1
1945,14.514,17.57,24.799,28.469,33.185,34.385,31.027,29.927,28.929,25.599,21.072,15.543
1946,16.9,20.542,24.37,29.155,31.884,32.857,29.999,29.7,29.328,26.328,21.272,17.7
