Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,14.055,17.271,23.185,29.163,33.555,35.969,31.094,27.779,27.498,25.879,19.974,16.102
1902,16.631,18.66,26.076,30.366,33.835,34.307,28.96,28.259,27.33,24.761,18.783,15.089
1903,15.894,17.126,23.223,28.947,33.637,34.684,30.592,28.088,27.761,24.282,18.628,15.072
1904,16.061,17.9,23.791,30.086,32.941,33.042,27.738,27.002,27.237,24.848,18.814,16.449
1905,14.502,13.986,21.643,26.702,32.932,35.498,29.25,27.495,27.784,24.679,20.238,15.874
1906,15.158,17.243,22.82,29.653,34.796,33.286,28.818,27.552,27.392,25.178,20.179,16.648
1907,16.877,17.335,22.066,27.554,32.392,33.909,32.093,27.389,28.722,26.406,20.47,14.948
1908,14.419,18.396,23.618,31.337,34.569,34.818,28.885,27.49,28.231,25.015,19.469,15.37
1909,18.112,16.591,24.812,27.756,33.591,29.908,27.664,27.437,27.169,24.845,20.21,16.024
1910,14.894,18.12,23.985,29.357,33.233,31.918,29.248,27.358,27.758,24.188,18.343,15.214
1911,17.849,17.651,22.067,28.977,34.574,32.18,30.314,27.887,26.737,25.222,18.934,15.023
1912,15.924,19.386,23.161,29.105,33.667,34.48,29.091,27.458,27.235,24.756,19.05,15.08
1913,15.386,18.535,21.935,30.415,31.774,30.064,29.254,28.115,28.125,26.53,19.511,16.211
1914,17.202,19.333,23.316,28.916,32.895,33.375,28.199,27.37,27.854,24.655,20.478,16.047
1915,16.147,17.045,22.782,28.871,35.19,33.612,29.422,27.461,27.266,25.852,20.061,15.971
1916,15.412,17.87,25.211,30.376,33.758,29.692,28.626,27.066,27.33,25.355,18.238,14.389
1917,15.318,17.786,22.741,26.872,29.674,31.153,28.422,27.69,27.062,25.05,17.565,15.779
1918,14.254,18.494,24.172,28.285,34.07,30.441,31.034,27.948,28.26,25.573,20.008,15.353
1919,16.071,16.442,24.051,28.763,33.214,33.686,27.74,27.49,27.629,24.515,19.658,15.648
1920,15.394,17.901,23.987,29.364,31.367,33.378,27.962,27.726,28.661,26.576,20.632,16.048
1921,16.684,18.16,25.981,31.461,35.807,33.019,30.632,26.838,27.231,24.615,18.799,17.565
1922,15.658,19.42,24.691,29.801,34.799,32.487,27.897,26.837,27.129,24.446,19.543,15.607
1923,15.396,17.859,24.103,30.159,33.865,35.635,28.552,27.308,27.863,24.305,19.776,16.547
1924,15.277,18.316,25.811,30.575,32.715,35.66,27.9,27.338,27.331,25.341,19.409,15.755
1925,14.231,16.713,23.682,29.849,32.131,31.463,27.132,28.117,27.213,25.615,18.766,14.79
1926,15.393,19.194,22.924,26.342,31.824,35.142,30.117,27.822,26.871,24.353,17.98,15.192
