Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,14.98,18.731,24.089,30.339,32.625,34.302,30.505,29.338,28.873,27.645,21.955,17.393
1902,17.584,19.581,26.089,29.526,32.911,33.448,29.729,29.652,28.927,26.136,21.322,16.309
1903,16.465,18.377,23.757,30.316,33.701,33.157,31.205,29.306,29.481,26.667,21.155,16.587
1904,16.65,19.174,24.681,31.448,31.887,31.925,29.183,28.883,28.927,26.612,20.736,17.26
1905,15.001,14.962,21.794,27.202,31.942,34.56,29.806,28.569,28.828,26.745,21.692,16.745
1906,15.933,18.136,22.644,30.725,33.987,32.916,30.105,28.784,29.427,26.667,22.277,17.678
1907,17.814,18.236,21.527,27.703,31.825,32.871,30.581,29.728,29.613,27.399,21.546,16.725
1908,14.945,18.903,24.635,32.571,33.547,33.712,29.875,29.797,29.45,27.036,21.022,16.277
1909,17.579,18.295,25.699,28.335,33.324,31.15,29.728,29.083,29.561,27.153,21.792,17.409
1910,15.845,18.932,24.967,30.602,32.932,31.84,29.473,29.429,29.326,26.436,20.891,16.491
1911,17.641,18.38,22.805,30.103,34.163,31.649,31.213,29.369,28.782,26.566,20.329,16.008
1912,16.519,20.018,24.42,29.08,32.356,33.34,29.86,29.184,28.926,26.713,20.384,16.378
1913,16.082,18.722,22.434,31.139,31.523,30.348,29.851,29.369,29.559,26.301,20.315,16.55
1914,17.236,19.377,23.48,28.513,31.812,32.049,29.706,28.914,28.927,25.437,21.691,17.407
1915,16.982,18.377,23.744,30.072,33.512,32.58,30.873,29.315,29.327,28.345,23.09,17.077
1916,16.028,18.716,26.906,31.11,34.814,31.249,29.72,28.947,29.127,26.966,21.846,16.022
1917,15.882,18.517,23.388,28.131,29.74,31.571,29.751,29.382,28.596,26.436,21.401,16.746
1918,14.982,18.834,25.013,28.872,32.819,30.681,31.173,28.836,29.459,26.721,21.136,15.914
1919,16.501,17.551,24.88,28.816,32.169,32.071,29.644,29.383,28.927,26.459,21.546,16.76
1920,16.491,18.599,23.535,30.247,31.43,33.385,29.827,29.382,29.128,27.067,21.946,17.455
1921,16.988,19.111,26.705,31.602,35.609,32.693,30.118,28.943,28.541,25.714,20.701,16.506
1922,16.547,19.917,25.876,30.671,34.455,31.15,29.529,28.784,28.373,25.392,21.068,16.797
1923,16.328,18.5,24.566,31.279,33.633,34.554,29.752,29.598,29.127,25.861,21.323,17.214
1924,15.765,19.017,26.412,31.348,32.574,35.046,29.728,29.083,28.381,26.858,21.215,17.325
1925,14.864,17.336,24.413,30.298,32.456,31.608,29.174,29.237,29.035,26.322,20.983,16.256
1926,15.996,19.472,23.004,27.608,31.816,35.407,30.173,29.252,28.926,26.29,19.836,16.993
