Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,13.087,16.326,23.445,29.15,33.684,36.931,33.387,29.719,30.389,28.516,21.61,16.267
1902,16.159,18.729,25.494,30.106,34.159,34.454,30.998,30.71,29.399,26.629,20.599,14.909
1903,14.823,16.705,22.378,28.377,33.167,36.586,33.524,29.654,30.281,25.947,19.97,14.646
1904,14.483,17.862,22.959,30.365,32.974,35.259,29.852,28.55,28.947,26.546,19.93,15.487
1905,12.786,13.008,19.866,26.968,34.223,36.734,32.043,30.209,31.075,27.328,22.212,15.714
1906,13.94,15.661,21.192,29.36,35.835,34.376,31.451,29.738,28.912,26.966,21.775,16.245
1907,16.287,15.562,20.354,27.202,32.182,35.57,34.031,29.318,30.73,27.459,21.166,14.361
1908,13.887,17.524,22.871,30.731,33.693,36.214,30.161,28.82,29.506,26.242,20.261,14.577
1909,14.152,16.274,23.466,27.372,32.668,33.214,30.1,29.419,29.266,26.84,21.836,14.864
1910,13.979,17.427,23.28,28.84,34.032,34.349,31.551,29.905,29.598,25.374,19.916,14.942
1911,16.166,17.768,21.183,29.327,35.342,35.631,32.827,30.175,28.782,27.061,19.028,14.844
1912,15.033,18.235,22.37,29.37,34.273,36.673,32.242,29.879,28.433,26.592,19.731,15.027
1913,15.006,17.076,21.08,30.589,32.042,33.231,31.777,31.362,31.556,27.997,20.578,15.317
1914,16.508,17.478,22.753,30.221,34.039,34.706,31.304,29.637,30.028,25.802,21.341,14.604
1915,14.782,15.701,22.475,28.938,35.743,35.385,33.247,30.619,31.071,28.511,21.112,15.919
1916,15.284,16.925,25.795,31.033,34.034,33.702,31.543,29.208,29.387,25.98,19.071,14.171
1917,14.984,17.318,22.489,26.306,29.641,33.926,30.516,29.115,28.601,25.313,18.285,15.18
1918,13.688,17.584,22.872,27.557,35.409,34.598,34.464,31.76,30.901,27.356,20.752,14.318
1919,14.571,16.264,23.469,28.59,33.204,36.657,30.361,29.14,29.524,26.167,20.236,14.657
1920,14.778,16.737,23.135,29.255,30.999,33.933,30.437,30.383,31.421,28.374,22.235,16.202
1921,15.517,18.377,26.025,32.236,36.695,35.802,33.688,29.223,28.643,25.964,20.519,16.985
1922,14.395,18.774,24.717,30.273,34.577,34.361,31.261,28.655,28.631,26.155,20.34,14.722
1923,14.527,16.639,23.743,30.347,33.646,37.602,32.239,29.093,29.615,25.756,20.435,15.197
1924,13.446,16.911,24.431,30.086,31.607,37.168,30.935,29.313,29.011,25.794,20.136,15.343
1925,12.62,15.389,22.896,31.103,33.12,31.712,29.447,30.431,30.389,27.022,19.652,14.934
1926,14.788,18.514,21.801,26.459,31.832,36.698,32.104,29.45,28.79,25.489,18.456,14.357
1927,12.698,15.658,21.766,28.658,32.766,35.183,30.902,28.872,29.396,26.564,19.911,16.43
1928,14.139,17.603,23.48,29.048,35.121,34.859,31.812,31.605,31.084,27.636,21.727,15.177
1929,14.313,15.988,24.84,30.363,34.944,35.076,30.909,29.085,30.992,26.843,21.234,14.62
1930,14.011,17.081,24.454,29.449,33.777,34.607,29.974,29.328,30.2,26.83,20.394,15.175
1931,16.085,16.071,22.575,30.845,34.086,36.02,32.179,30.301,29.047,25.863,20.214,16.039
1932,16.911,16.508,23.691,29.04,32.993,36.664,32.834,29.407,29.723,26.469,19.883,14.783
1933,12.419,17.461,23.635,27.629,31.047,33.944,30.56,28.907,28.591,25.58,20.205,15.25
1934,13.176,18.071,21.788,29.035,33.183,33.619,30.951,28.846,29.5,24.331,19.552,15.905
1935,12.825,17.666,23.143,26.599,34.15,36.566,31.324,29.213,29.486,25.673,20.999,15.1
1936,13.016,17.262,23.081,28.964,35.253,32.775,30.333,29.212,29.083,26.025,21.13,15.497
1937,13.39,17.795,21.479,27.8,33.636,35.812,31.639,30.747,29.989,26.136,20.89,14.449
1938,13.974,15.879,24.778,30.648,35.536,33.337,31.653,30.024,30.792,27.313,19.459,15.109
1939,15.449,17.644,20.929,28.143,35.232,33.704,31.197,31.164,29.413,27.345,20.134,15.353
1940,14.522,16.551,21.326,27.953,34.461,35.88,32.543,29.32,29.387,26.595,21.8,15.006
1941,13.853,18.171,25.476,31.954,35.161,34.249,33.82,31.111,30.684,29.195,21.252,17.01
1942,13.284,18.68,25.025,30.945,35.058,36.392,30.806,29.046,28.689,26.37,21.818,14.893
1943,15.322,17.577,24.096,27.805,34.01,34.643,31.423,28.688,29.814,26.37,21.71,16.644
1944,13.882,16.996,21.891,28.147,35.24,33.989,31.264,30.388,29.899,26.019,21.516,16.858
1945,12.813,16.828,24.235,28.46,33.934,35.778,31.936,30.24,29.284,25.773,20.886,14.349
1946,15.353,19.462,23.158,30.952,33.981,34.736,31.324,29.969,30.293,27.105,20.918,16.206
1947,13.314,18.954,24.757,31.07,34.836,36.295,31.853,30.147,29.396,25.114,21.748,16.024
1948,14.805,16.999,21.992,30.898,35.263,36.921,31.802,29.611,29.499,27.034,20.344,15.949
1949,16.192,18.124,23.969,30.685,34.89,35.804,31.447,29.717,30.003,26.596,19.586,14.417
1950,15.534,16.278,21.991,28.425,34.274,35.494,31.196,29.611,29.061,26.078,20.035,14.096
1951,13.445,17.066,22.87,27.184,33.933,34.915,32.959,30.075,29.487,29.49,22.267,15.946
1952,15.9,20.019,23.176,31.188,34.966,33.155,30.902,29.202,30.644,27.351,20.908,16.012
1953,13.032,18.721,26.507,30.753,35.535,36.609,31.982,29.636,29.76,26.597,20.245,17.322
1954,12.966,19.011,23.724,30.655,35.81,36.131,31.96,30.372,29.394,24.591,21.198,14.77
1955,14.054,17.775,25.538,28.096,33.376,35.757,31.72,29.302,29.676,25.3,20.145,15.571
1956,14.75,18.038,23.771,30.45,35.278,34.748,29.957,29.503,30.335,25.507,19.896,15.979
1957,14.077,16.757,22.348,28.667,32.879,34.215,31.362,30.484,28.784,26.499,22.084,16.409
1958,16.722,18.855,24.857,31.778,34.486,35.585,30.935,29.576,29.264,26.375,21.121,17.248
1959,15.093,17.711,24.911,30.06,33.655,35.517,30.717,29.807,30.056,27.461,21.247,17.158
1960,14.677,21.025,23.665,29.155,34.064,35.999,31.344,29.488,30.007,26.099,20.308,16.625
1961,15.176,16.106,23.887,28.973,33.708,33.973,30.711,28.999,29.663,25.768,19.846,13.254
1962,13.976,18.225,23.169,30.161,33.649,35.594,32.102,29.983,28.953,25.242,21.295,16.633
1963,14.676,19.69,23.669,29.086,33.026,34.615,32.4,29.204,28.699,27.424,23.051,16.154
1964,13.888,17.801,25.548,30.66,32.184,35.157,30.093,30.374,28.962,26.603,20.119,16.45
1965,16.942,17.781,22.887,27.8,32.978,36.521,31.415,30.326,29.3,26.987,22.06,15.915
1966,15.954,20.586,23.613,30.014,33.983,33.502,32.713,29.403,29.825,27.696,21.759,15.523
1967,13.894,19.874,22.637,29.212,33.848,35.205,30.616,28.043,28.029,25.951,20.893,16.324
1968,13.746,16.203,23.085,28.954,33.051,34.826,29.726,28.961,29.907,25.993,20.974,16.264
1969,15.092,18.711,26.435,29.774,32.653,36.322,30.409,29.049,28.736,27.089,21.992,16.153
1970,15.307,16.903,22.951,31.248,34.047,32.82,31.962,29.812,29.276,26.888,20.733,16.628
1971,13.983,17.875,23.645,30.07,31.838,31.382,29.191,27.859,28.477,26.009,20.722,16.312
1972,15.2,15.793,24.426,29.268,35.016,35.568,32.442,28.761,27.875,25.986,21.648,16.383
1973,15.108,19.022,23.611,31.991,34.934,34.753,31.538,28.69,29.154,26.016,20.679,14.592
1974,14.044,17.02,25.193,31.751,34.064,34.439,30.373,29.022,29.864,27.381,20.749,15.006
1975,13.843,17.033,23.436,31.69,35.205,33.228,30.534,28.855,28.041,27.067,20.161,16.405
1976,16.109,18.485,23.63,29.265,33.213,32.377,31.123,28.061,28.442,27.268,22.224,16.54
1977,14.809,18.491,25.494,29.384,31.747,33.677,29.088,29.031,27.766,26.948,23.342,17.224
1978,14.765,17.02,21.606,29.56,36.214,33.608,29.62,28.058,28.209,26.523,21.803,16.349
1979,15.465,16.163,22.032,30.402,29.721,34.611,30.87,30.358,30.379,28.213,22.663,16.628
1980,14.894,19.051,23.08,31.823,35.599,33.143,29.416,29.33,29.087,27.574,21.446,16.247
1981,15.216,18.586,22.704,30.228,33.724,35.138,29.78,29.565,29.787,26.83,20.339,15.687
1982,15.479,16.341,20.882,28.831,31.542,34.257,32.496,29.334,28.955,27.114,21.384,16.728
1983,14.057,16.436,22.691,26.962,32.082,33.662,30.931,29.507,28.954,25.92,20.02,15.994
1984,14.414,15.702,24.866,30.279,35.969,34.528,30.393,29.213,28.153,26.249,20.413,16.477
1985,14.444,18.038,25.553,30.473,35.066,34.948,30.511,29.25,28.011,24.709,21.152,17.063
1986,14.77,17.037,23.296,29.931,32.284,34.429,29.911,30.135,29.843,26.232,21.893,15.134
1987,15.261,19.392,24.68,30.746,31.863,36.196,33.918,31.054,31.347,27.879,21.452,15.969
1988,16.573,19.425,24.198,31.238,35.839,33.866,30.426,29.392,30.052,26.726,21.243,16.325
1989,13.882,17.287,23.112,28.621,34.611,33.1,30.277,29.449,29.586,26.525,20.303,15.575
1990,16.631,17.654,21.754,29.711,32.998,34.662,30.152,29.745,28.737,26.282,21.48,16.167
1991,13.512,18.552,23.666,28.536,34.204,34.827,33.003,29.31,29.991,26.009,20.268,15.284
1992,14.789,16.986,23.404,29.667,33.325,35.299,31.817,29.438,28.628,26.118,20.872,16.042
1993,15.06,19.342,21.209,28.594,34.636,35.216,31.529,30.55,28.569,26.532,21.826,16.156
