Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,13.956,17.613,23.657,29.883,33.194,35.762,31.489,29.474,28.652,27.454,21.471,16.646
1902,17.031,19.132,26.165,30.176,34.074,34.965,30.518,29.682,28.973,26.036,20.693,15.88
1903,15.948,17.415,23.44,30.17,33.752,34.719,32.002,29.518,29.674,26.576,20.628,16.137
1904,16.148,18.723,24.299,31.306,32.718,32.954,29.708,28.831,28.774,26.519,20.089,16.606
1905,14.165,14.204,21.649,27.257,33.256,36.016,30.46,28.943,28.951,26.453,21.223,16.197
1906,15.156,16.996,22.899,30.449,35.008,33.843,30.674,28.981,29.274,26.662,22.019,17.246
1907,17.466,17.038,21.433,27.777,32.052,33.597,31.94,29.473,29.751,27.631,21.223,15.945
1908,14.9,18.539,24.134,32.282,34.26,35.343,30.626,29.439,29.617,26.596,20.431,15.888
1909,17.259,17.254,24.904,28.391,33.752,31.432,30.023,29.266,29.513,26.936,21.289,16.845
1910,15.556,18.248,24.756,30.506,33.565,32.634,30.211,29.274,29.274,26.285,20.402,15.789
1911,17.208,18.066,22.474,30.048,34.965,32.346,32.174,29.609,28.731,26.569,19.797,15.487
1912,15.891,19.356,24.171,29.757,33.416,34.742,30.774,29.14,28.674,26.618,19.962,15.745
1913,15.674,17.974,22.066,30.734,32.008,30.86,30.403,29.716,29.509,26.534,19.874,15.88
1914,17.116,18.674,23.151,29.135,32.386,33.264,30.432,29.108,28.959,25.357,21.597,16.562
1915,16.439,17.472,23.722,30.271,34.894,34.2,31.432,29.365,29.188,28.077,22.325,16.489
1916,15.674,18.048,26.687,31.605,34.465,31.531,30.248,29.058,29.031,26.971,21.365,15.245
1917,15.474,17.949,23.165,27.522,29.774,32.091,30.117,29.374,28.54,26.569,20.5,16.097
1918,14.631,18.673,24.599,29.048,34.043,31.151,31.898,29.352,29.351,26.282,20.375,15.305
1919,15.665,16.796,24.356,28.707,32.245,32.94,29.866,29.374,28.817,26.253,21.045,15.963
1920,16.158,17.665,23.682,30.091,31.059,34.017,29.966,29.374,29.295,27.057,21.531,17.028
1921,16.299,18.731,26.94,31.925,36.299,33.12,30.854,28.674,28.26,25.605,19.914,16.825
1922,15.53,19.449,25.483,30.091,34.842,31.866,29.609,28.574,28.152,25.026,20.265,15.737
1923,15.865,17.622,24.069,31.275,34.116,35.877,30.117,29.331,28.924,25.506,20.723,16.663
1924,15.248,18.405,25.999,31.291,32.525,36.077,29.932,29.039,28.361,26.705,20.789,16.546
1925,14.248,17.131,24.248,30.996,32.8,31.942,29.331,29.426,28.939,26.513,20.411,15.737
1926,15.439,19.149,22.781,26.9,31.594,35.934,31.103,29.382,28.722,25.998,18.831,16.211
1927,14.631,17.388,22.891,29.591,32.394,34.343,30.583,29.083,29.583,26.512,20.502,17.189
1928,15.225,18.482,24.7,29.135,34.185,32.611,30.109,30.434,30.308,27.663,21.339,16.805
1929,15.548,17.34,25.449,30.6,34.751,33.577,30.117,28.532,29.469,25.805,21.003,16.036
1930,14.791,17.848,25.291,29.783,33.028,33.708,29.818,29.074,29.431,26.815,20.71,16.081
1931,16.983,17.431,23.991,31.483,34.017,35.012,30.502,29.974,29.083,26.561,20.912,17.062
1932,17.383,17.349,24.8,29.991,33.085,35.234,30.846,29.074,29.274,26.863,21.651,16.154
1933,14.173,19.057,24.9,27.905,30.618,32.426,30.117,29.317,29.074,26.405,20.938,16.646
1934,15.399,19.031,23.957,30.697,33.752,33.373,30.117,29.083,29.431,26.154,20.98,16.488
1935,14.323,18.613,24.391,27.2,34.377,34.776,30.382,28.64,28.731,26.063,20.697,15.88
1936,14.748,17.888,24.622,29.148,33.552,30.829,29.483,28.856,28.475,25.392,21.054,16.888
1937,14.475,18.023,23.157,27.886,32.651,33.656,30.46,28.358,29.031,25.585,20.435,15.232
1938,15.408,16.413,25.765,30.883,33.342,31.383,29.94,29.039,29.174,26.849,19.905,16.438
1939,16.456,18.33,22.56,29.248,34.808,32.701,30.018,28.922,28.665,26.513,20.847,16.537
1940,15.539,17.67,22.182,28.882,33.451,34.085,30.203,29.283,28.617,26.855,21.854,15.971
1941,15.456,18.904,26.491,32.483,33.752,32.792,31.36,29.575,29.317,27.257,21.054,17.437
1942,15.205,18.983,25.384,30.382,34.724,34.867,30.248,29.182,28.418,26.639,22.188,16.405
1943,17.291,18.473,25.307,28.4,34.551,34.085,30.56,28.631,29.408,26.696,21.962,17.463
1944,15.265,17.722,23.157,28.284,35.243,33.5,30.317,29.374,29.64,26.089,21.531,18.031
1945,14.212,17.491,24.8,28.391,33.442,34.625,31.091,30.026,29.016,25.498,20.872,15.289
1946,16.9,20.349,24.299,29.377,32.203,32.948,29.974,29.674,29.452,26.357,21.131,17.605
1947,15.191,18.991,25.351,31.591,33.994,35.077,30.231,29.632,29.217,26.213,21.666,17.097
1948,16.447,18.313,23.966,31.591,34.593,35.282,30.009,29.074,28.774,26.257,20.762,16.262
1949,17.275,18.6,24.734,30.211,32.628,34.412,30.46,29.131,29.117,27.297,20.029,15.362
1950,16.482,17.714,23.274,29.597,33.843,33.076,30.117,28.981,28.817,26.354,20.613,16.663
1951,14.957,18.496,24.356,29.022,33.457,33.935,30.951,29.473,28.973,28.406,22.255,16.532
1952,17.124,20.458,23.817,30.892,34.093,32.992,30.075,28.831,29.209,27.163,21.245,17.097
1953,15.265,20.418,27.708,30.949,34.351,33.969,29.465,28.623,28.899,26.097,20.772,18.206
1954,14.948,19.887,25.149,31.839,35.143,33.669,30.726,29.074,29.074,25.429,20.78,16.314
1955,15.8,18.974,26.391,29.256,33.552,33.526,29.6,28.981,28.774,26.137,21.245,16.879
1956,16.157,18.831,25.265,31.54,34.808,31.831,30.083,29.131,28.358,26.371,20.636,16.822
1957,16.165,17.848,23.408,29.914,34.017,33.952,30.617,29.674,29.096,26.605,22.08,17.506
1958,17.491,19.057,25.342,31.833,34.494,35.32,30.518,29.117,29.266,26.763,21.979,17.705
1959,16.325,17.949,25.334,30.892,33.777,34.219,30.526,29.266,29.209,26.771,21.589,17.48
1960,15.657,21.009,24.008,29.892,33.777,34.719,30.109,29.374,29.308,26.371,20.636,18.294
1961,16.348,17.18,25.342,30.583,33.952,33.534,30.708,29.165,29.1,26.162,20.154,13.831
1962,14.839,18.757,24.425,30.325,33.543,35.736,31.56,28.865,28.267,25.745,21.28,17.005
1963,15.215,19.874,24.142,29.642,32.251,32.792,30.334,29.317,28.608,27.062,22.614,17.053
1964,15.348,18.582,26.225,31.025,32.152,34.227,29.674,29.374,28.574,27.554,20.98,17.04
1965,16.983,18.674,23.508,28.756,33.407,35.611,30.769,29.326,28.608,26.748,22.106,16.505
1966,16.674,20.934,25.334,31.233,34.351,33.891,31.603,29.374,29.36,27.057,22.371,16.388
1967,15.465,20.174,23.2,29.349,33.12,34.511,30.117,28.332,28.766,26.105,20.492,17.113
1968,14.7,17.314,24.092,29.483,33.268,32.692,30.117,29.374,30.317,26.048,21.496,16.84
1969,15.891,19.948,27.134,30.974,32.408,34.785,29.875,28.674,28.54,27.114,22.962,16.988
1970,16.157,17.94,23.8,31.217,33.442,32.399,30.526,29.482,28.558,27.005,20.988,17.345
1971,15.439,18.132,23.674,28.566,30.843,30.865,29.066,27.848,28.965,26.196,20.915,17.28
1972,15.865,16.731,24.826,29.483,34.142,34.11,31.185,28.799,28.2,25.498,21.506,17.139
1973,16.257,19.483,23.909,31.374,33.92,32.95,30.468,29.2,28.882,26.613,20.679,15.789
1974,15.274,17.831,25.134,31.56,33.586,33.96,29.691,28.566,28.825,27.979,21.263,15.889
1975,15.499,18.5,24.073,31.252,34.429,32.916,29.209,28.774,28.566,27.631,20.171,16.314
1976,16.026,18.839,24.507,29.014,32.008,32.633,30.016,27.757,28.526,27.158,22.64,16.439
1977,15.282,18.94,25.643,29.234,31.276,33.286,29.575,29.083,28.739,26.648,23.105,17.215
1978,15.282,17.366,22.299,28.925,34.593,32.834,29.617,28.865,28.057,26.798,22.44,16.862
1979,16.891,17.556,23.457,29.757,32.948,32.926,29.757,29.518,29.659,27.673,23.932,17.431
1980,16.126,18.949,24.225,31.474,33.016,31.622,28.554,28.215,28.566,26.631,21.831,17.388
1981,16.017,19.414,23.674,29.06,32.152,33.19,29.048,28.99,28.522,26.396,20.588,16.455
1982,17.09,17.483,22.274,29.305,32.931,32.418,31.868,29.148,28.6,26.656,22.023,17.497
1983,14.839,18.553,23.726,28.524,31.951,33.935,30.726,29.491,29.473,26.462,20.771,17.197
1984,15.726,16.922,25.291,30.791,34.486,32.557,29.835,28.89,28.458,27.045,20.597,17.506
1985,16.447,18.682,26.565,30.991,33.895,34.368,29.283,29.274,28.657,25.871,21.814,18.34
1986,16.1,18.348,24.717,29.991,31.851,34.003,29.775,29.366,28.578,25.896,21.962,16.505
1987,15.548,19.866,24.526,30.176,32.599,35.528,31.252,30.169,29.7,27.14,21.728,16.714
1988,16.909,19.291,24.299,31.117,34.394,33.1,29.801,28.981,30.3,26.971,21.814,17.915
1989,15.156,18.065,24.048,29.974,34.017,32.391,30.1,27.713,29.14,27.136,21.47,16.388
1990,17.449,18.382,23.099,30.457,32.494,34.033,29.439,29.456,29.066,26.587,21.98,17.237
1991,15.582,19.974,24.766,29.875,34.303,33.278,31.577,28.566,29.274,26.262,20.713,17.189
1992,16.318,17.406,25.23,30.839,32.251,33.761,30.351,29.291,29.049,26.754,21.849,16.68
1993,16.447,19.722,22.674,29.182,32.925,32.817,31.034,29.516,28.231,27.022,22.263,17.662
1994,17.099,18.248,25.78,29.556,34.21,33.816,30.117,29.039,29.239,26.297,21.589,17.231
1995,15.274,18.974,24.206,30.792,35.577,34.602,30.569,28.965,29.14,27.396,22.263,18.189
1996,16.399,19.023,25.683,30.169,34.377,33.225,30.391,28.649,29.54,26.362,21.812,16.737
1997,15.809,17.739,24.507,29.663,32.16,33.677,32.552,29.274,28.501,25.231,21.396,17.078
1998,14.143,19.722,23.157,30.176,34.185,34.526,30.117,29.382,29.465,28.079,23.252,19.151
1999,15.888,20.814,25.692,32.897,33.599,32.935,30.334,29.2,28.665,27.562,23.832,18.511
2000,16.722,19.048,24.265,31.517,33.291,32.248,30.374,29.518,29.029,28.096,24.097,17.763
2001,15.888,19.414,24.948,29.514,33.679,32.183,30.058,29.866,30.115,27.953,24.125,18.939
2002,16.409,19.296,25.548,30.783,35.191,34.249,32.295,29.408,28.383,27.097,22.188,17.163
