Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,13.757,17.416,23.474,29.648,32.804,35.26,31.231,29.332,28.559,27.392,21.518,16.634
1902,17.009,19.109,25.761,29.753,33.609,34.322,30.339,29.491,28.832,25.747,20.717,15.987
1903,15.774,17.241,23.002,29.837,33.398,34.217,31.798,29.349,29.548,26.398,20.727,16.269
1904,15.999,18.777,24.039,31.131,32.21,32.579,29.658,28.741,28.591,26.383,20.05,16.483
1905,13.864,14.057,21.109,26.954,32.851,35.34,30.349,28.874,28.808,26.393,21.209,16.125
1906,14.931,16.622,22.477,30.206,34.552,33.368,30.548,28.832,29.133,26.515,22.076,17.275
1907,17.494,16.68,20.91,27.471,31.604,33.289,31.597,29.384,29.607,27.473,21.141,16.028
1908,15.019,18.416,23.975,32.09,33.727,34.857,30.438,29.231,29.397,26.577,20.435,15.893
1909,16.779,17.191,24.894,28.138,33.387,31.314,30.009,29.2,29.484,26.96,21.251,16.901
1910,15.661,18.073,24.589,30.263,33.119,32.262,29.998,29.184,29.133,26.139,20.392,15.818
1911,16.855,18.067,22.154,29.78,34.56,32.031,31.955,29.449,28.616,26.373,19.657,15.56
1912,15.716,19.175,23.921,29.335,32.884,34.149,30.555,28.974,28.49,26.524,19.773,15.734
1913,15.625,17.571,21.78,30.465,31.603,30.707,30.292,29.616,29.417,26.265,19.757,15.605
1914,17.016,18.202,22.788,28.804,32.003,32.828,30.331,29.042,28.808,25.107,21.473,16.492
1915,16.366,17.299,23.453,29.996,34.334,33.674,31.263,29.257,29.1,28.034,22.316,16.518
1916,15.651,17.874,26.666,31.286,34.23,31.347,30.022,29.026,28.848,26.773,21.441,15.301
1917,15.425,17.773,22.855,27.221,29.37,31.772,30.126,29.257,28.322,26.279,20.786,16.051
1918,14.609,18.599,24.364,28.687,33.569,30.965,31.631,29.208,29.233,26.236,20.309,15.157
1919,15.296,16.724,24.039,28.261,31.805,32.539,29.799,29.257,28.649,26.123,20.965,15.866
1920,16.286,17.364,23.167,29.823,30.656,33.484,29.9,29.257,29.056,26.764,21.467,17.169
1921,16.023,18.709,26.764,31.629,35.945,32.68,30.547,28.558,28.065,25.415,19.985,16.623
1922,15.248,19.273,25.399,29.875,34.471,31.548,29.609,28.458,27.991,24.884,20.278,15.514
1923,15.893,17.28,23.959,31.106,33.703,35.401,29.991,29.199,28.749,25.408,20.693,16.541
1924,15.031,18.258,25.765,31.065,32.02,35.652,29.883,28.874,28.139,26.558,20.724,16.601
