Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,14.663,18.404,24.029,30.163,32.683,34.485,30.784,29.373,28.849,27.671,21.927,17.305
1902,17.391,19.506,26.088,29.605,33.066,33.658,29.885,29.614,29.06,26.137,21.312,16.357
1903,16.301,18.155,23.637,30.231,33.585,33.394,31.405,29.301,29.531,26.651,21.184,16.642
1904,16.42,19.171,24.651,31.38,31.948,32.096,29.368,28.885,28.9,26.623,20.654,17.157
1905,14.678,14.756,21.674,27.188,32.159,34.702,30.004,28.666,28.879,26.772,21.698,16.691
1906,15.649,17.746,22.696,30.643,34.127,33.006,30.282,28.808,29.401,26.709,22.32,17.685
1907,17.743,17.847,21.446,27.666,31.78,32.931,30.85,29.678,29.657,27.503,21.526,16.654
1908,14.995,18.821,24.599,32.457,33.619,34.001,30.055,29.706,29.495,26.999,21.012,16.286
1909,17.324,18.046,25.561,28.28,33.325,31.193,29.826,29.143,29.628,27.228,21.741,17.377
1910,15.733,18.764,24.951,30.565,32.998,31.94,29.634,29.401,29.322,26.46,20.864,16.406
1911,17.386,18.385,22.709,30.065,34.291,31.717,31.443,29.409,28.786,26.63,20.278,15.999
1912,16.307,19.807,24.379,29.156,32.513,33.522,30.112,29.186,28.878,26.746,20.306,16.306
1913,15.949,18.449,22.356,30.984,31.525,30.417,29.997,29.466,29.549,26.345,20.255,16.4
1914,17.158,19.078,23.394,28.605,31.86,32.199,29.87,29.003,28.9,25.437,21.723,17.305
1915,16.792,18.155,23.775,30.096,33.744,32.83,31.011,29.357,29.299,28.337,23.04,17.007
1916,15.943,18.541,26.979,31.126,34.663,31.294,29.848,29.029,29.1,27.03,21.849,15.897
1917,15.692,18.363,23.365,27.928,29.623,31.632,29.817,29.387,28.608,26.482,21.374,16.691
1918,14.872,18.815,24.943,28.874,32.999,30.766,31.311,28.974,29.449,26.678,21.032,15.785
1919,16.234,17.354,24.771,28.708,32.094,32.188,29.76,29.387,28.9,26.493,21.491,16.634
1920,16.428,18.312,23.54,30.18,31.228,33.353,29.846,29.387,29.18,27.05,21.95,17.505
1921,16.677,19.077,26.817,31.611,35.705,32.701,30.248,28.9,28.443,25.722,20.618,16.64
1922,16.249,19.764,25.886,30.455,34.473,31.273,29.637,28.706,28.292,25.362,21.004,16.568
1923,16.186,18.235,24.434,31.251,33.639,34.713,29.817,29.506,29.1,25.814,21.255,17.143
1924,15.543,18.863,26.342,31.279,32.438,35.177,29.803,29.086,28.33,26.894,21.177,17.22
1925,14.621,17.292,24.423,30.462,32.474,31.566,29.273,29.237,28.957,26.359,20.906,16.272
1926,15.814,19.349,22.931,27.369,31.686,35.446,30.414,29.294,28.878,26.308,19.652,16.884
1927,15.063,18.112,23.122,29.934,31.831,33.506,30.205,29.038,29.509,26.743,21.261,17.514
1928,15.328,18.863,25.243,29.385,33.582,31.917,29.811,30.137,30.18,27.631,21.563,17.463
