Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,13.542,16.57,23.164,29.435,33.565,36.536,32.724,29.758,29.375,27.451,21.337,16.008
1902,16.551,18.737,25.348,30.109,33.865,34.521,30.519,30.066,29.066,25.633,20.236,15.324
1903,15.339,16.588,22.323,29.027,33.811,35.472,32.769,29.826,29.784,25.634,20.213,15.405
1904,15.448,18.251,23.343,30.618,32.823,34.173,29.947,28.917,28.837,26.028,19.691,15.713
1905,13.22,13.374,20.191,26.767,33.341,35.837,31.26,29.694,29.781,26.331,21.352,15.583
1906,14.342,15.762,21.827,29.923,35.212,33.971,31.008,29.442,29.136,26.392,21.737,16.594
1907,17.048,15.765,20.409,27.526,32.228,34.78,33.325,29.504,30.44,27.483,21.191,14.983
1908,14.748,18.027,23.47,31.693,34.196,35.668,30.554,29.197,29.62,26.213,20.297,15.16
1909,15.979,16.35,24.546,27.97,33.457,31.872,30.109,29.658,29.393,26.709,21.076,15.881
1910,15.084,17.514,23.785,29.587,33.575,33.289,30.91,29.547,29.38,25.291,19.65,15.055
1911,16.586,17.822,21.254,29.348,35.083,33.815,32.298,29.95,28.596,26.247,19.191,14.91
1912,15.295,18.606,22.8,29.211,33.655,35.178,31.188,29.47,28.625,26.085,19.492,15.03
1913,15.35,17.058,21.154,30.493,31.957,31.827,31.17,30.553,30.326,27.093,19.917,15.032
1914,16.954,17.641,22.528,29.324,33.209,34.136,30.54,29.565,29.437,25.182,21.021,15.365
1915,15.708,16.38,22.499,29.255,35.238,34.283,31.809,29.888,29.556,27.416,21.207,15.886
1916,15.425,17.262,25.928,30.925,34.18,32.024,30.564,29.343,29.066,26.172,19.829,14.389
1917,15.186,17.326,22.271,26.523,29.554,32.635,30.446,29.529,28.454,25.63,19.318,15.351
1918,14.248,18.225,23.627,28.173,34.587,32.45,33.252,30.409,30.08,26.68,20.469,14.464
1919,14.732,16.192,23.48,28.379,32.856,34.792,30.095,29.519,29.164,25.809,20.307,14.98
1920,15.771,16.703,22.747,29.525,31.051,33.743,30.2,29.869,30.197,27.279,21.52,16.498
1921,15.619,18.412,26.17,31.833,36.421,34.106,32.144,28.841,28.448,25.341,20.033,16.775
1922,14.528,18.885,24.869,30.1,34.973,33.471,30.408,28.716,28.565,25.402,20.319,14.618
1923,15.349,16.66,23.962,30.748,33.925,36.459,30.877,29.303,29.253,25.295,20.497,15.716
1924,14.395,17.569,25.174,30.695,32.005,36.632,30.326,29.243,28.656,26.169,20.273,15.679
1925,13.44,16.521,23.366,30.657,32.907,31.923,29.489,29.964,29.203,26.36,19.492,15.196
1926,14.862,18.695,21.797,26.415,31.835,36.077,31.75,29.601,28.764,25.516,18.576,15.164
1927,13.843,16.146,22.17,29.191,32.704,34.542,30.799,29.172,29.519,26.177,19.701,16.586
1928,14.745,17.947,23.742,29.006,34.798,33.724,30.809,31.184,30.66,27.195,21.199,15.716
1929,14.834,16.589,24.767,30.315,35.015,33.971,30.774,28.773,30.136,25.754,20.672,15.177
1930,14.165,17.195,24.592,29.514,33.703,33.864,30.134,29.355,29.513,26.361,20.047,15.567
1931,16.569,16.26,23.124,31.213,33.975,35.65,31.346,30.256,28.97,25.767,20.193,16.191
1932,17.149,16.592,24.02,29.492,33.24,35.58,31.931,29.243,29.374,26.279,20.608,15.36
1933,13.518,18.061,24.068,27.332,30.572,32.982,30.432,29.5,28.941,25.874,20.445,15.86
1934,14.371,18.611,22.605,29.808,33.718,33.249,30.487,29.004,29.454,25.297,20.298,15.536
1935,13.291,17.76,23.523,26.772,34.621,35.484,30.516,28.941,28.892,25.476,20.501,14.863
1936,13.852,16.872,23.452,28.811,34.106,31.502,29.772,28.916,28.662,25.494,20.586,16.006
1937,13.943,17.261,22.123,27.673,33.034,33.971,31.071,29.217,29.12,25.04,20.514,14.686
1938,14.703,15.619,24.837,30.624,34.046,31.849,30.287,29.444,29.62,26.702,19.274,15.727
1939,15.842,17.351,21.505,28.545,34.987,32.793,30.53,29.632,28.885,26.414,20.378,15.724
1940,14.954,16.67,21.228,28.344,33.905,34.68,31.371,29.511,28.885,26.31,21.345,14.874
1941,14.488,18.19,25.74,32.144,34.31,33.113,32.311,30.283,29.788,27.633,20.722,16.825
1942,14.219,18.614,24.977,30.361,34.738,35.379,30.497,29.229,28.673,26.391,21.718,15.326
1943,16.027,18.105,24.553,27.897,34.542,34.319,31.066,28.736,29.677,26.291,21.819,16.587
1944,14.411,16.779,22.253,28.013,35.376,33.549,30.774,29.859,29.497,25.909,21.394,17.447
1945,13.198,16.963,24.158,28.043,33.8,34.985,31.35,30.298,29.156,25.28,20.645,14.601
1946,16.655,19.772,23.466,29.813,32.756,33.332,30.49,29.979,29.941,26.348,20.918,16.737
1947,14.227,18.61,24.616,31.218,34.474,35.49,30.873,29.92,29.376,25.52,21.516,16.259
1948,15.742,17.273,22.696,31.22,35.081,35.635,30.641,29.337,28.987,26.247,20.18,15.484
1949,16.929,18.013,24.23,30.539,33.671,35.086,31.052,29.438,29.463,26.863,19.649,14.464
1950,15.935,16.773,22.322,28.915,34.062,33.825,30.487,29.34,29.044,25.935,20.392,15.306
1951,14.092,17.73,23.331,27.906,33.578,34.254,31.898,29.84,29.098,28.42,21.829,16.104
1952,16.718,19.956,22.917,30.747,34.452,32.895,30.516,29.044,29.824,26.83,20.806,16.436
1953,14.177,19.865,26.914,30.571,34.666,34.848,30.342,29.083,29.305,26.027,20.588,17.469
1954,13.909,18.803,24.315,31.099,35.486,34.505,31.274,29.687,29.18,24.702,20.64,15.231
1955,14.919,18.393,25.672,28.399,33.547,34.297,30.369,29.219,29.092,25.27,20.491,15.854
1956,15.401,18.343,24.146,30.924,34.895,32.624,30.061,29.345,29.052,25.545,20.02,15.862
1957,14.973,17.197,22.455,29.076,33.5,33.953,30.984,30.136,28.868,26.266,21.814,16.726
1958,16.938,18.59,24.84,31.691,34.726,35.521,30.884,29.466,29.35,26.291,21.577,16.981
1959,15.838,17.434,24.959,30.411,34.048,34.765,30.559,29.74,29.662,26.589,21.124,17.071
1960,15.009,21.123,23.455,29.467,34.287,35.264,30.616,29.647,29.652,25.899,20.217,17.306
1961,15.668,16.107,24.688,30.009,33.925,33.713,30.922,29.349,29.401,25.502,19.502,13.412
1962,14.356,18.156,23.701,30.106,33.774,35.949,32.022,29.49,28.508,25.314,21.144,16.452
1963,15.034,19.701,23.582,29.185,32.59,33.332,31.239,29.43,28.716,26.906,22.297,16.263
1964,14.612,18.087,25.842,30.796,32.172,34.585,29.89,29.884,28.665,26.885,20.4,16.555
1965,16.901,17.774,22.848,28.086,33.25,36.183,31.22,29.914,29.052,26.485,21.766,15.93
1966,16.284,20.515,24.521,30.852,34.424,33.832,32.173,29.551,29.645,27.082,21.649,15.775
1967,14.886,19.982,22.472,29.059,33.666,34.975,30.522,28.352,28.645,25.856,20.368,16.275
1968,14.132,16.398,23.339,29.163,33.562,33.219,30.208,29.432,30.297,25.937,20.908,16.284
1969,15.326,19.27,26.685,30.168,32.365,35.286,30.175,28.969,28.444,26.831,22.151,16.475
1970,15.565,17.283,23.132,31.224,33.786,32.346,31.09,29.667,28.816,26.563,20.671,16.707
1971,14.648,17.758,23.126,28.626,30.887,31.024,29.411,27.947,28.99,25.992,20.682,16.657
1972,15.652,16.04,24.652,28.96,34.797,34.685,31.683,28.915,28.289,25.237,21.224,16.657
1973,15.52,18.811,23.371,31.485,34.419,33.238,30.903,29.445,29.08,26.063,20.446,15.125
1974,14.612,17.33,25.149,31.571,33.944,34.162,30.221,28.83,29.329,27.661,20.809,14.986
1975,14.561,17.746,23.133,31.038,34.999,32.826,29.723,29.005,28.216,27.363,20.012,16.1
1976,15.816,18.16,23.593,28.386,32.186,32.836,30.502,27.785,28.865,26.97,22.498,16.426
1977,15.061,18.467,25.596,29.01,31.199,33.532,29.601,29.19,28.31,26.61,22.674,16.319
1978,14.828,16.878,21.131,28.771,35.494,33.125,29.818,28.824,27.984,26.637,21.706,16.048
1979,16.313,16.691,22.027,29.467,32.109,33.447,30.139,30.047,29.995,27.684,23.319,16.613
1980,15.567,18.595,23.254,30.914,33.536,31.595,28.46,28.372,28.66,26.557,21.471,16.815
