Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,14.656,18.332,24.092,30.127,33.861,36.359,31.745,29.513,28.623,27.325,21.234,16.745
1902,17.286,19.373,26.942,30.838,34.774,35.6,30.593,29.783,28.911,26.278,20.465,15.797
1903,16.482,18.033,24.35,30.568,34.336,35.231,32.009,29.621,29.614,26.425,20.2,15.856
1904,16.671,18.782,24.894,31.563,33.442,33.36,29.49,28.782,28.804,26.451,20.089,17.038
1905,15.073,14.783,22.711,27.778,33.777,36.794,30.553,28.886,29.027,26.287,21.226,16.481
1906,15.835,18.119,23.583,30.725,35.519,34.37,30.636,29.091,29.264,26.72,21.697,17.284
1907,17.589,18.14,22.665,28.285,32.773,34.018,32.553,29.446,29.85,27.549,21.256,15.858
1908,14.891,19.009,24.581,32.522,35.126,35.768,30.732,29.548,29.741,26.474,20.461,15.982
1909,18.47,17.62,25.187,28.762,34.346,31.318,29.762,29.13,29.188,26.483,21.328,16.869
1910,15.506,18.855,25.161,30.8,34.119,32.908,30.547,29.195,29.34,26.32,20.233,15.863
1911,18.263,18.281,23.262,30.303,35.414,32.568,32.186,29.543,28.583,26.687,20.103,15.552
1912,16.473,20.061,24.596,30.285,34.199,35.279,30.785,29.182,28.701,26.553,20.231,15.844
1913,15.985,19.079,22.793,31.207,32.566,30.913,30.541,29.697,29.334,26.882,20.151,16.64
1914,17.496,19.869,23.972,29.645,33.054,33.86,30.269,29.091,29.067,25.643,21.8,16.85
1915,16.846,18.099,24.239,30.54,35.729,34.646,31.36,29.257,28.982,27.827,22.111,16.641
1916,15.88,18.679,26.636,31.862,34.889,31.33,30.259,28.848,29.013,27.088,20.801,15.254
1917,15.792,18.57,23.864,28.153,30.47,32.279,30.126,29.407,28.666,26.774,19.865,16.34
1918,14.892,19.008,25.187,29.493,34.538,31.113,32.331,29.335,29.362,26.363,20.584,15.869
1919,16.717,17.247,25.092,29.439,33.194,33.515,29.605,29.373,28.928,26.092,21.091,16.335
1920,16.062,18.621,24.784,30.49,31.929,34.738,29.797,29.415,29.496,27.366,21.617,16.707
1921,17.164,18.864,27.172,32.317,36.801,33.631,31.301,28.679,28.525,25.796,19.756,17.369
1922,16.424,19.989,25.708,30.537,35.378,32.259,29.428,28.667,28.167,25.157,20.289,16.359
1923,16.091,18.55,24.453,31.395,34.814,36.368,30.123,29.276,29.134,25.609,20.752,17.076
1924,15.836,18.966,26.586,31.63,33.556,36.541,29.701,29.086,28.622,26.801,20.893,16.653
1925,14.873,17.381,24.604,31.105,33.125,32.467,29.102,29.608,28.969,26.735,20.535,15.585
1926,15.94,19.7,23.779,27.425,32.322,36.287,31.286,29.509,28.566,25.978,19.046,16.253
1927,14.969,18.411,23.301,30.007,33.163,34.871,30.602,29.264,29.699,26.709,20.476,17.38
1928,15.885,19.101,25.354,29.606,34.676,32.934,30.02,30.122,30.103,27.681,21.651,17.243
1929,16.141,17.741,25.764,31.123,35.423,34.071,30.122,28.489,29.892,25.908,20.862,15.959
1930,15.531,18.457,25.654,30.114,33.695,34.272,29.759,29.077,29.336,27.169,20.769,16.052
1931,17.489,18.458,24.457,31.721,34.704,35.427,30.64,29.924,29.21,26.648,20.865,17.336
1932,17.816,18.067,25.299,30.379,33.768,35.587,31.069,29.086,29.34,26.92,21.247,16.292
1933,14.561,19.847,25.488,28.159,31.314,32.581,30.124,29.404,29.141,26.596,20.666,16.651
1934,16.159,19.212,24.526,30.855,34.434,33.814,30.124,29.28,29.364,25.986,20.932,17.313
1935,15.227,19.264,24.888,27.901,34.873,35.203,30.405,28.681,28.713,26.043,20.917,16.552
1936,15.286,18.9,25.266,29.577,34.325,31.439,29.583,29.077,28.597,25.703,21.196,17.092
1937,14.775,19.016,23.661,28.733,33.334,34.016,30.555,28.11,28.969,25.529,21.095,15.418
1938,16.398,17.043,26.365,31.213,33.934,31.551,30.002,29.086,29.203,27.048,20.231,16.197
1939,17.162,19.419,23.618,29.59,35.305,33.144,29.934,28.752,28.605,26.801,20.695,16.428
1940,15.879,18.394,23.139,29.213,34.122,34.61,30.269,29.365,28.816,26.792,21.811,16.596
1941,16.316,19.363,26.986,32.718,34.38,33,31.453,29.608,29.429,27.551,21.086,17.362
1942,15.747,19.49,25.596,30.709,35.672,35.214,30.253,29.311,28.525,26.701,22.231,16.967
1943,18.637,18.787,25.967,29.008,35.164,34.783,30.699,28.538,29.339,26.684,21.633,17.728
1944,16.259,18.624,23.661,28.523,35.643,33.977,30.315,29.369,29.725,25.883,21.651,18.187
1945,14.945,18.192,25.472,28.785,33.933,34.874,31.307,30.305,29.13,25.509,20.642,15.44
1946,16.867,20.893,24.878,29.973,33.128,33.053,29.836,29.585,29.469,26.731,21.227,18.119
1947,15.931,19.586,26.257,32.003,34.666,35.499,30.147,29.59,29.329,26.499,21.782,17.342
1948,17.079,19.034,24.646,31.948,35.273,35.438,29.839,29.18,28.798,26.627,21.011,16.671
1949,17.606,19.475,25.309,30.627,33.399,34.745,30.642,29.085,29.225,27.307,19.697,15.777
1950,16.984,18.331,24.039,29.696,34.443,33.454,30.121,29.077,29.018,26.275,20.435,16.983
1951,15.633,18.785,24.81,29.568,33.964,34.28,30.857,29.395,29.012,28.604,22.337,16.816
1952,17.661,21.24,24.619,31.354,34.883,33.347,30.05,28.798,29.139,27.032,21.14,17.239
1953,16.25,20.995,28.319,31.14,34.96,34.339,29.259,28.376,28.712,25.992,20.59,18.61
1954,15.483,20.681,25.315,32.093,35.49,34.066,30.864,29.091,29.101,25.417,20.577,16.911
1955,16.524,19.081,26.891,29.723,34.394,33.829,29.308,28.984,28.792,26.194,21.016,17.359
1956,16.679,18.851,25.905,31.786,35.345,31.61,30.121,29.075,28.104,26.506,20.315,17.859
1957,17.138,18.423,24.189,30.441,34.819,34.669,30.582,29.715,29.031,26.766,21.769,18.168
1958,18.316,20.001,26.179,32.311,35.374,36.051,30.68,29.175,29.145,26.778,21.923,18.087
1959,17.026,18.676,25.822,31.32,34.346,34.794,30.805,29.321,29.129,26.76,21.63,17.558
1960,16.503,21.486,24.729,30.578,34.292,35.358,29.99,29.484,29.247,26.568,20.5,17.95
1961,17.033,18.022,26.016,30.913,34.698,33.84,30.521,29.141,28.906,26.272,20.331,13.98
1962,15.167,19.541,24.819,30.659,34.07,36.368,31.648,28.697,28.205,25.478,21.195,17.382
