Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,13.609,16.796,23.518,29.543,34.001,37.063,33.22,29.687,29.754,27.912,21.379,16.217
1902,16.473,18.821,25.812,30.549,34.37,34.853,30.679,30.414,29.074,26.308,20.29,15.03
1903,15.357,16.918,22.795,28.968,33.797,36.313,33.182,29.682,29.873,25.715,19.809,14.873
1904,15.266,18.052,23.475,30.695,33.3,34.955,29.735,28.617,28.758,26.237,19.787,15.789
1905,13.468,13.437,20.545,27.217,34.091,36.744,31.678,29.825,30.365,26.712,21.812,15.759
1906,14.514,16.207,21.864,29.867,35.869,34.453,31.209,29.556,28.883,26.686,21.574,16.436
1907,16.703,16.201,21.001,27.773,32.594,35.437,34.02,29.276,30.463,27.405,21.226,14.578
1908,14.251,17.977,23.368,31.387,34.363,36.18,30.365,28.965,29.447,26.147,20.269,14.92
1909,15.66,16.412,24.099,27.92,33.345,32.516,29.933,29.376,28.989,26.515,21.559,15.303
1910,14.487,17.759,23.727,29.411,34.121,34.008,31.414,29.609,29.364,25.305,19.689,14.999
1911,16.91,17.863,21.596,29.553,35.505,34.944,32.451,29.785,28.498,26.737,19.199,14.858
1912,15.479,18.737,22.786,29.658,34.427,36.276,31.749,29.656,28.389,26.285,19.769,15.052
1913,15.325,17.606,21.456,30.865,32.294,32.576,31.567,30.876,30.771,27.749,20.449,15.569
1914,16.916,18.159,23.066,30.149,34.033,34.733,30.782,29.45,29.678,25.639,21.326,15.109
1915,15.368,16.273,22.79,29.284,35.963,35.114,32.521,30.124,30.087,27.87,20.957,15.949
1916,15.484,17.347,25.806,31.211,34.337,32.844,31.096,29.087,29.064,26.088,19.077,14.251
1917,15.315,17.611,22.723,26.79,30.007,33.424,30.441,29.219,28.464,25.536,18.371,15.401
1918,14.067,18.03,23.511,28.127,35.337,33.613,34.059,31.099,30.396,27.044,20.69,14.689
1919,15.158,16.37,23.891,28.964,33.559,36.138,30.108,29.219,29.263,25.921,20.263,14.983
1920,15.219,17.166,23.523,29.642,31.495,34.204,30.25,30.066,30.859,27.965,21.919,16.152
1921,16.026,18.474,26.201,32.37,36.805,35.287,33.218,28.967,28.564,25.733,20.196,17.163
1922,14.938,19.06,24.902,30.518,35.114,34.232,30.74,28.592,28.546,25.842,20.363,15.005
1923,14.993,17.107,24.043,30.689,34.172,37.313,31.57,29.077,29.421,25.569,20.463,15.631
1924,14.188,17.478,25.111,30.626,32.316,37.169,30.59,29.192,28.863,25.988,20.257,15.536
1925,13.34,15.957,23.291,30.986,33.246,32.084,29.334,30.215,29.711,26.79,19.625,14.947
1926,14.973,18.853,22.254,26.8,32.237,36.59,32.056,29.482,28.558,25.447,18.605,14.754
1927,13.376,16.337,22.138,29.22,33.153,35.133,30.784,29.024,29.347,26.421,19.774,16.594
