Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,13.91,17.049,23.675,29.646,34.178,37.025,32.955,29.583,29.38,27.464,20.957,16.072
1902,16.684,18.818,26.207,30.781,34.49,34.921,30.509,30.155,28.888,26.034,19.796,14.88
1903,15.663,17.061,23.208,29.162,33.974,36.115,32.728,29.652,29.592,25.414,19.431,14.772
1904,15.619,17.972,23.855,30.678,33.491,34.646,29.367,28.518,28.677,25.951,19.517,15.956
1905,13.993,13.675,21.192,27.29,33.919,36.654,31.29,29.505,29.957,26.264,21.344,15.763
1906,14.924,16.682,22.444,30.032,35.806,34.418,30.757,29.309,28.718,26.446,21.11,16.416
1907,16.934,16.709,21.668,27.981,32.88,35.24,33.836,29.123,30.286,27.27,20.945,14.547
1908,14.438,18.104,23.684,31.565,34.763,36.033,30.215,28.977,29.47,25.969,20.046,15.004
1909,16.679,16.513,24.533,28.134,33.71,31.828,29.476,29.124,28.739,26.137,21.203,15.425
1910,14.67,17.949,23.989,29.564,34.136,33.643,31.096,29.307,29.217,25.163,19.284,14.93
1911,17.464,17.819,22.033,29.554,35.436,34.426,32.11,29.625,28.227,26.457,19.112,14.816
1912,15.825,18.981,23.089,29.699,34.474,35.995,31.215,29.383,28.37,25.986,19.591,14.987
1913,15.496,18.079,21.861,30.989,32.416,31.99,31.194,30.482,30.284,27.6,20.177,15.8
1914,17.187,18.685,23.441,30.077,33.917,34.69,30.327,29.197,29.472,25.523,21.035,15.305
1915,15.71,16.595,22.98,29.367,36.066,34.888,31.821,29.713,29.496,27.464,20.607,15.887
1916,15.594,17.576,25.768,31.164,34.44,32.093,30.687,28.828,28.887,26.06,18.747,14.216
1917,15.407,17.783,23.039,27.071,30.171,32.981,30.136,29.117,28.355,25.625,17.981,15.395
1918,14.307,18.23,23.98,28.427,35.219,32.854,33.533,30.576,30.077,26.766,20.494,14.832
1919,15.689,16.422,24.233,29.231,33.823,35.708,29.649,29.115,29.087,25.675,20.046,15.144
1920,15.276,17.514,23.983,29.831,31.78,34.285,29.842,29.774,30.551,27.795,21.598,15.955
1921,16.498,18.384,26.331,32.334,36.818,34.959,32.822,28.768,28.553,25.613,19.761,17.24
1922,15.457,19.274,25.031,30.524,35.307,34.075,30.166,28.487,28.393,25.622,20.142,15.202
1923,15.241,17.513,24.296,30.764,34.404,37.084,30.981,28.924,29.266,25.353,20.245,15.851
1924,14.733,17.797,25.576,30.836,32.74,36.966,30.055,29.062,28.766,25.986,20.039,15.517
1925,13.78,16.238,23.59,30.856,33.155,32.145,28.875,30.041,29.259,26.686,19.331,14.752
1926,15.26,19.014,22.798,26.913,32.416,36.427,31.789,29.449,28.316,25.293,18.443,14.827
1927,13.732,16.829,22.42,29.43,33.394,35.003,30.569,28.994,29.369,26.336,19.445,16.587
1928,15.154,18.203,24.261,29.426,35.321,34.145,30.632,30.775,30.356,27.144,21.458,15.842
1929,15.249,16.625,25.102,30.811,35.514,34.608,30.393,28.503,30.541,26.028,20.375,14.88
1930,14.837,17.571,24.907,29.748,34.289,34.404,29.728,28.998,29.308,26.694,19.862,15.222
1931,16.878,17.108,23.389,31.346,34.595,35.959,31.468,29.998,28.952,25.669,19.842,16.286
1932,17.472,17.076,24.395,29.671,33.71,36.021,32.163,28.998,29.288,26.269,19.65,15.211
1933,13.5,18.535,24.488,27.629,31.294,33.186,30.215,29.182,28.61,25.763,19.805,15.449
1934,14.822,18.467,22.883,29.691,34.099,33.562,30.348,28.956,29.025,24.697,19.692,16.313
1935,14.014,18.259,23.987,27.38,34.831,35.947,30.36,28.805,28.792,25.282,20.527,15.501
1936,14.164,17.869,23.962,29.288,35.053,32.288,29.695,28.877,28.673,25.888,20.527,15.977
1937,14.089,18.208,22.377,28.556,33.796,34.609,30.958,29.112,29.005,25.164,20.894,14.692
1938,15.42,16.157,25.432,30.91,34.998,32.157,30.365,29.38,29.691,26.922,19.396,15.172
1939,16.428,18.399,22.481,28.735,35.422,33.315,30.394,29.678,28.695,26.821,19.869,15.342
1940,15.187,17.152,22.211,28.534,34.596,35.321,31.571,29.199,28.961,26.178,21.324,15.428
1941,15.117,18.484,26.154,32.276,35.08,33.448,32.574,30.354,29.939,28.289,20.627,16.637
1942,14.404,18.98,25.2,30.834,35.637,35.811,30.245,29.09,28.481,26.269,21.551,15.646
1943,17.218,18.036,25.062,28.483,34.905,34.82,31.021,28.394,29.387,26.101,21.214,16.787
1944,15.19,17.619,22.657,28.329,35.578,33.923,30.606,29.716,29.396,25.503,21.254,17.283
