Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,14.849,18.48,24.071,30.149,32.038,33.542,30.226,29.214,28.826,27.664,22.238,17.555
1902,17.554,19.483,25.697,28.981,32.058,32.369,29.327,29.495,28.826,25.925,21.537,16.559
1903,16.314,18.178,23.332,29.894,33.165,32.342,30.871,29.095,29.293,26.566,21.513,16.959
1904,16.48,19.238,24.451,31.039,31.085,31.452,29.047,28.816,28.826,26.545,20.919,17.281
1905,14.676,14.746,21.232,26.815,31.125,33.428,29.527,28.479,28.746,26.799,21.893,16.8
1906,15.695,17.673,22.271,30.495,33.205,32.122,29.846,28.661,29.326,26.565,22.479,17.819
1907,17.819,17.773,21.032,27.37,31.253,32.375,30.092,29.716,29.492,27.365,21.692,17.047
1908,14.985,18.663,24.67,32.394,32.765,32.842,29.526,29.75,29.227,27.144,21.239,16.42
1909,17,18.253,25.925,28.036,32.683,30.85,29.646,29.034,29.6,27.385,21.973,17.64
1910,15.94,18.698,24.77,30.193,32.184,31.297,29.073,29.415,29.193,26.246,21.041,16.675
1911,17.186,18.283,22.487,29.714,33.43,31.317,30.736,29.261,28.646,26.391,20.354,16.221
1912,16.315,19.724,24.096,28.442,31.54,32.421,29.491,29.097,28.826,26.645,20.374,16.555
1913,16.02,18.183,22.151,30.873,30.886,30.072,29.626,29.26,29.546,26.266,20.373,16.341
1914,17.045,18.767,23.252,28.015,31.294,31.418,29.445,28.882,28.826,25.245,21.518,17.535
1915,16.881,18.199,23.372,29.596,32.584,31.644,30.472,29.335,29.227,28.365,23.22,17.22
1916,16.02,18.445,26.936,30.507,34.276,30.951,29.406,29.034,29.027,26.791,21.941,16.274
1917,15.8,18.243,23.051,27.71,29.249,31.096,29.526,29.261,28.426,26.192,21.814,16.854
1918,14.9,18.628,24.851,28.449,32.146,30.452,30.751,28.626,29.426,26.845,21.373,15.86
1919,16.154,17.417,24.651,28.376,31.6,31.65,29.561,29.315,28.825,26.499,21.639,16.835
1920,16.641,18.204,22.933,29.84,30.932,32.461,29.726,29.261,29.027,26.946,22.059,17.812
1921,16.675,19.01,26.455,31.14,34.91,32.034,29.751,28.915,28.426,25.644,21.093,16.256
1922,16.295,19.643,25.89,30.55,33.917,30.87,29.479,28.715,28.381,25.553,21.393,16.749
1923,16.354,18.138,24.691,30.98,32.844,33.667,29.56,29.568,28.986,25.899,21.592,17.182
1924,15.561,18.744,26.252,31.015,31.759,34.266,29.626,28.996,28.207,26.866,21.274,17.555
