Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,14.087,17.092,23.584,29.888,33.886,36.71,32.626,29.868,29.165,27.229,21.025,16.027
1902,16.838,18.909,26.073,30.609,34.229,34.951,30.718,30.016,29.143,25.649,19.916,15.392
1903,15.77,16.965,23.129,29.692,34.331,35.435,32.595,29.987,29.745,25.752,19.963,15.57
1904,16.007,18.403,24.113,31.014,33.193,34.002,29.914,29.071,28.982,26.078,19.542,16.082
1905,13.96,13.837,21.307,27.153,33.396,36.06,31.018,29.513,29.503,26.128,20.972,15.751
1906,14.947,16.511,22.8,30.405,35.316,34.192,30.906,29.406,29.328,26.438,21.418,16.76
1907,17.374,16.598,21.453,28.067,32.689,34.733,33.361,29.614,30.46,27.642,21.007,15.205
1908,14.969,18.421,24.148,32.299,34.86,35.779,30.818,29.477,29.884,26.346,20.184,15.459
1909,17.31,16.666,25.321,28.488,34.098,31.41,30.039,29.658,29.437,26.59,20.839,16.263
1910,15.415,17.932,24.482,30.199,33.816,33.128,30.865,29.471,29.562,25.541,19.467,15.193
1911,17.273,17.91,22.11,29.737,35.224,33.379,32.294,30.037,28.683,26.29,19.305,15.038
1912,15.738,19.135,23.555,29.603,33.882,35.078,30.93,29.43,28.881,26.084,19.455,15.16
1913,15.634,17.766,21.951,30.884,32.236,31.394,31.074,30.275,29.956,27.124,19.742,15.441
1914,17.289,18.485,23.228,29.44,33.234,34.285,30.388,29.514,29.418,25.307,20.957,15.867
1915,16.289,16.981,23.142,29.769,35.538,34.277,31.376,29.647,29.136,27.389,21.138,16.026
1916,15.611,17.733,26.276,31.237,34.519,31.485,30.461,29.298,29.107,26.558,19.756,14.545
1917,15.375,17.733,22.952,27.197,29.987,32.405,30.424,29.733,28.655,26.078,19.198,15.572
1918,14.534,18.629,24.505,28.845,34.615,31.746,33.07,30.009,29.956,26.568,20.35,14.869
1919,15.46,16.426,24.173,28.914,33.251,34.441,29.982,29.671,29.219,25.879,20.309,15.364
1920,15.976,17.335,23.574,30.048,31.6,34.151,30.103,29.769,30.028,27.268,21.245,16.438
1921,16.172,18.559,26.67,32.086,36.623,33.917,31.874,28.861,28.725,25.478,19.633,16.98
1922,15.26,19.232,25.343,30.378,35.403,33.354,29.986,28.821,28.713,25.358,20.203,15.029
1923,15.716,17.286,24.48,31.181,34.39,36.424,30.442,29.415,29.405,25.358,20.435,16.182
1924,15.061,18.132,26.059,31.288,32.724,36.655,30.032,29.295,28.824,26.557,20.244,15.892
1925,14.101,16.981,24.05,30.763,33.025,32.355,29.396,29.926,28.944,26.501,19.428,15.192
1926,15.252,19.076,22.682,26.841,32.209,36.185,31.794,29.778,28.814,25.714,18.594,15.503
1927,14.401,16.958,22.85,29.744,33.111,34.691,30.795,29.381,29.786,26.358,19.579,16.778
1928,15.306,18.346,24.516,29.404,34.934,33.475,30.438,30.986,30.671,27.283,21.107,16.213
1929,15.34,17.022,25.231,30.736,35.391,33.992,30.653,28.713,30.182,25.637,20.316,15.435
1930,14.661,17.575,25.15,29.837,33.988,33.995,30.173,29.37,29.444,26.572,19.917,15.649
1931,17.02,17.011,23.855,31.637,34.393,35.767,31.153,30.269,29.175,26.054,20.089,16.503
1932,17.394,17.026,24.701,30.011,33.686,35.485,31.728,29.255,29.462,26.502,20.563,15.66
1933,14.065,18.748,24.804,27.573,30.828,32.77,30.424,29.789,29.226,26.277,20.275,16.099
1934,15.232,18.905,23.562,30.446,34.255,33.436,30.461,29.286,29.507,25.754,20.416,15.946
1935,14.005,18.225,24.261,27.357,35.009,35.412,30.395,28.929,28.842,25.604,20.365,15.266
1936,14.501,17.391,24.298,29.148,34.151,31.483,29.667,28.985,28.722,25.668,20.434,16.372
1937,14.338,17.723,22.885,28.274,33.245,33.745,30.949,28.575,28.989,24.916,20.572,14.915
1938,15.526,15.965,25.497,30.938,33.926,31.538,30.033,29.331,29.4,26.817,19.345,15.806
1939,16.394,17.948,22.605,29.091,35.211,32.872,30.338,29.099,28.838,26.5,20.273,15.88
1940,15.327,17.188,22.066,28.86,34.126,34.627,31.022,29.594,29.004,26.403,21.173,15.298
1941,15.201,18.512,26.374,32.538,34.403,32.96,31.858,30.062,29.719,27.506,20.52,16.754
1942,14.846,18.881,25.339,30.497,35.188,35.281,30.424,29.48,28.857,26.569,21.644,15.837
1943,17.105,18.429,25.362,28.459,35.09,34.61,31.068,28.77,29.711,26.451,21.494,16.864
1944,15.159,17.3,22.961,28.324,35.692,33.784,30.549,29.707,29.599,25.899,21.275,17.678
1945,13.793,17.438,24.761,28.328,33.979,34.957,31.361,30.5,29.319,25.334,20.342,14.792
1946,17.03,20.208,24.204,29.934,32.893,33.05,30.155,29.98,29.925,26.46,20.838,17.238
1947,14.988,18.869,25.379,31.647,34.687,35.535,30.461,29.87,29.562,26.032,21.4,16.571
1948,16.371,17.874,23.668,31.724,35.358,35.457,30.35,29.295,28.998,26.361,20.155,15.72
1949,17.334,18.513,24.854,30.842,33.651,35.083,31.017,29.351,29.516,27.166,19.381,14.782
1950,16.435,17.301,23.173,29.324,34.304,33.609,30.366,29.331,29.219,26.078,20.24,15.99
1951,14.714,18.173,24.007,28.672,33.72,34.28,31.542,29.746,29.163,28.393,21.732,16.256
1952,17.241,20.379,23.718,31.084,34.769,33.125,30.339,29.05,29.644,26.852,20.654,16.718
1953,15.178,20.471,27.748,30.869,34.771,34.406,29.699,28.752,29.151,25.922,20.38,17.83
1954,14.627,19.387,24.972,31.594,35.618,34.165,31.208,29.419,29.263,25.027,20.317,15.892
1955,15.712,18.83,26.337,29.007,34.041,33.906,29.867,29.275,29.058,25.619,20.465,16.392
1956,16.045,18.609,25.016,31.406,35.171,31.941,30.218,29.351,28.636,25.917,19.88,16.404
1957,15.884,17.622,23.272,29.704,34.192,34.315,30.906,30.068,29.008,26.438,21.553,17.118
1958,17.415,18.979,25.515,32.043,35.189,35.909,30.863,29.489,29.472,26.415,21.529,17.162
1959,16.347,17.713,25.505,30.948,34.391,34.834,30.873,29.658,29.608,26.557,21.053,17.094
1960,15.567,21.149,24.108,29.948,34.476,35.36,30.438,29.682,29.612,26.158,20.034,17.438
1961,16.2,16.679,25.575,30.7,34.44,33.881,30.973,29.422,29.351,25.764,19.484,13.554
1962,14.721,18.579,24.461,30.448,34.197,36.574,32.081,29.257,28.452,25.404,20.828,16.63
1963,15.112,19.865,24.217,29.777,32.78,33.07,30.787,29.682,28.862,26.907,22.366,16.472
