Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,14.655,18.275,23.924,30.059,31.991,33.549,30.315,29.163,28.765,27.699,22.284,17.496
1902,17.579,19.547,25.503,28.986,32.054,32.24,29.368,29.411,28.817,25.828,21.548,16.678
1903,16.205,18.023,23.055,29.781,32.997,32.354,30.921,29.016,29.228,26.558,21.625,17.072
1904,16.4,19.335,24.245,30.976,31.008,31.48,29.151,28.759,28.724,26.51,20.853,17.159
1905,14.424,14.623,20.921,26.734,31.155,33.199,29.526,28.505,28.718,26.8,21.941,16.753
1906,15.512,17.345,22.144,30.418,33.201,32.013,29.916,28.612,29.222,26.606,22.63,17.841
1907,17.925,17.445,20.719,27.322,31.056,32.333,30.179,29.611,29.469,27.448,21.742,17.119
1908,15.171,18.664,24.523,32.312,32.62,32.86,29.526,29.611,29.133,27.1,21.247,16.441
1909,16.697,18.195,25.843,28.017,32.598,30.821,29.741,29.053,29.605,27.484,21.947,17.684
1910,16.068,18.617,24.633,30.128,32.108,31.286,29.08,29.352,29.122,26.216,21.047,16.684
1911,16.981,18.394,22.245,29.676,33.361,31.323,30.826,29.21,28.617,26.327,20.264,16.237
1912,16.205,19.575,23.899,28.35,31.466,32.324,29.531,28.969,28.724,26.612,20.311,16.536
1913,16.085,17.902,21.945,30.724,30.756,30.111,29.705,29.216,29.553,26.257,20.353,16.087
1914,17.095,18.456,22.997,28.027,31.239,31.438,29.509,28.9,28.765,25.217,21.474,17.407
1915,16.843,18.112,23.244,29.491,32.523,31.617,30.521,29.346,29.164,28.353,23.159,17.237
1916,16.085,18.37,26.912,30.486,34.052,30.922,29.415,29.047,28.922,26.728,21.995,16.238
1917,15.79,18.169,22.892,27.487,29.092,31.039,29.599,29.21,28.286,26.128,21.92,16.8
1918,14.935,18.705,24.639,28.381,32.196,30.463,30.733,28.663,29.364,26.843,21.3,15.67
1919,15.84,17.401,24.397,28.193,31.403,31.674,29.515,29.257,28.724,26.499,21.607,16.707
1920,16.809,17.944,22.672,29.734,30.651,32.183,29.747,29.21,28.928,26.911,22.099,17.966
1921,16.464,19.011,26.474,31.08,34.809,31.902,29.728,28.812,28.275,25.612,21.125,16.275
1922,16.028,19.569,25.817,30.454,33.798,30.916,29.504,28.611,28.306,25.542,21.388,16.475
1923,16.377,17.845,24.601,31.011,32.668,33.613,29.515,29.501,28.786,25.854,21.59,17.064
1924,15.454,18.67,26.081,30.969,31.431,34.167,29.653,28.87,28.034,26.858,21.253,17.49
1925,14.554,17.294,24.223,29.969,31.838,30.849,29.152,28.922,28.724,26.069,20.864,16.673
1926,15.801,19.116,22.267,27.129,31.146,34.466,29.874,29.016,28.901,26.352,19.995,17.183
1927,15.189,17.745,22.875,29.724,31.056,32.466,29.769,28.77,29.092,26.618,21.406,17.595
1928,15.2,18.67,24.892,29.259,32.892,31.374,29.563,29.781,29.928,27.37,21.469,17.507
1929,16.055,17.857,25.175,29.633,33.462,32.455,29.509,28.754,28.792,25.859,21.554,16.486
1930,15.011,18.169,25.128,29.475,32.239,31.777,29.405,28.958,29.228,26.428,21.11,16.831
1931,17.148,17.745,24.022,31.112,32.219,33.486,29.664,29.858,28.934,26.712,21.452,17.747
1932,17.449,17.722,24.875,29.718,32.581,33.171,30.158,29.153,29.322,26.964,22.436,16.742
1933,14.632,19.28,24.728,27.717,30.646,31.38,29.363,28.817,28.775,26.411,21.837,17.478
1934,15.617,19.251,23.744,30.316,32.461,31.361,29.515,29.022,29.316,26.305,21.446,16.94
