Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,15.019,18.687,24.019,30.183,33.113,35.104,30.865,29.399,28.683,27.51,21.618,17.118
1902,17.579,19.534,26.539,30.086,33.96,34.651,30.236,29.765,29.012,26.292,21.017,16.111
1903,16.636,18.353,24.147,30.602,33.891,34.069,31.544,29.49,29.677,26.766,20.745,16.239
1904,16.75,19.075,24.858,31.611,32.657,32.349,29.308,28.875,28.92,26.621,20.461,17.22
1905,15.215,14.998,22.384,27.522,32.98,35.796,30.099,28.731,28.886,26.585,21.462,16.653
1906,16.044,18.322,23.16,30.72,34.822,33.631,30.378,28.976,29.419,26.746,22.063,17.509
1907,17.801,18.313,22.13,27.912,32.181,33.113,31.272,29.609,29.619,27.422,21.388,16.372
1908,14.992,19.025,24.494,32.473,34.251,34.76,30.356,29.754,29.656,26.758,20.717,16.155
1909,18.098,18.181,25.18,28.511,33.814,31.222,29.782,29.119,29.475,26.793,21.588,17.209
1910,15.798,18.999,25.112,30.812,33.566,32.269,29.916,29.374,29.385,26.612,20.754,16.263
1911,18.072,18.42,23.147,30.311,34.83,31.813,31.762,29.401,28.82,26.712,20.298,15.829
1912,16.67,20.125,24.657,29.777,33.267,34.359,30.382,29.22,28.854,26.787,20.445,16.164
1913,16.145,18.971,22.636,31.094,32.039,30.486,30.052,29.466,29.409,26.367,20.233,16.626
1914,17.37,19.715,23.676,29.06,32.248,32.732,30.11,29.051,28.92,25.566,22.008,17.209
1915,17.045,18.417,24.194,30.495,34.606,33.751,31.223,29.339,29.3,28.275,22.882,16.889
1916,16.025,18.843,26.821,31.64,34.899,31.321,30.044,28.92,29.165,27.158,21.754,15.697
1917,15.969,18.644,23.701,28.266,30.102,31.857,29.933,29.374,28.731,26.749,20.906,16.608
1918,15.091,18.965,25.065,29.248,33.623,30.721,31.523,29.012,29.308,26.347,20.771,15.926
1919,16.891,17.572,25.01,29.056,32.456,32.357,29.636,29.374,28.875,26.35,21.454,16.608
1920,16.4,18.743,24.276,30.411,31.565,34.129,29.816,29.399,29.212,27.121,21.829,17.118
1921,17.215,19.008,27.003,31.949,36.185,32.992,30.464,28.829,28.52,25.72,20.18,16.85
1922,16.67,19.999,25.774,30.437,34.804,31.243,29.424,28.708,28.183,25.093,20.6,16.622
1923,16.345,18.644,24.282,31.367,34.265,35.403,29.907,29.464,29.119,25.728,21.017,17.22
1924,15.955,19.099,26.439,31.511,33.092,35.686,29.715,29.119,28.465,26.795,21.154,17.063
