Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,14.504,18.051,24.098,30.219,34.257,37.004,32.422,29.587,28.831,27.23,21.136,16.556
1902,17.161,19.261,26.878,31.12,34.756,35.573,30.605,29.842,28.901,26.092,20.126,15.683
1903,16.334,17.754,24.139,30.305,34.663,35.693,32.248,29.737,29.531,25.995,19.991,15.752
1904,16.534,18.668,24.824,31.377,33.699,34.053,29.574,28.784,28.842,26.215,19.925,16.9
1905,14.891,14.56,22.486,27.725,33.718,36.818,30.827,29.033,29.226,26.125,21.21,16.362
1906,15.634,17.806,23.577,30.812,35.662,34.61,30.695,29.095,29.18,26.615,21.469,17.225
1907,17.536,17.907,22.654,28.558,33.103,34.799,33.352,29.379,30.12,27.644,21.305,15.657
1908,14.911,18.94,24.61,32.61,35.382,36.084,30.785,29.405,29.779,26.384,20.49,15.926
1909,18.497,17.213,25.542,28.905,34.526,31.338,29.647,29.196,29.028,26.342,21.23,16.663
1910,15.441,18.66,24.977,30.674,34.178,33.294,30.81,29.18,29.379,25.868,19.799,15.672
1911,18.165,18.231,23.045,30.178,35.541,33.304,32.184,29.689,28.426,26.569,19.904,15.441
1912,16.334,19.929,24.208,30.224,34.399,35.519,30.795,29.185,28.732,26.257,20.106,15.655
1913,15.92,18.98,22.719,31.313,32.64,31.262,30.885,29.873,29.489,27.331,20.248,16.56
1914,17.584,19.763,24.044,29.877,33.483,34.505,30.147,29.085,29.248,25.667,21.578,16.635
1915,16.71,17.765,23.899,30.274,36.004,34.746,31.231,29.211,28.849,27.47,21.526,16.526
1916,15.825,18.46,26.421,31.689,34.867,31.343,30.273,28.801,28.926,26.9,20.023,15.063
1917,15.719,18.429,23.714,27.946,30.467,32.53,30.253,29.469,28.583,26.514,19.227,16.205
1918,14.82,19.014,25.135,29.416,34.825,31.532,32.849,29.626,29.615,26.615,20.736,15.729
1919,16.401,16.988,24.944,29.63,33.772,34.467,29.615,29.384,29.047,25.936,20.783,16.14
