Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,14.421,17.653,23.872,30.237,34.368,37.218,32.863,29.841,29.208,27.298,21.132,16.286
1902,17.056,19.192,26.566,31.191,34.676,35.402,30.79,30.082,29.077,25.963,19.987,15.515
1903,16.143,17.452,23.688,30.041,34.72,35.872,32.615,29.999,29.675,25.839,19.911,15.582
1904,16.323,18.567,24.511,31.239,33.697,34.43,29.835,29.006,29.021,26.159,19.788,16.554
1905,14.501,14.295,21.891,27.6,33.723,36.65,31.13,29.439,29.55,26.164,21.235,16.1
1906,15.385,17.296,23.225,30.726,35.708,34.608,30.877,29.361,29.294,26.593,21.404,17.024
1907,17.493,17.375,22.21,28.544,33.188,35.138,33.797,29.516,30.467,27.723,21.293,15.362
1908,14.971,18.787,24.396,32.582,35.426,36.126,30.811,29.495,29.929,26.417,20.394,15.704
1909,18.054,16.981,25.519,28.851,34.454,31.483,29.835,29.493,29.172,26.488,21.122,16.435
1910,15.387,18.423,24.69,30.5,34.196,33.433,31.065,29.413,29.549,25.62,19.554,15.43
1911,17.9,18.194,22.562,30.039,35.568,33.777,32.31,29.998,28.542,26.494,19.662,15.252
1912,16.105,19.645,23.804,30.08,34.437,35.581,30.967,29.447,28.887,26.166,19.844,15.423
1913,15.847,18.587,22.373,31.307,32.648,31.536,31.223,30.294,29.901,27.546,20.164,16.123
1914,17.555,19.359,23.793,29.974,33.72,34.738,30.304,29.405,29.495,25.635,21.31,16.226
1915,16.516,17.419,23.439,30.027,36.108,34.663,31.379,29.567,29.044,27.438,21.143,16.265
1916,15.769,18.224,26.267,31.573,34.807,31.524,30.483,29.113,29.056,26.726,19.56,14.739
1917,15.591,18.224,23.36,27.669,30.448,32.652,30.448,29.672,28.67,26.319,18.931,15.924
1918,14.728,18.945,24.818,29.226,35.014,31.962,33.3,30.048,29.981,26.804,20.688,15.388
1919,16.035,16.816,24.652,29.535,33.909,35.023,29.862,29.606,29.275,25.957,20.541,15.761
1920,15.945,17.981,24.258,30.439,32.156,34.637,30.033,29.747,30.249,27.639,21.535,16.461
1921,16.735,18.777,26.81,32.527,36.967,34.385,32.253,28.853,28.848,25.759,19.799,17.526
1922,15.801,19.723,25.509,30.786,35.818,33.902,29.943,28.806,28.747,25.604,20.486,15.638
1923,15.835,17.981,24.78,31.396,34.857,36.84,30.485,29.314,29.49,25.586,20.66,16.62
1924,15.431,18.602,26.391,31.619,33.364,37.111,29.918,29.326,28.981,26.71,20.476,16.132
1925,14.464,17.212,24.282,30.98,33.333,32.752,29.241,29.997,28.931,26.792,19.683,15.303
1926,15.571,19.516,23.281,27.314,32.747,36.498,32.002,29.799,28.7,25.839,18.874,15.678
1927,14.581,17.641,23.082,30.145,33.681,35.094,30.791,29.442,29.83,26.6,19.769,17.117
1928,15.677,18.821,24.938,29.864,35.386,33.809,30.403,30.803,30.512,27.365,21.516,16.627
1929,15.685,17.354,25.445,31.207,35.853,34.446,30.688,28.62,30.451,25.847,20.422,15.574
1930,15.121,18.03,25.417,30.157,34.493,34.435,30.149,29.306,29.362,26.921,20.103,15.809
1931,17.263,17.761,24.105,31.937,34.883,36.176,31.264,30.227,29.263,26.238,20.269,16.846
1932,17.698,17.565,25.018,30.418,34.134,35.84,31.984,29.162,29.484,26.673,20.473,15.904
1933,14.216,19.325,25.138,27.893,31.31,33.032,30.483,29.779,29.229,26.505,20.291,16.255
1934,15.718,19.165,23.877,30.657,34.72,33.801,30.503,29.349,29.422,25.749,20.579,16.665
1935,14.509,18.764,24.632,27.888,35.377,35.759,30.432,28.926,28.776,25.725,20.637,15.838
1936,14.831,18.123,24.647,29.594,34.75,31.987,29.711,29.07,28.783,26.033,20.73,16.703
1937,14.558,18.434,23.111,28.949,33.787,33.99,31.024,28.434,28.903,25.015,21.124,15.23
1938,16.073,16.451,25.868,31.258,34.469,31.747,30.093,29.347,29.423,27.099,19.724,15.882
1939,16.813,18.714,23.274,29.426,35.568,33.254,30.323,29.049,28.768,26.812,20.34,15.982
1940,15.571,17.731,22.623,29.217,34.594,35.082,31.177,29.606,29.09,26.524,21.43,15.895
1941,15.701,18.916,26.716,32.825,34.849,33.205,32.011,30.108,29.796,27.893,20.715,16.937
1942,15.138,19.343,25.522,30.913,35.824,35.631,30.469,29.509,28.855,26.744,21.91,16.36
1943,17.945,18.765,25.747,29.001,35.52,35.114,31.21,28.693,29.648,26.539,21.474,17.266
1944,15.715,17.98,23.297,28.658,35.99,34.141,30.483,29.681,29.564,25.916,21.523,17.997
1945,14.208,18.029,25.187,28.736,34.36,35.212,31.552,30.635,29.355,25.484,20.438,15.065
1946,17.05,20.623,24.538,30.501,33.558,33.247,30.13,29.893,29.953,26.861,21.102,17.746
1947,15.366,19.377,25.972,32.073,35.189,35.918,30.529,29.847,29.563,26.325,21.737,16.938
1948,16.758,18.444,24.1,32.073,35.866,35.716,30.342,29.326,28.968,26.762,20.476,16.194
1949,17.528,19.207,25.223,31.284,34.268,35.439,31.145,29.268,29.576,27.303,19.404,15.273
1950,16.764,17.811,23.646,29.504,34.76,34.007,30.431,29.326,29.29,26.159,20.332,16.373
