Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,13.403,16.582,23.132,29.441,33.054,35.762,31.908,29.644,28.904,27.258,21.35,16.061
1902,16.682,18.718,25.322,29.725,33.543,34.203,30.431,29.721,28.965,25.367,20.315,15.689
1903,15.366,16.509,22.347,29.33,33.566,34.643,32.231,29.744,29.654,25.87,20.507,15.949
1904,15.655,18.447,23.505,30.744,32.333,33.23,29.879,28.992,28.749,26.061,19.677,15.85
1905,13.192,13.419,20.323,26.623,32.853,35.166,30.72,29.41,29.173,26.174,21.034,15.671
1906,14.391,15.677,22.017,30.032,34.657,33.449,30.736,29.126,29.226,26.248,21.881,16.892
1907,17.27,15.693,20.316,27.401,31.782,33.894,32.377,29.537,30.096,27.504,21.051,15.513
1908,15.009,18.076,23.717,31.928,33.871,35.132,30.539,29.254,29.577,26.358,20.264,15.468
1909,16.221,16.502,24.892,27.988,33.43,31.376,30.154,29.651,29.591,26.913,20.944,16.461
1910,15.511,17.456,24.118,29.862,33.147,32.575,30.271,29.398,29.294,25.578,19.821,15.304
1911,16.385,17.82,21.43,29.428,34.701,32.672,32.097,29.868,28.642,26.094,19.26,15.138
1912,15.283,18.6,23.24,29.025,32.992,34.266,30.713,29.235,28.64,26.142,19.361,15.239
1913,15.42,16.799,21.267,30.277,31.618,31.054,30.646,30.116,29.856,26.513,19.526,14.895
1914,16.942,17.428,22.364,28.777,32.39,33.362,30.377,29.441,29.092,24.89,20.968,15.804
1915,16.039,16.593,22.761,29.503,34.53,33.654,31.293,29.59,29.212,27.599,21.604,16.059
1916,15.444,17.272,26.34,30.947,34.066,31.414,30.22,29.376,28.965,26.411,20.644,14.701
1917,15.123,17.21,22.308,26.591,29.253,31.96,30.221,29.557,28.381,25.858,20.165,15.535
1918,14.389,18.328,23.96,28.31,33.883,31.406,32.22,29.741,29.652,26.334,20.191,14.517
1919,14.639,16.175,23.492,28.054,32.101,33.365,29.952,29.529,28.891,25.86,20.48,15.202
1920,16.154,16.566,22.589,29.55,30.613,33.325,30.051,29.572,29.513,26.782,21.284,16.893
1921,15.462,18.349,26.405,31.504,36.07,32.994,31.048,28.667,28.234,25.231,19.846,16.556
1922,14.484,18.768,25.071,29.739,34.694,32.403,29.889,28.665,28.356,25.033,20.232,14.645
1923,15.602,16.484,23.955,30.917,33.654,35.649,30.23,29.355,28.974,25.187,20.51,15.978
1924,14.572,17.717,25.453,30.832,31.745,35.929,30.053,29.086,28.346,26.324,20.334,16.001
1925,13.623,16.914,23.687,30.594,32.572,31.619,29.448,29.612,28.814,26.09,19.588,15.538
1926,14.898,18.624,21.769,26.226,31.37,35.594,31.259,29.479,28.808,25.671,18.526,15.688
1927,14.237,16.172,22.425,29.187,32.184,33.952,30.581,29.078,29.494,26.077,19.816,16.753
1928,14.778,17.955,23.905,28.769,34.186,32.776,30.244,30.791,30.405,27.209,20.853,15.994
1929,14.898,16.771,24.907,30.079,34.571,33.254,30.39,28.648,29.532,25.46,20.645,15.31
1930,14.113,17.157,24.758,29.407,33.071,33.251,29.994,29.286,29.415,26.179,20.151,15.875
1931,16.663,16.174,23.416,31.227,33.592,35.039,30.734,30.139,28.882,25.93,20.396,16.431
1932,17.076,16.493,24.219,29.534,32.869,34.906,31.158,29.195,29.212,26.335,21.22,15.712
1933,13.84,18.094,24.288,27.257,30.084,32.361,30.212,29.542,29.007,26.017,20.723,16.236
1934,14.616,18.76,23.071,30.202,33.457,32.826,30.212,28.968,29.451,25.841,20.68,15.403
1935,13.353,17.692,23.735,26.568,34.379,34.729,30.218,28.735,28.684,25.594,20.302,14.87
1936,14.085,16.604,23.74,28.594,33.286,30.586,29.455,28.76,28.406,25.107,20.541,16.147
1937,14.109,16.927,22.464,27.275,32.383,33.2,30.579,28.692,28.945,24.96,20.024,14.852
1938,14.642,15.539,24.97,30.507,33.141,31.149,29.804,29.091,29.252,26.455,19.224,16.219
1939,15.814,17.034,21.579,28.665,34.556,32.228,30.125,29.058,28.722,26.057,20.6,16.152
1940,15.052,16.682,21.185,28.403,33.281,33.847,30.559,29.433,28.589,26.378,21.277,14.943
1941,14.538,18.145,25.89,32.141,33.584,32.538,31.495,29.832,29.392,26.985,20.66,17.057
1942,14.547,18.466,25.081,30.004,34.12,34.706,30.221,29.13,28.584,26.395,21.742,15.541
1943,15.931,18.13,24.701,27.737,34.265,33.733,30.644,28.719,29.541,26.373,21.949,16.735
1944,14.36,16.586,22.459,27.846,35.165,33.183,30.421,29.544,29.413,26.027,21.266,17.661
1945,13.269,16.783,24.13,27.809,33.377,34.404,30.888,30.094,29.003,25.133,20.711,14.856
1946,17.032,19.757,23.671,29.152,31.828,32.738,30.111,29.93,29.673,25.913,20.879,16.901
1947,14.432,18.371,24.481,31.091,33.865,34.843,30.247,29.735,29.278,25.664,21.365,16.532
1948,15.906,17.281,22.995,31.19,34.546,35.022,30.22,29.089,28.776,25.815,20.168,15.492
1949,17.084,17.756,24.252,30.129,32.633,34.393,30.591,29.251,29.189,27.009,19.854,14.533
1950,15.965,16.879,22.436,29.163,33.587,32.919,30.139,29.089,28.835,26.014,20.559,15.878
1951,14.192,18.012,23.621,28.117,33.201,33.704,31.303,29.705,28.965,28.074,21.69,16.301
1952,16.847,19.701,22.795,30.431,33.788,32.622,30.193,28.948,29.454,26.815,20.887,16.67
1953,14.301,20.085,27.057,30.522,33.992,33.974,29.736,28.957,29.129,25.939,20.775,17.615
1954,14.149,18.67,24.738,31.228,35.04,33.586,30.764,29.313,29.119,24.865,20.5,15.423
