Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,14.286,17.847,23.926,30.122,33.879,36.469,32.086,29.627,28.828,27.442,21.26,16.563
1902,17.098,19.198,26.571,30.701,34.598,35.404,30.733,29.873,29.088,26.137,20.419,15.805
1903,16.137,17.597,23.869,30.337,34.378,35.329,32.318,29.722,29.743,26.413,20.316,15.961
1904,16.337,18.705,24.626,31.437,33.377,33.664,29.789,28.883,28.888,26.452,20.004,16.743
1905,14.531,14.392,22.163,27.572,33.659,36.549,30.767,29.078,29.179,26.398,21.199,16.292
1906,15.436,17.381,23.272,30.717,35.543,34.343,30.832,29.177,29.343,26.737,21.676,17.199
1907,17.503,17.481,22.143,28.25,32.729,34.325,32.72,29.543,30.019,27.687,21.239,15.815
1908,14.9,18.738,24.471,32.521,34.978,35.839,30.877,29.537,29.833,26.592,20.443,15.899
1909,17.86,17.213,25.262,28.717,34.338,31.527,29.999,29.333,29.365,26.71,21.248,16.76
1910,15.504,18.443,24.987,30.682,34.049,33.089,30.662,29.338,29.432,26.209,20.125,15.76
1911,17.672,18.15,22.875,30.232,35.399,32.881,32.289,29.728,28.704,26.686,19.849,15.498
1912,16.137,19.682,24.296,30.071,34.082,35.245,30.888,29.277,28.788,26.552,20.037,15.66
1913,15.794,18.47,22.47,31.111,32.498,31.202,30.762,29.918,29.628,26.991,20.033,16.175
1914,17.333,19.17,23.661,29.556,33.074,33.97,30.447,29.189,29.223,25.62,21.608,16.603
1915,16.593,17.642,23.942,30.391,35.629,34.605,31.448,29.388,29.149,27.908,21.936,16.503
1916,15.749,18.243,26.653,31.738,34.861,31.582,30.425,28.994,29.094,27.086,20.758,15.159
1917,15.595,18.187,23.531,27.827,30.299,32.406,30.327,29.528,28.687,26.641,19.901,16.148
1918,14.694,18.838,24.972,29.281,34.589,31.406,32.535,29.568,29.529,26.517,20.527,15.492
1919,16.031,16.898,24.682,29.2,33.158,33.755,29.894,29.483,29.027,26.198,20.911,16.048
1920,16.061,18.036,24.259,30.376,31.779,34.594,29.995,29.528,29.618,27.36,21.543,16.77
1921,16.681,18.793,27.047,32.267,36.75,33.73,31.44,28.788,28.528,25.732,19.8,17.211
1922,15.881,19.683,25.687,30.456,35.434,32.612,29.733,28.688,28.374,25.312,20.334,15.941
1923,15.905,17.981,24.46,31.433,34.738,36.395,30.327,29.343,29.222,25.631,20.694,16.788
1924,15.482,18.587,26.416,31.57,33.238,36.591,29.943,29.177,28.627,26.832,20.754,16.463
1925,14.488,17.194,24.437,31.087,33.204,32.489,29.343,29.716,28.999,26.722,20.223,15.61
1926,15.594,19.383,23.31,27.265,32.279,36.355,31.506,29.572,28.699,26.043,18.888,16.109
1927,14.699,17.731,23.181,29.912,33.124,34.844,30.782,29.277,29.777,26.681,20.274,17.199
1928,15.533,18.738,25.076,29.555,34.829,33.135,30.233,30.44,30.388,27.691,21.482,16.947
1929,15.742,17.446,25.636,31.01,35.423,34.095,30.327,28.588,29.906,25.932,20.808,15.866
1930,15.087,18.087,25.532,30.023,33.769,34.239,30.024,29.183,29.448,27.03,20.564,16.006
1931,17.188,17.83,24.281,31.767,34.632,35.58,30.863,30.084,29.237,26.552,20.758,17.142
1932,17.582,17.592,25.126,30.317,33.69,35.655,31.302,29.183,29.387,26.892,21.236,16.148
1933,14.299,19.382,25.271,28.037,31.193,32.756,30.327,29.523,29.188,26.531,20.714,16.558
1934,15.731,19.093,24.235,30.788,34.384,33.794,30.327,29.282,29.488,26.099,20.86,16.825
1935,14.636,18.836,24.677,27.656,34.94,35.29,30.493,28.777,28.793,26.048,20.743,16.135
1936,14.942,18.236,24.931,29.42,34.228,31.48,29.682,29.076,28.632,25.711,21.005,16.904
1937,14.595,18.381,23.431,28.495,33.283,33.965,30.767,28.301,29.049,25.506,20.856,15.293
1938,15.909,16.597,26.126,31.122,33.935,31.621,30.088,29.177,29.288,27.076,19.993,16.259
1939,16.732,18.73,23.205,29.476,35.339,33.105,30.182,28.893,28.699,26.727,20.703,16.37
1940,15.649,17.847,22.708,29.122,34.123,34.685,30.601,29.472,28.829,26.803,21.759,16.141
1941,15.736,19.041,26.782,32.721,34.378,33.11,31.672,29.722,29.528,27.56,21,17.269
1942,15.348,19.231,25.582,30.668,35.427,35.301,30.43,29.376,28.627,26.782,22.15,16.592
1943,17.909,18.639,25.759,28.812,35.178,34.69,30.868,28.639,29.534,26.743,21.666,17.542
1944,15.675,18.036,23.431,28.522,35.744,33.95,30.527,29.483,29.742,26.049,21.588,18.094
1945,14.398,17.832,25.171,28.677,33.99,34.957,31.371,30.316,29.183,25.538,20.665,15.303
1946,16.945,20.588,24.671,29.895,32.974,33.165,30.089,29.783,29.633,26.666,21.189,17.786
1947,15.442,19.281,25.865,31.917,34.679,35.544,30.337,29.688,29.427,26.427,21.743,17.148
1948,16.682,18.542,24.324,31.912,35.323,35.516,30.133,29.188,28.888,26.565,20.797,16.347
1949,17.437,19.019,25.117,30.697,33.412,34.936,30.768,29.188,29.327,27.337,19.72,15.447
1950,16.693,17.937,23.715,29.687,34.394,33.546,30.327,29.177,29.028,26.343,20.504,16.748
1951,15.236,18.554,24.581,29.319,33.811,34.349,31.174,29.538,29.089,28.576,22.248,16.594
1952,17.382,20.821,24.313,31.26,34.828,33.312,30.182,28.888,29.333,27.192,21.105,17.193
1953,15.67,20.684,28.159,31.176,34.944,34.355,29.489,28.549,28.943,26.093,20.605,18.387
1954,15.142,20.185,25.336,31.988,35.644,34.101,31.062,29.183,29.188,25.486,20.659,16.581
1955,16.176,19.093,26.677,29.571,34.185,33.857,29.644,29.176,28.883,26.236,21.066,17.13
1956,16.431,18.898,25.625,31.728,35.344,31.928,30.277,29.188,28.346,26.491,20.419,17.176
1957,16.531,18.043,23.826,30.176,34.593,34.54,30.827,29.828,29.098,26.732,21.958,17.688
1958,17.787,19.421,25.81,32.212,35.222,35.935,30.728,29.278,29.294,26.792,21.854,17.842
1959,16.583,18.187,25.716,31.216,34.339,34.79,30.822,29.333,29.333,26.881,21.553,17.448
1960,15.977,21.139,24.509,30.217,34.289,35.335,30.233,29.483,29.438,26.481,20.459,18.025
1961,16.587,17.441,25.81,30.867,34.583,33.951,30.833,29.189,29.144,26.193,20.107,13.893
1962,14.942,19.081,24.772,30.668,34.134,36.563,31.868,28.932,28.295,25.648,21.155,17.187
1963,15.11,20.038,24.571,30.11,32.839,33.105,30.435,29.528,28.739,27.132,22.876,17.053
1964,15.543,18.837,26.522,31.366,32.789,34.556,29.832,29.478,28.693,27.453,20.815,17.233
1965,17.228,19.17,24.009,29.072,33.944,36.137,31.162,29.662,28.734,26.976,22.237,16.681
1966,16.794,21.327,25.672,31.657,34.979,34.25,31.968,29.478,29.627,27.36,22.481,16.344
1967,15.449,20.338,23.571,29.61,33.701,35.041,30.328,28.389,28.793,26.276,20.782,17.386
1968,15.088,17.538,24.375,29.728,33.796,33.05,30.327,29.533,30.527,26.277,21.503,16.998
1969,16.187,20.181,27.515,31.456,32.95,35.39,30.034,28.783,28.687,27.375,22.997,17.009
1970,16.482,18.098,24.18,31.471,33.995,32.76,30.821,29.632,28.505,27.147,20.961,17.294
