Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,14.15,17.093,23.696,29.853,34.195,37.06,33.027,29.884,29.462,27.375,20.97,16.03
1902,16.853,18.895,26.161,30.825,34.495,35.055,30.716,30.227,29.183,25.907,19.866,15.182
1903,15.788,17.031,23.193,29.512,34.374,35.909,32.861,29.949,29.821,25.625,19.724,15.205
1904,15.914,18.251,24.02,30.92,33.494,34.475,29.841,28.974,28.984,26.029,19.534,16.023
1905,14.055,13.79,21.286,27.298,33.772,36.408,31.333,29.66,29.903,26.205,21.179,15.761
1906,15.021,16.627,22.681,30.283,35.671,34.431,30.989,29.522,29.175,26.498,21.264,16.618
1907,17.251,16.693,21.627,28.088,32.955,35.167,33.891,29.513,30.582,27.519,21.031,14.878
1908,14.812,18.318,23.978,32.036,34.981,36.029,30.644,29.346,29.845,26.219,20.161,15.251
1909,17.162,16.593,25.035,28.414,34.014,31.678,29.91,29.543,29.209,26.423,20.981,15.839
1910,15.169,17.961,24.278,29.944,34.13,33.507,31.224,29.523,29.58,25.358,19.366,15.056
1911,17.427,17.895,22.092,29.692,35.461,34.085,32.384,30.012,28.613,26.405,19.195,14.957
1912,15.859,19.121,23.349,29.697,34.336,35.62,31.23,29.557,28.778,26.064,19.537,15.059
1913,15.654,17.967,21.989,31.027,32.462,31.811,31.353,30.562,30.269,27.473,19.976,15.636
1914,17.355,18.629,23.43,29.874,33.74,34.663,30.49,29.515,29.625,25.5,21.003,15.612
1915,16.106,16.849,23.058,29.62,35.965,34.642,31.739,29.829,29.439,27.375,20.857,15.958
1916,15.692,17.722,26.049,31.261,34.59,31.85,30.668,29.213,29.121,26.351,19.183,14.386
1917,15.492,17.798,23.028,27.19,30.16,32.842,30.45,29.575,28.648,25.885,18.574,15.49
1918,14.52,18.484,24.309,28.716,35.07,32.392,33.596,30.471,30.192,26.767,20.435,14.855
1919,15.662,16.463,24.26,29.163,33.699,35.285,29.982,29.575,29.353,25.826,20.162,15.255
1920,15.71,17.463,23.834,30.053,31.858,34.325,30.119,29.893,30.503,27.611,21.443,16.183
1921,16.4,18.558,26.552,32.331,36.862,34.521,32.577,28.956,28.817,25.571,19.738,17.164
1922,15.395,19.298,25.251,30.562,35.517,33.965,30.295,28.785,28.747,25.57,20.231,15.098
1923,15.61,17.433,24.484,31.05,34.554,36.843,30.84,29.312,29.518,25.43,20.361,16.015
1924,14.979,18.05,25.878,31.147,32.853,36.998,30.225,29.318,28.987,26.38,20.162,15.719
1925,14.047,16.675,23.88,30.867,33.229,32.384,29.31,30.126,29.204,26.635,19.335,14.986
1926,15.327,19.126,22.794,26.993,32.493,36.4,32.018,29.748,28.714,25.586,18.561,15.178
1927,14.172,16.954,22.715,29.715,33.426,34.933,30.853,29.377,29.746,26.428,19.501,16.69
1928,15.349,18.356,24.45,29.524,35.331,33.945,30.667,31.086,30.717,27.229,21.276,16.015
1929,15.388,16.885,25.222,30.891,35.623,34.41,30.815,28.722,30.566,25.876,20.336,15.213
1930,14.828,17.598,25.087,29.89,34.355,34.302,30.143,29.315,29.522,26.666,19.868,15.448
1931,17.054,17.095,23.679,31.586,34.656,36.027,31.494,30.284,29.218,25.919,19.961,16.389
1932,17.527,17.127,24.618,29.95,33.884,35.84,32.196,29.284,29.553,26.457,20.114,15.448
1933,13.875,18.686,24.716,27.663,31.201,33.105,30.484,29.638,29.105,26.113,20.025,15.778
1934,15.113,18.782,23.272,30.141,34.348,33.628,30.619,29.279,29.414,25.3,20.081,16.166
1935,14.091,18.293,24.216,27.459,35.083,35.837,30.553,29.022,28.961,25.489,20.47,15.366
1936,14.416,17.607,24.181,29.297,34.744,32.01,29.825,29.086,28.857,25.863,20.501,16.183
1937,14.316,18.006,22.68,28.559,33.702,34.218,31.187,28.977,29.128,25.044,20.804,14.82
1938,15.584,16.067,25.491,30.994,34.618,31.944,30.396,29.494,29.7,26.932,19.367,15.512
1939,16.52,18.205,22.618,28.986,35.46,33.203,30.559,29.511,28.923,26.738,20.059,15.616
1940,15.355,17.192,22.194,28.783,34.533,35.108,31.502,29.547,29.155,26.328,21.241,15.364
1941,15.252,18.528,26.319,32.519,34.902,33.276,32.41,30.364,29.965,27.981,20.57,16.695
1942,14.714,18.997,25.323,30.769,35.561,35.641,30.519,29.447,28.846,26.489,21.632,15.754
1943,17.253,18.316,25.281,28.558,35.177,34.861,31.253,28.716,29.714,26.355,21.393,16.857
1944,15.254,17.471,22.852,28.394,35.818,34.023,30.668,29.891,29.623,25.755,21.33,17.484
1945,13.86,17.529,24.859,28.534,34.257,35.236,31.624,30.55,29.348,25.398,20.267,14.687
1946,16.769,20.19,24.119,30.445,33.545,33.442,30.398,29.95,30.051,26.733,20.829,17.148
1947,14.911,19.068,25.532,31.723,35.063,35.869,30.8,29.954,29.545,25.846,21.502,16.45
1948,16.348,17.89,23.483,31.715,35.695,35.841,30.666,29.356,29.121,26.634,20.135,15.829
1949,17.284,18.732,24.82,31.062,34.347,35.429,31.253,29.421,29.655,26.982,19.196,14.792
1950,16.487,17.221,23.151,29.148,34.595,34.181,30.589,29.421,29.313,25.988,20.056,15.605
1951,14.719,17.947,23.852,28.548,33.927,34.532,31.9,29.752,29.222,28.606,21.806,16.115
1952,17.213,20.563,23.895,31.332,35.234,33.19,30.49,29.083,29.859,26.896,20.598,16.582
1953,15.107,20.239,27.682,30.929,35.242,34.953,30.142,28.826,29.188,25.964,20.157,17.82
1954,14.548,19.534,24.742,31.481,35.897,34.715,31.493,29.632,29.284,24.851,20.407,15.817
1955,15.68,18.646,26.318,28.991,34.258,34.413,30.236,29.317,29.19,25.524,20.221,16.392
1956,16.052,18.519,24.95,31.282,35.494,32.459,30.212,29.383,28.936,25.824,19.659,16.528
1957,15.914,17.555,23.292,29.619,34.143,34.493,31.023,30.156,28.914,26.391,21.538,17.085
1958,17.629,19.201,25.592,32.194,35.388,36.055,30.984,29.554,29.41,26.325,21.317,17.232
1959,16.316,17.865,25.554,30.918,34.483,35.202,30.945,29.651,29.653,26.739,21.035,17.06
1960,15.726,21.159,24.263,29.955,34.618,35.702,30.59,29.612,29.683,26.122,19.93,17.081
1961,16.256,16.76,25.409,30.438,34.588,34.024,30.834,29.275,29.347,25.756,19.506,13.494
1962,14.753,18.76,24.348,30.563,34.354,36.75,32.145,29.361,28.52,25.185,20.798,16.729
1963,15.015,19.925,24.326,29.925,33.129,33.443,31.098,29.642,28.812,26.997,22.681,16.389
1964,15.151,18.49,26.315,31.254,32.857,34.697,29.951,29.891,28.722,26.846,20.19,16.822
1965,17.363,18.698,23.663,28.587,33.884,36.593,31.417,30.158,29.049,26.764,21.84,16.193
1966,16.591,21.129,25.138,31.375,35.014,34.043,32.455,29.612,29.917,27.404,21.802,15.72
1967,15.111,20.194,23.228,29.46,34.161,35.359,30.58,28.375,28.635,26.025,20.64,16.794
1968,14.82,16.959,23.921,29.553,33.981,33.483,30.335,29.575,30.508,26.088,20.933,16.46
1969,15.959,19.688,27.317,30.981,32.994,35.84,30.212,28.951,28.653,27.197,22.228,16.42
1970,16.259,17.591,23.757,31.495,34.26,32.631,31.163,29.782,28.688,26.793,20.53,16.69
1971,15.144,18.062,23.352,28.834,31.534,31.089,29.285,27.951,29.243,26.09,20.557,16.585
1972,15.621,16.458,24.957,29.726,35.103,35.104,32.055,29.108,28.514,25.395,21.238,16.848
1973,16.08,19.488,24.025,31.662,35.235,33.836,31.006,29.649,29.217,26.455,20.13,15.287
1974,15.085,17.588,25.456,31.996,34.663,34.798,30.251,28.845,29.492,27.82,20.827,15.389
1975,15.542,18.396,23.952,31.722,35.766,33.464,29.725,29.116,28.409,27.518,19.601,15.963
1976,16.119,18.626,24.446,28.739,32.699,33.353,30.524,27.885,28.953,27.261,22.328,16.419
1977,15.314,18.628,25.825,29.489,32.186,34.069,29.715,29.374,28.575,26.955,22.762,16.789
1978,15.42,17.297,21.992,29.16,36.029,33.395,29.91,28.944,27.979,26.758,22.032,15.995
1979,16.781,17.322,22.851,29.627,32.745,33.571,30.023,30.081,30.324,27.966,23.692,17.087
1980,16.084,18.902,24.121,31.326,33.734,31.532,28.091,28.122,28.75,26.867,21.397,16.883
1981,16.082,19.092,23.554,29.558,33.098,33.577,29.249,29.252,28.429,26.27,20.072,15.821
1982,16.815,17.393,22.051,29.029,32.756,32.818,32.625,29.215,29.053,26.766,21.566,17.054
1983,14.52,17.53,23.754,28.055,32.732,34.598,31.094,29.716,29.349,26.122,20.063,16.548
1984,16.075,16.352,25.055,30.891,35.606,32.816,30.359,29.183,28.588,26.426,20.233,17.088
1985,16.212,18.664,26.321,31.028,35.062,35.132,29.724,29.546,28.782,25.553,21.561,18.012
1986,16.047,18.415,24.683,30.224,32.664,34.933,29.988,29.758,29.512,25.865,21.366,16.181
1987,15.493,19.794,24.799,30.599,33.056,36.869,32.195,31.087,30.087,27.197,21.326,16.427
1988,17.153,19.264,24.325,31.43,35.533,33.673,30.124,29.289,30.646,26.329,21.163,17.248
1989,14.817,17.893,23.854,29.954,34.695,32.6,30.551,27.593,29.122,26.496,20.793,15.853
1990,17.122,18.453,22.887,30.225,33.552,34.559,29.59,29.753,29.212,26.194,21.401,16.39
1991,15.507,19.792,24.489,29.918,35.53,34.305,32.726,28.852,29.424,25.794,20.193,16.614
1992,16.415,17.128,24.677,30.756,33.231,34.69,30.957,29.517,29.082,26.125,21.453,16.024
1993,16.144,19.423,22.217,29.257,33.768,33.514,31.522,30.151,28.116,26.689,21.696,16.812
