Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,14.624,18.022,23.552,29.576,33.242,35.626,30.985,28.567,27.841,26.61,20.547,16.11
1902,16.964,18.883,26.563,30.394,34.302,34.928,29.779,29.07,28.09,25.721,19.727,15.398
1903,16.424,17.723,24.053,30.049,33.807,34.492,31.061,28.956,28.876,25.717,19.4,15.235
1904,16.397,18.312,24.445,30.959,33.022,32.536,28.501,27.895,28.073,25.772,19.473,16.757
1905,15.023,14.682,22.54,27.214,33.191,36.214,29.71,28.252,28.279,25.547,20.606,16.157
1906,15.647,18.083,23.225,30.117,34.977,33.661,29.755,28.37,28.51,26.098,20.899,16.87
1907,17.173,17.709,22.498,27.797,32.294,33.222,31.844,28.422,29.1,26.865,20.668,15.262
1908,14.622,18.768,24.048,31.89,34.69,34.974,29.941,28.699,29.06,25.744,19.807,15.483
1909,18.363,17.524,24.557,28.176,33.835,30.282,28.743,28.283,28.327,25.57,20.734,16.585
1910,15.361,18.495,24.556,30.221,33.577,32.07,29.797,28.298,28.634,25.703,19.556,15.498
1911,18.452,17.982,22.958,29.722,34.814,31.677,31.292,28.456,27.813,26.098,19.906,15.194
1912,16.25,19.757,24.122,29.805,33.756,34.652,29.892,28.295,27.972,25.876,19.812,15.383
1913,15.834,18.839,22.428,30.674,32.011,29.961,29.707,28.677,28.543,26.342,19.68,16.181
1914,17.129,19.64,23.622,29.135,32.499,33.15,29.334,28.37,28.39,25.141,21.371,16.412
1915,16.672,18.021,23.812,29.987,35.293,33.931,30.434,28.593,28.155,27.093,21.459,16.097
1916,15.473,18.669,25.861,31.284,34.319,30.285,29.478,28.021,28.276,26.525,20.045,14.724
1917,15.724,18.454,23.467,27.733,29.974,31.388,29.253,28.405,27.997,26.163,18.93,15.97
1918,14.823,18.74,24.738,29.004,33.945,30.16,31.551,28.364,28.602,25.633,20.051,15.532
1919,17.297,17.207,24.728,29.046,32.836,32.753,28.692,28.405,28.203,25.435,20.476,15.884
1920,15.789,18.468,24.602,29.919,31.518,34.09,28.892,28.471,28.851,26.811,21.031,16.125
1921,17.034,18.318,26.593,31.776,36.186,32.892,30.61,27.622,27.917,25.189,19.019,17.219
1922,16.164,19.567,25.093,29.945,34.831,31.454,28.464,27.618,27.49,24.52,19.69,15.71
1923,15.851,18.281,23.882,30.731,34.364,35.634,29.25,28.135,28.518,24.992,20.106,16.868
1924,15.821,18.768,26.136,31.079,33.16,35.819,28.706,28.283,27.989,26.104,20.335,16.125
1925,14.758,17.255,24.08,30.435,32.489,31.758,28.106,28.729,28.152,26.094,20.008,15.374
1926,15.858,19.466,23.512,26.967,31.828,35.503,30.558,28.654,27.724,25.306,18.492,15.725
1927,15.125,18.292,22.753,29.449,32.714,34.162,29.779,28.305,29.06,26.094,19.904,17.057
1928,16.081,18.867,24.941,29.048,34.104,32.076,29.064,29.167,29.198,27.035,21.179,16.898
1929,16.037,17.484,25.192,30.664,34.903,33.362,29.223,27.512,29.338,25.293,20.189,15.535
1930,15.458,18.094,25.089,29.49,33.162,33.586,28.85,28.11,28.527,26.68,20.204,15.695
1931,17.594,18.271,23.952,31.086,34.26,34.606,29.806,28.97,28.562,26.038,20.218,16.883
1932,17.695,17.897,24.842,29.791,33.232,34.803,30.265,28.283,28.659,26.322,20.443,15.96
1933,14.635,19.495,25.038,27.532,30.864,31.688,29.25,28.442,28.459,25.989,19.902,16.122
1934,15.946,18.769,24.08,30.169,33.931,33.003,29.25,28.395,28.585,25.247,20.273,16.97
1935,15.05,18.984,24.438,27.459,34.245,34.433,29.583,27.796,27.976,25.373,20.331,16.461
1936,15.162,18.446,24.869,29.014,33.832,30.783,28.689,28.11,27.934,25.196,20.662,16.76
1937,14.459,18.978,23.18,28.379,32.831,33.245,29.714,27.398,28.152,24.904,20.722,15.056
1938,16.577,16.896,25.966,30.59,33.432,30.63,29.181,28.234,28.471,26.479,19.812,15.599
1939,17.005,19.359,23.398,29.018,34.745,32.402,29.05,27.809,27.786,26.228,19.986,15.925
1940,15.473,18.209,22.85,28.589,33.605,33.924,29.434,28.405,28.069,26.114,21.297,16.385
1941,16.28,18.908,26.365,32.003,33.98,31.956,30.44,28.754,28.731,26.751,20.387,16.825
1942,15.599,19.066,24.964,30.003,35.058,34.462,29.218,28.308,27.744,25.978,21.638,16.594
1943,18.508,18.189,25.361,28.477,34.544,33.861,29.736,27.546,28.63,26.143,20.948,17.11
1944,16.22,18.496,23.18,27.889,34.875,33.204,29.277,28.318,28.927,25.144,21.006,17.944
1945,14.865,17.853,24.951,28.131,33.259,34.075,30.307,29.541,28.432,24.893,19.947,14.896
1946,16.469,20.38,24.265,29.494,32.864,32.129,28.805,28.584,28.644,26.215,20.804,18.017
1947,15.834,19.079,25.66,31.217,34.129,34.672,29.307,28.696,28.63,25.892,21.231,16.97
1948,17.193,18.871,24.093,31.29,34.79,34.443,29.038,28.295,27.986,26.077,20.723,16.184
1949,17.232,19.129,24.81,30.243,33.123,34.079,29.81,28.11,28.444,26.69,18.899,15.398
1950,16.833,18.109,23.552,28.886,33.931,32.473,29.191,28.11,28.328,25.543,19.807,16.487
1951,15.363,18.394,24.289,28.785,33.353,33.562,29.923,28.582,28.446,28.079,21.735,16.322
1952,17.446,20.953,24.135,30.835,34.592,32.689,29.327,28.011,28.432,26.306,20.535,16.918
1953,16.22,20.826,27.81,30.49,34.522,33.69,28.478,27.639,27.972,25.507,19.972,18.145
1954,15.332,20.558,24.665,31.372,34.841,33.276,30.186,28.37,28.373,24.619,19.705,16.619
1955,16.569,18.914,26.526,29.093,34.133,33.322,28.451,28.207,28.069,25.593,20.29,17.015
1956,16.753,18.651,25.611,31.215,34.742,30.519,29.191,27.936,27.282,25.546,19.475,17.768
1957,17.321,18.119,23.741,29.857,34.343,34.136,29.577,28.795,28.116,26.188,21.138,17.87
1958,18.146,19.958,26.086,31.835,34.96,35.56,29.99,28.379,28.373,26.157,21.549,17.847
1959,17.135,18.51,25.393,30.805,34.008,34.059,29.951,28.325,28.234,26.091,20.944,16.907
1960,16.31,20.996,24.36,30.171,33.801,34.724,29.151,28.547,28.471,26.021,19.875,17.428
1961,16.962,17.699,25.597,30.29,34.322,32.577,29.424,28.298,28.083,25.634,19.648,13.604
1962,14.746,19.079,24.137,30.048,33.393,35.21,30.723,27.965,27.5,24.633,20.634,17.116
1963,14.76,20.155,24.425,29.925,32.359,32.116,29.25,28.644,27.782,26.407,22.288,17.227
1964,15.858,18.706,26.111,30.963,32.431,33.087,28.051,28.471,27.9,26.375,20.186,17.257
1965,17.319,19.567,23.71,28.217,32.769,35.291,30.196,28.864,27.744,26.39,21.893,16.364
1966,16.592,21.27,25.223,31.349,34.432,33.317,31.093,28.345,28.83,26.925,22.609,16.201
1967,15.964,20.554,23.616,28.976,33.436,34.746,29.753,27.536,27.885,25.478,20.664,17.771
1968,15.749,17.897,24.167,29.218,33.246,32.074,29.253,28.38,29.454,25.692,20.961,16.555
1969,16.23,20.377,26.996,31.062,32.61,34.422,29.243,27.782,27.757,26.865,22.447,16.885
1970,17.08,18.295,24.142,31.066,33.487,31.528,29.414,28.484,27.514,26.333,20.346,16.381
1971,15.634,17.945,23.741,28.49,30.684,30.001,27.802,27.141,27.885,25.692,20.231,16.596
1972,15.56,16.666,24.465,29.488,34.132,35.24,30.594,28.38,27.282,24.98,20.845,17.004
1973,16.519,20.402,24.086,31.461,34.177,33.194,30.323,28.283,27.685,25.621,20.149,16.2
1974,15.376,17.81,25.109,31.148,33.605,33.573,29.137,28.283,28.059,27.031,20.335,15.417
1975,15.359,18.745,24.249,30.749,34.589,32.774,28.366,27.996,27.747,26.797,19.665,15.96
1976,16.397,19.384,24.825,28.917,33.205,33.211,29.81,28.044,27.51,26.281,22.507,16.92
1977,15.92,19.28,26.015,30.061,31.688,32.35,28.467,28.392,28.09,26.101,22.806,17.227
1978,15.505,17.894,22.376,29.474,34.665,32.926,28.85,28.011,27.987,26.094,22.318,16.583
1979,17.23,17.34,23.48,29.628,33.353,32.614,29.591,29.337,28.586,27.711,24.065,18.37
1980,16.832,19.642,24.052,31.676,34.475,31.534,28.75,27.714,27.943,26.638,21.722,17.257
1981,16.115,19.441,24.226,29.622,32.617,33.191,28.593,28.655,28.487,25.82,20.321,16.37
1982,17.77,18.282,22.606,29.204,32.044,31.806,31.511,28.485,28.112,26.538,21.232,17.206
