Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,13.4,16.872,23.88,29.674,34.172,37.145,33.09,29.217,29.843,28.125,21.399,16.299
1902,16.426,19.026,26.227,30.773,34.572,34.945,30.418,30.271,28.917,26.598,20.297,14.773
1903,15.227,17.198,23.099,28.946,33.493,36.726,33.043,29.318,29.717,25.571,19.598,14.545
1904,14.9,18,23.545,30.773,33.473,35.297,29.29,28.118,28.518,26.298,19.898,15.745
1905,13.501,13.473,20.874,27.5,34.553,37.072,31.616,29.672,30.443,26.925,22.053,15.772
1906,14.399,16.472,21.974,29.874,36.126,34.545,30.916,29.371,28.464,26.744,21.499,16.244
1907,16.426,16.373,21.402,27.847,32.673,35.671,33.89,28.818,30.29,27.272,21.272,14.345
1908,14.027,17.973,23.373,31.146,34.22,36.373,29.836,28.491,29.19,25.999,20.272,14.645
1909,15.067,16.653,24.046,27.847,33.119,32.88,29.517,28.89,28.691,26.398,21.825,14.919
1910,14.128,18,23.827,29.347,34.299,34.298,31.216,29.371,29.19,25.171,19.698,15
1911,16.873,18.027,21.901,29.7,35.599,35.297,32.144,29.398,28.218,26.798,19.171,14.899
1912,15.526,18.8,22.927,29.9,34.7,36.826,31.771,29.444,28.091,26.398,19.772,14.972
1913,15.227,17.874,21.801,31.173,32.4,32.952,31.317,30.67,30.969,27.998,20.726,15.745
1914,16.853,18.347,23.399,30.599,34.398,34.844,30.524,29.144,29.617,25.899,21.426,14.846
1915,15.119,16.173,23.027,29.347,36.072,35.552,32.67,29.97,30.397,28.124,20.8,16.118
1916,15.453,17.373,25.955,31.399,34.373,33.251,31.143,28.672,28.944,25.818,18.699,14.173
1917,15.254,17.773,23.099,26.974,30.3,33.825,30.09,28.692,28.318,25.345,17.899,15.372
1918,13.9,18.001,23.5,28.173,35.626,34.305,34.015,31.069,30.416,27.225,20.9,14.645
1919,15.2,16.627,24.126,29.274,33.747,36.598,29.817,28.691,29.116,25.899,20.199,14.846
1920,14.827,17.474,24.099,29.773,31.545,34.245,29.916,29.844,31.016,28.299,22.225,16.099
1921,16.127,18.626,26.427,32.6,36.845,35.799,33.442,28.744,28.391,25.899,20.325,17.246
1922,15.119,19.3,25.127,30.773,34.945,34.398,30.524,28.245,28.291,25.999,20.298,15.045
1923,14.726,17.373,24.226,30.673,34.018,37.726,31.771,28.618,29.29,25.572,20.398,15.519
1924,14,17.474,25.073,30.646,32.319,37.145,30.544,28.872,28.718,25.718,20.072,15.344
1925,13.073,15.801,23.5,31.326,33.245,31.918,28.89,30.044,29.843,26.972,19.699,14.772
1926,14.954,19.001,22.601,26.973,32.246,36.799,31.791,29.117,28.318,25.217,18.445,14.318
1927,12.973,16.346,22.173,29.119,33.273,35.271,30.471,28.591,29.091,26.344,19.671,16.445
1928,14.6,18.073,24.099,29.573,35.372,34.825,31.142,30.943,30.517,27.371,21.8,15.318
1929,14.7,16.373,25.227,30.846,35.319,35.098,30.471,28.472,30.69,26.597,21.053,14.773
1930,14.527,17.5,24.927,29.846,34.146,34.772,29.564,28.818,29.644,26.899,20.271,15.199
1931,16.453,16.873,23.2,31.273,34.572,36.172,31.844,29.844,28.718,25.617,20.072,16.064
1932,17.327,17,24.173,29.446,33.473,36.599,32.389,28.944,29.29,26.344,19.572,14.973
1933,12.827,18.246,24.199,28.026,31.399,33.826,30.218,28.592,28.264,25.519,19.999,15.245
1934,13.746,18.3,22.473,29.446,33.647,33.772,30.49,28.545,28.863,24.119,19.445,16.244
1935,13.4,18.246,23.7,27.246,34.446,36.498,30.816,28.745,29.017,25.471,21,15.445
1936,13.473,18,23.7,29.473,35.625,32.925,29.943,28.818,28.718,26.044,20.9,15.618
1937,13.727,18.399,22.073,28.547,33.999,35.679,31.189,29.951,29.443,25.825,21.299,14.572
1938,14.701,16.325,25.4,31.072,35.826,32.997,31.142,29.571,30.27,27.143,19.599,15
1939,16,18.473,21.848,28.674,35.472,33.799,30.417,30.423,28.771,27.171,19.999,15.271
1940,14.827,17.101,22.173,28.474,34.773,35.899,32.043,28.89,29.017,26.371,21.699,15.344
1941,14.473,18.5,25.974,32.246,35.426,34.252,33.243,30.544,30.243,29.024,21.154,16.927
1942,13.673,19,25.326,31.326,35.546,36.426,30.29,28.719,28.291,26.245,21.745,15.218
1943,16.219,17.773,24.773,28.473,34.546,34.817,31.063,28.145,29.39,26.144,21.654,16.644
1944,14.573,17.6,22.473,28.6,35.472,34.072,30.709,29.844,29.491,25.644,21.472,16.946
1945,13.299,17.373,24.827,28.9,34.172,35.772,31.59,29.917,28.863,25.571,20.572,14.372
1946,15.5,19.9,23.8,31.526,34.499,34.451,30.524,29.344,29.818,27.07,20.718,16.519
1947,13.746,19.299,25.473,31.445,35.172,36.272,31.316,29.672,28.99,25.091,21.699,16.172
1948,15.246,17.473,22.774,31.372,35.672,36.699,31.27,29.171,29.017,27.07,20.271,16.171
1949,16.499,18.773,24.599,31.2,35.325,35.772,31.09,29.271,29.59,26.417,19.326,14.673
1950,15.9,16.773,22.674,28.774,34.673,35.552,30.844,29.144,28.864,25.871,19.872,14.365
1951,13.901,17.4,23.5,27.847,34.199,34.998,32.471,29.471,29.043,29.297,22.298,15.645
1952,16.273,20.572,23.9,31.673,35.472,33.273,30.617,28.645,30.116,27.098,20.799,16.146
1953,13.72,19.246,27.173,31.099,35.799,36.579,31.296,28.997,29.244,26.298,20.099,17.446
1954,13.473,19.599,24.1,31.045,35.999,36.052,31.617,29.771,28.863,24.445,21.08,15.219
1955,14.646,18.101,26.1,28.747,33.872,35.551,31.069,28.872,29.216,25.118,19.945,16.065
1956,15.272,18.299,24.5,30.847,35.572,34.25,29.564,28.89,29.57,25.445,19.571,16.318
1957,14.82,17.173,22.946,29.246,33.292,34.399,30.916,29.971,28.291,26.371,22.027,16.718
1958,17.226,19.372,25.4,32.273,34.945,35.845,30.763,29.171,28.691,26.044,20.946,17.345
1959,15.473,18.027,25.427,30.573,33.945,35.572,30.463,29.244,29.49,27.198,21.272,17.073
1960,15.1,21.127,24.399,29.773,34.3,36.172,30.844,28.89,29.517,25.945,20.099,16.572
1961,15.573,16.645,24.573,29.42,34.146,34.045,30.163,28.445,28.989,25.544,19.898,13.473
1962,14.2,18.673,23.646,30.546,33.945,35.938,31.664,29.344,28.417,24.845,21.153,16.845
1963,14.426,19.899,24.172,29.465,33.172,34.298,31.516,28.691,28.19,27.07,23.271,16.244
1964,14.3,18.273,26.001,31.173,32.673,35.098,29.745,29.771,28.518,26.372,20.072,16.645
1965,17.199,18.546,23.6,28.373,33.347,36.545,31.19,30.044,28.718,26.972,22.172,16.072
1966,16.2,21.074,24.046,30.465,34.292,33.445,32.417,28.89,29.618,27.772,22,15.472
1967,14.128,20.226,23.099,29.573,34.2,35.218,30.217,27.617,27.464,26.027,21.272,16.645
1968,14.3,16.8,23.881,29.346,33.219,34.625,29.464,28.518,29.564,25.872,21.154,16.471
1969,15.5,19.172,26.873,30.292,33.072,36.217,29.916,28.445,28.391,27.325,22.173,16.172
1970,15.8,17.4,23.654,31.754,34.426,32.898,31.516,29.317,28.645,26.744,20.673,16.571
1971,13.946,18.326,23.652,30.107,32.352,31.172,28.764,27.571,28.364,26.099,20.545,16.145
1972,14.9,16.272,24.801,29.901,35.399,36.08,32.598,28.291,27.764,25.825,21.572,16.418
1973,15.399,19.399,23.9,32.253,35.827,35.106,30.816,28.692,28.718,26.117,20.372,14.846
1974,14.426,17.046,25.427,32.299,34.446,34.844,29.663,28.318,29.645,27.318,20.618,15.118
1975,14.291,17.72,23.672,31.745,35.872,33.546,29.915,28.518,27.791,27.118,19.799,16.271
1976,15.953,18.953,24.099,29.681,33.734,32.791,30.844,27.826,28.618,27.017,22.246,16.244
1977,14.472,18.6,25.727,29.6,32.299,33.591,28.864,28.518,27.537,26.617,23.07,17.198
1978,15.173,17.526,22.127,29.371,36.272,33.952,29.59,27.665,27.617,26.799,22.299,16.099
1979,16.1,16.773,22.573,30.225,30.939,33.617,30.089,29.517,30.217,28.453,23.473,16.999
1980,15.174,19.453,23.8,31.471,34.779,32.197,28.471,28.07,28.799,27.652,21.627,16.318
1981,15.626,19.001,23.427,29.899,33.499,34.452,29.09,28.818,29.506,26.826,20.499,15.671
1982,15.773,17.199,21.574,29.2,32.092,33.952,32.291,28.591,28.719,27.352,21.7,16.845
1983,14.353,17.046,23.5,27.52,32.446,33.965,30.445,29.018,28.691,25.919,19.946,16.244
1984,15.119,16.073,25.253,30.746,36.608,34.334,30.445,28.49,28.09,26.145,20.399,16.746
1985,15.174,18.855,26.001,31.1,35.371,35.371,30.298,28.89,27.964,24.665,21.345,17.445
1986,15.119,17.62,24.045,30.272,32.646,34.464,29.436,29.771,29.543,26.58,21.954,15.619
1987,15.38,19.699,24.828,31.026,32.392,36.619,33.197,30.97,30.443,27.625,21.4,16.172
1988,16.046,19.654,24.58,31.499,36.227,33.845,29.99,28.945,29.99,26.271,21.073,16.945
1989,14.127,17.801,23.6,29.42,34.772,33.099,30.492,28.632,29.144,26.726,20.218,15.672
1990,16.653,18.327,22.728,30.5,33.6,34.544,29.59,29.444,28.464,26.299,21.473,16.272
1991,14.473,19.173,24.199,29.22,34.792,35.252,32.844,28.744,29.317,25.899,20.426,16.073
1992,15.5,17.453,24.1,30.192,33.371,35.754,31.143,29.144,28.264,26.172,21.219,16.453
1993,15.526,19.399,22.028,29.274,35.033,34.88,31.545,30.298,27.818,26.599,22.099,16.244
1994,16.853,18,25.227,28.794,35.072,34.898,29.989,28.718,28.664,26.071,21.219,16.745
1995,14.3,18.473,23.145,30.192,35.638,35.972,31.544,28.646,29.017,27.372,21.372,17.119
1996,15.102,18.218,24.747,29.892,34.464,33.918,30.463,28.118,28.937,26.298,20.646,14.892
1997,14.373,17.627,23.9,28.547,32.52,33.892,31.909,28.945,28.771,25.145,20.6,14.812
1998,14.127,18.947,22.201,30.572,35.199,34.799,30.844,29.272,29.444,27.245,22.292,16.245
1999,14.454,18.974,24.728,31.699,34.325,33.799,31.243,29.471,28.718,26.918,22.619,16.418
2000,15.255,17.62,23.7,31.9,34.398,32.898,30.19,29.645,28.698,27.572,23.618,16.499
2001,14.354,19.054,24.126,29.8,33.6,32.372,30.343,29.944,29.871,27.699,22.099,16.826
2002,15.373,17.508,25.001,31.499,35.299,34.599,33.216,29.644,28.218,27.125,21.773,17.027
