Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,13.353,16.5,23.218,29.269,33.676,36.868,33.167,29.699,29.848,27.99,21.524,16.199
1902,16.343,18.733,25.353,30.152,34.067,34.618,30.832,30.374,29.175,26.216,20.481,15.093
1903,15.094,16.684,22.287,28.678,33.47,36.148,33.231,29.667,29.973,25.75,20.073,15.001
1904,14.946,18.076,23.045,30.468,32.91,34.815,29.891,28.643,28.817,26.273,19.881,15.61
1905,13.078,13.209,19.97,26.918,33.824,36.45,31.699,29.939,30.414,26.797,21.898,15.668
1906,14.21,15.794,21.387,29.586,35.568,34.218,31.283,29.55,28.935,26.674,21.799,16.417
1907,16.627,15.769,20.361,27.378,32.218,35.291,33.857,29.3,30.517,27.399,21.3,14.634
1908,14.235,17.836,23.045,31.129,33.962,36.033,30.377,28.91,29.459,26.166,20.332,14.86
1909,15.155,16.299,23.803,27.619,33.02,32.615,30.1,29.468,29.168,26.691,21.573,15.31
1910,14.479,17.525,23.445,29.153,33.832,33.948,31.366,29.681,29.417,25.292,19.855,14.975
1911,16.445,17.8,21.128,29.326,35.242,34.913,32.517,29.832,28.592,26.699,19.167,14.876
1912,15.219,18.478,22.478,29.318,34.058,36.065,31.814,29.648,28.434,26.306,19.716,15.042
1913,15.177,17.185,21.028,30.55,31.985,32.64,31.599,30.956,30.914,27.591,20.406,15.259
1914,16.719,17.692,22.585,29.85,33.692,34.558,30.947,29.557,29.698,25.509,21.317,14.995
1915,15.203,16.051,22.404,29.044,35.568,34.948,32.64,30.232,30.272,27.922,21.141,16.023
1916,15.377,17.135,25.702,30.959,34.093,32.998,31.141,29.201,29.117,26.033,19.366,14.283
1917,15.119,17.367,22.318,26.427,29.619,33.406,30.492,29.242,28.484,25.435,18.741,15.31
1918,13.952,17.893,23.12,27.811,35.057,33.671,34.04,31.113,30.457,27.007,20.691,14.477
1919,14.802,16.224,23.428,28.518,33.102,35.948,30.283,29.242,29.31,25.949,20.332,14.852
1920,15.276,16.818,22.936,29.369,31.086,33.942,30.358,30.107,30.841,27.848,21.999,16.291
1921,15.603,18.425,25.969,32.076,36.576,35.123,33.099,29.007,28.517,25.642,20.348,16.959
1922,14.503,18.834,24.669,30.217,34.803,34.083,30.759,28.625,28.559,25.799,20.425,14.734
1923,14.919,16.725,23.735,30.509,33.827,37.173,31.673,29.1,29.409,25.51,20.533,15.46
1924,13.904,17.252,24.721,30.344,31.829,37.033,30.764,29.226,28.809,25.942,20.299,15.517
1925,13.028,15.901,23.01,30.841,33.018,31.894,29.492,30.174,29.781,26.699,19.657,15.05
1926,14.744,18.634,21.719,26.46,31.852,36.499,32.042,29.467,28.693,25.46,18.6,14.736
1927,13.212,15.976,21.844,28.911,32.75,34.966,30.844,28.968,29.36,26.349,19.889,16.542
1928,14.487,17.819,23.502,29.026,35.01,34.381,31.39,31.374,30.842,27.382,21.607,15.46
1929,14.587,16.284,24.694,30.36,34.985,34.649,30.943,28.883,30.558,26.324,21.073,14.953
1930,14.135,17.135,24.436,29.494,33.775,34.358,30.067,29.293,29.832,26.608,20.282,15.351
1931,16.318,16.26,22.71,31.001,34.11,35.91,31.857,30.225,28.96,25.785,20.258,16.142
1932,17.044,16.601,23.735,29.211,33.128,36.241,32.516,29.284,29.51,26.324,20.199,15.06
1933,12.912,17.819,23.744,27.476,30.867,33.556,30.525,29.118,28.669,25.678,20.349,15.5
