Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,14.325,17.576,23.819,29.952,34.412,37.171,32.749,29.396,28.967,27.129,20.814,16.371
1902,17.007,19.062,26.568,31.059,34.683,35.243,30.45,29.814,28.676,25.879,19.656,15.339
1903,16.157,17.438,23.682,29.611,34.483,35.996,32.347,29.546,29.282,25.354,19.395,15.324
1904,16.225,18.29,24.314,30.875,33.789,34.488,29.247,28.481,28.576,25.874,19.536,16.579
1905,14.633,14.147,21.876,27.444,33.851,36.697,30.935,29.073,29.429,25.931,21.134,16.186
1906,15.408,17.354,23.091,30.382,35.812,34.52,30.472,29.037,28.705,26.317,20.967,16.916
1907,17.323,17.431,22.339,28.329,33.227,35.204,33.769,28.988,30.142,27.382,21.057,15.11
1908,14.801,18.639,24.133,32.056,35.327,36.056,30.216,28.96,29.468,26.003,20.158,15.586
1909,17.959,16.848,25.149,28.519,34.182,31.335,29.232,28.959,28.561,25.955,21.014,16.126
1910,15.136,18.41,24.421,30.012,34.17,33.411,30.87,28.961,29.097,25.185,19.159,15.386
1911,18.071,18.062,22.484,29.738,35.541,33.87,31.909,29.489,28.067,26.281,19.408,15.25
1912,16.241,19.575,23.521,29.915,34.595,35.76,30.772,29.058,28.368,25.874,19.706,15.387
1913,15.809,18.709,22.298,31.215,32.62,31.528,30.923,29.98,29.707,27.557,20.184,16.344
1914,17.584,19.433,23.804,30.025,33.95,34.74,29.91,28.945,29.229,25.558,21.128,16.101
1915,16.338,17.214,23.282,29.644,36.21,34.754,31.22,29.195,28.836,27.09,20.673,16.288
1916,15.794,18.09,25.927,31.289,34.628,31.425,30.284,28.596,28.669,26.249,18.82,14.679
1917,15.671,18.162,23.29,27.438,30.468,32.641,29.987,29.082,28.282,25.889,18.127,15.889
1918,14.639,18.747,24.566,28.876,35.18,32.103,32.993,29.918,29.737,26.681,20.577,15.479
1919,16.241,16.74,24.583,29.512,34.089,35.323,29.388,29.032,28.945,25.611,20.201,15.781
1920,15.646,18.079,24.437,30.103,32.127,34.494,29.565,29.361,30.15,27.635,21.474,16.288
1921,16.956,18.584,26.598,32.393,36.886,34.581,32.402,28.451,28.475,25.56,19.62,17.762
1922,15.943,19.709,25.297,30.644,35.673,33.979,29.684,28.344,28.366,25.52,20.249,15.787
1923,15.714,18.039,24.638,30.967,34.736,36.906,30.402,28.83,29.182,25.358,20.4,16.573
1924,15.379,18.461,26.142,31.266,33.329,36.986,29.587,28.874,28.682,26.233,20.144,16.017
1925,14.415,16.878,24.062,30.752,33.226,32.479,28.702,29.736,28.737,26.653,19.415,15.117
