Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,13.268,16.612,23.921,29.37,34.053,37.127,33.47,29.491,30.417,28.658,21.628,16.488
1902,16.278,18.871,26.072,30.518,34.493,34.791,30.963,30.695,29.233,26.961,20.575,14.844
1903,15.079,17.062,22.913,28.521,33.238,36.932,33.479,29.499,30.123,25.911,19.737,14.496
1904,14.588,17.863,23.306,30.608,33.353,35.515,29.579,28.298,28.836,26.621,19.994,15.646
1905,13.186,13.213,20.481,27.362,34.701,37.126,32.073,30.096,31.157,27.507,22.433,16.063
1906,14.221,16.121,21.582,29.569,36.242,34.573,31.324,29.707,28.632,27.053,21.637,16.238
1907,16.326,16.023,21.083,27.561,32.503,35.774,34.179,29.046,30.62,27.427,21.245,14.296
1908,13.879,17.671,23.115,30.721,33.901,36.425,29.884,28.597,29.293,26.182,20.335,14.596
1909,14.29,16.528,23.629,27.561,32.756,33.419,29.788,29.089,28.93,26.719,22.085,14.746
1910,13.887,17.772,23.582,28.921,34.343,34.516,31.531,29.794,29.432,25.371,19.927,15.054
1911,16.577,17.967,21.672,29.561,35.644,35.926,32.815,30.085,28.579,27.211,19.057,14.954
1912,15.379,18.528,22.68,29.762,34.742,37.122,32.279,29.747,28.241,26.719,19.836,15.135
1913,15.217,17.571,21.571,30.96,32.351,33.459,31.768,31.228,31.57,28.32,20.893,15.737
1914,16.737,17.963,23.263,30.689,34.535,34.866,31.18,29.447,30.028,26.129,21.503,14.655
1915,14.631,15.823,22.92,29.111,36.084,35.741,33.414,30.576,31.215,28.7,20.895,16.044
1916,15.517,17.16,26.01,31.306,34.204,33.895,31.626,28.956,29.288,25.911,18.744,14.243
1917,15.226,17.652,23.011,26.67,30.161,34.116,30.281,28.798,28.45,25.284,17.854,15.346
1918,13.769,17.682,23.133,27.73,35.785,34.962,34.602,31.809,30.868,27.529,20.944,14.548
1919,14.977,16.518,23.971,29.06,33.684,37.046,30.18,28.889,29.43,26.221,20.245,14.747
1920,14.678,17.171,23.872,29.468,31.344,34.084,30.23,30.235,31.561,28.708,22.436,16.151
1921,15.93,18.56,26.319,32.551,36.826,36.294,34.016,29.091,28.541,26.172,20.633,17.288
1922,14.906,19.073,24.971,30.651,34.743,34.482,31.319,28.505,28.49,26.319,20.345,15.086
1923,14.578,17.071,24.073,30.461,33.788,37.922,32.37,28.799,29.532,25.862,20.445,15.346
1924,13.638,17.08,24.772,30.268,31.955,37.214,30.885,29.107,28.938,25.673,20.088,15.338
1925,12.778,15.341,23.23,31.4,33.323,31.687,29.18,30.438,30.467,27.311,19.794,14.934
1926,15.008,18.82,22.371,26.803,32.095,36.883,32.08,29.298,28.54,25.454,18.478,14.239
1927,12.677,15.964,22.052,28.803,33.103,35.374,30.979,28.699,29.144,26.653,19.869,16.439
1928,14.378,17.862,23.873,29.361,35.386,35.123,31.762,31.471,30.921,27.663,21.888,15.236
