Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,12.915,15.769,22.992,28.188,32.673,35.685,32.68,29.812,30.376,28.285,21.212,16.2
1902,15.8,18.184,25.085,29.389,33.274,33.297,30.72,30.904,29.192,26.681,20.32,14.612
1903,14.508,16.378,21.866,27.389,32.092,35.789,33.088,29.611,30.184,26.015,19.531,14.327
1904,13.82,17.284,22.273,29.489,32.393,34.569,29.731,28.715,28.985,26.401,19.619,15.777
1905,12.701,12.473,19.381,26.189,33.794,35.666,31.908,30.011,31.169,27.208,21.908,15.796
1906,13.597,15.262,20.6,28.284,35.173,33.397,31.412,29.412,28.6,26.908,21.327,16.208
1907,15.823,14.981,19.885,26.092,31.277,34.176,33.577,29.104,30.677,27.108,20.82,14.226
1908,13.73,17,22.4,29.489,32.885,35.277,29.711,28.192,29.185,25.919,19.808,14.619
1909,13.509,15.689,22.604,26.611,31.912,32.304,29.304,28.9,28.688,26.511,21.704,14.508
1910,13.435,16.888,22.601,27.685,33.385,33.481,30.792,29.388,29.384,25.212,19.6,14.904
1911,15.889,17.281,20.686,28.388,34.481,34.554,32.901,30.627,28.808,26.901,18.324,14.716
1912,14.812,17.8,21.9,28.588,33.661,35.869,31.776,29.485,28.1,26.5,19.505,15.001
1913,14.911,16.67,20.477,29.881,31.189,32.073,30.872,30.872,31.158,27.781,20.308,15.37
1914,16.216,16.758,22.272,29.255,33.374,33.481,30.493,29.5,29.669,25.301,20.909,14.411
1915,14.116,14.996,22.303,28.3,35.373,34.485,33.189,30.704,30.973,28.192,20.535,15.812
1916,15.119,16.374,25.204,30.376,32.985,32.985,30.788,28.707,29.085,25.8,18.431,14.207
1917,14.708,17.097,22.385,25.493,28.982,32.973,29.788,28.507,27.972,24.8,17.542,15.104
1918,13.516,17.016,22.196,26.389,34.973,33.885,34.162,31.765,30.65,27.188,20.404,14.501
1919,14.501,15.796,23.177,28.066,32.563,36.262,30.015,28.804,29.376,26.015,19.712,14.505
1920,14.127,16.173,22.953,28.377,30.058,32.957,30.192,30.276,31.362,28.27,21.993,16.008
1921,15.489,17.885,25.596,31.873,36.065,35.278,33.462,29.195,28.797,25.697,20.308,16.997
1922,14.196,18.177,24.281,29.581,33.676,33.485,31.096,28.723,28.384,25.792,19.912,14.993
1923,14.028,16.081,23.204,29.589,32.581,36.558,31.673,28.503,29.481,25.508,20.001,15.115
1924,13.312,16.293,23.796,29.292,30.562,36.076,31.111,29.199,28.46,25.411,19.804,15.311
1925,12.412,14.508,22.715,30.596,32.593,30.792,28.812,29.993,30.381,26.701,19.116,14.72
1926,14.52,17.996,21.485,25.682,30.777,35.584,31.596,28.9,28.492,25.308,18.119,14.323
1927,12.531,14.97,21.296,27.6,31.874,34.184,30.4,28.5,29.077,26.208,19.712,16.296
1928,13.708,17.105,22.801,28.393,34.577,34.089,31.489,31.284,30.553,27.3,21.288,14.985
1929,14.108,15.492,24.604,29.773,34.162,34.188,30.696,28.808,30.954,26.685,20.808,14.381
1930,13.689,16.577,23.774,28.468,33.07,33.373,29.199,29.211,29.477,26.592,19.896,14.911
1931,15.311,15.362,21.597,29.9,33.274,35.096,31.477,29.592,28.681,25.704,19.312,15.424
1932,15.792,15.878,23.704,28.7,31.977,35.773,31.658,28.48,28.977,26.401,19.535,14.615
1933,12.039,17.289,22.785,27.192,30.062,32.588,29.292,27.585,27.787,25.216,19.415,15.524
1934,12.612,17.919,21.508,28.308,32.281,32.808,30.392,27.988,29.607,25.366,19.739,15.989
