Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,12.807,15.383,22.723,27.985,32.132,35.376,32.5,30.016,30.151,27.901,21.048,15.864
1902,15.608,17.959,24.65,29.043,32.732,33.099,30.757,30.955,29.142,26.225,20.165,14.502
1903,14.297,16.001,21.352,27.197,31.789,35.43,32.961,29.816,30.128,26.032,19.62,14.379
1904,13.691,17.029,21.938,29.285,31.95,34.173,30.029,29.053,28.913,26.196,19.453,15.286
1905,12.352,12.191,18.897,25.827,33.35,35.149,31.863,30.274,30.805,26.971,21.496,15.502
1906,13.315,14.753,20.341,28.163,34.664,33.19,31.484,29.411,28.7,26.713,21.312,16.052
1907,15.759,14.494,19.319,25.792,30.798,33.843,33.219,29.311,30.625,27.071,20.666,14.265
1908,13.836,16.91,22.314,29.415,32.433,35.02,29.93,28.298,29.124,25.926,19.58,14.522
1909,13.309,15.395,22.59,26.595,31.867,32.105,29.48,29.055,28.834,26.521,21.388,14.48
1910,13.629,16.569,22.497,27.576,32.931,33.126,30.729,29.403,29.31,25.093,19.381,14.643
1911,15.439,16.993,20.264,28.171,34.081,33.965,32.876,30.863,28.933,26.698,18.23,14.525
1912,14.547,17.566,21.801,28.228,33.066,35.3,31.564,29.453,28.174,26.294,19.205,14.676
1913,14.779,16.112,20.046,29.554,30.811,31.68,30.768,30.726,30.807,27.297,19.911,14.738
1914,15.999,16.141,21.796,28.635,32.675,33.11,30.438,29.645,29.434,24.894,20.548,14.304
1915,14.086,14.857,22.123,28.226,34.867,34.048,32.946,30.783,30.655,27.933,20.612,15.545
1916,14.981,16.079,25.193,30.119,32.675,32.751,30.688,28.989,29.011,25.755,18.65,14.068
1917,14.497,16.829,22.009,25.222,28.436,32.625,29.819,28.762,27.797,24.739,17.873,14.858
1918,13.488,16.927,22.032,26.198,34.437,33.512,33.791,31.511,30.376,26.885,20.087,14.196
1919,14.154,15.646,22.803,27.566,31.94,35.717,30.106,29.05,29.311,25.945,19.548,14.231
1920,14.324,15.722,22.21,28.117,29.532,32.65,30.215,30.267,30.974,27.729,21.606,15.996
1921,15.055,17.66,25.447,31.556,35.722,34.718,32.959,29.252,28.694,25.415,20.083,16.571
1922,13.758,17.798,24.114,29.254,33.387,33.208,30.991,29.042,28.31,25.536,19.735,14.519
1923,14.054,15.594,23.007,29.414,32.195,36.031,31.368,28.667,29.347,25.312,19.78,14.927
1924,13.18,16.075,23.589,29.167,29.951,35.832,31.171,29.332,28.216,25.436,19.661,15.221
1925,12.279,14.597,22.674,30.405,32.335,30.697,28.998,29.912,30.073,26.292,18.87,14.633
