Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,15.009,18.591,23.895,29.946,33.224,35.284,30.794,29.21,28.411,27.225,21.305,16.772
1902,17.461,19.346,26.737,30.214,34.346,35.093,30.25,29.707,28.845,26.212,20.717,15.863
1903,16.699,18.275,24.314,30.613,33.853,34.298,31.468,29.463,29.625,26.653,20.335,15.89
1904,16.698,18.893,24.861,31.53,32.881,32.326,29.113,28.673,28.776,26.443,20.223,17.143
1905,15.299,15.029,22.684,27.566,33.325,36.296,29.985,28.744,28.776,26.272,21.207,16.529
1906,16.043,18.445,23.336,30.581,35.062,33.805,30.279,28.993,29.275,26.58,21.755,17.264
1907,17.646,18.211,22.472,27.853,32.224,32.976,31.402,29.352,29.466,27.182,21.16,16.023
1908,14.916,19.002,24.345,32.28,34.494,35.045,30.398,29.569,29.63,26.422,20.407,15.946
1909,18.291,18.152,24.76,28.451,33.921,31.008,29.557,28.99,29.255,26.355,21.376,17.044
1910,15.747,18.928,25.063,30.745,33.723,32.286,29.955,29.169,29.275,26.493,20.569,16.025
1911,18.371,18.331,23.296,30.245,35.009,31.656,31.785,29.142,28.673,26.58,20.278,15.643
1912,16.663,20.08,24.66,29.975,33.599,34.711,30.433,29.073,28.676,26.626,20.392,15.908
1913,16.162,19.002,22.681,30.949,32.173,30.296,29.935,29.295,29.145,26.205,20.081,16.5
1914,17.318,19.802,23.734,29.158,32.311,32.833,30.077,29.008,28.781,25.463,22.047,17.008
1915,17.046,18.492,24.327,30.551,34.987,34.161,31.177,29.273,29.107,28.018,22.677,16.627
1916,15.883,18.948,26.607,31.768,34.796,31.089,29.982,28.791,29.073,27.096,21.544,15.391
1917,16.014,18.682,23.781,28.228,30.184,31.764,29.828,29.157,28.694,26.763,20.458,16.425
1918,15.113,18.949,25.013,29.318,33.863,30.497,31.494,28.835,29.064,25.928,20.475,15.816
1919,17.348,17.609,25.028,29.089,32.48,32.278,29.423,29.157,28.679,26.09,21.287,16.408
1920,16.263,18.827,24.621,30.348,31.536,34.369,29.575,29.207,29.118,26.966,21.625,16.775
1921,17.284,18.812,26.998,31.94,36.308,32.952,30.475,28.536,28.395,25.563,19.752,16.927
1922,16.66,19.914,25.578,30.195,34.809,31.012,29.108,28.439,27.928,24.73,20.223,16.31
1923,16.278,18.647,24.031,31.231,34.426,35.595,29.778,29.119,28.981,25.492,20.707,17.164
1924,16.079,19.064,26.363,31.433,33.316,35.809,29.458,28.99,28.395,26.593,20.991,16.79
1925,15.064,17.482,24.448,30.886,32.801,31.95,28.858,29.262,29.073,26.45,20.985,15.858
1926,16.179,19.667,23.616,27.36,31.821,35.883,30.641,29.227,28.557,25.89,19.073,16.39
1927,15.412,18.63,23.095,29.746,32.545,34.306,30.282,28.995,29.63,26.545,20.882,17.38
1928,16.07,19.149,25.311,29.284,33.961,32.07,29.612,29.795,30.039,27.595,21.547,17.363
1929,16.396,17.943,25.598,30.759,34.824,33.648,29.63,28.451,29.503,25.745,21.055,16.126
1930,15.716,18.528,25.448,29.833,32.96,33.77,29.378,28.955,29.407,27.031,21.026,16.129
1931,17.652,18.662,24.31,31.336,34.181,34.576,30.035,29.707,29.29,26.755,21.17,17.345
1932,17.851,18.264,25.149,30.085,33.319,35.041,30.337,28.99,29.34,26.908,21.596,16.378
1933,14.897,19.866,25.266,28.092,31.227,32.065,29.745,29.059,29.094,26.363,20.884,16.693
1934,16.265,19.164,24.479,30.73,33.876,33.303,29.793,29.172,29.372,25.925,20.976,17.363
1935,15.478,19.443,24.761,27.667,34.244,34.428,30.29,28.573,28.773,26.09,20.941,16.862
1936,15.546,19.058,25.279,29.351,33.729,30.851,29.293,28.985,28.575,25.316,21.438,17.163
1937,14.862,19.2,23.61,28.432,32.824,33.747,30.13,28.169,29.12,25.739,20.882,15.462
1938,16.616,17.326,26.281,30.933,33.329,31.225,29.843,28.955,29.223,26.848,20.455,16.224
1939,17.199,19.679,23.452,29.543,34.774,32.798,29.624,28.656,28.621,26.545,20.866,16.589
1940,15.946,18.709,23.017,28.996,33.524,33.99,29.68,29.157,28.679,26.869,22.167,16.844
1941,16.548,19.458,26.746,32.369,33.746,32.642,30.948,29.328,29.278,27.051,21.219,17.553
1942,16.109,19.351,25.378,30.367,35.204,34.653,30.054,29.107,28.313,26.428,22.357,17.029
1943,18.735,18.533,25.634,28.657,34.544,34.054,30.165,28.454,29.177,26.629,21.595,17.709
1944,16.417,18.88,23.595,28.186,35.121,33.535,29.909,29.107,29.902,25.727,21.527,18.198
1945,15.406,18.083,25.249,28.631,33.34,34.336,30.996,30.045,28.993,25.345,20.658,15.427
1946,16.698,20.749,24.645,29.315,32.467,32.71,29.557,29.39,29.15,26.416,21.165,18.134
1947,16.162,19.448,25.948,31.603,33.933,34.838,29.929,29.473,29.177,26.345,21.778,17.363
1948,17.252,19.309,24.592,31.523,34.531,35.045,29.448,29.073,28.711,26.318,21.29,16.645
1949,17.501,19.271,24.903,29.869,32.522,33.911,30.085,28.955,29.061,27.064,19.849,15.863
1950,17.099,18.545,23.862,29.595,33.892,32.801,29.875,28.845,28.781,26.175,20.374,17.043
1951,15.86,18.892,24.758,29.51,33.766,33.801,30.267,29.352,29.059,28.463,22.312,16.845
1952,17.718,21.183,24.268,30.907,34.268,33.016,29.928,28.791,28.853,26.828,21.222,17.134
1953,16.417,20.919,27.903,30.849,34.476,33.969,29.109,28.601,28.613,26.011,20.722,18.498
1954,15.599,20.879,25.03,32.012,34.762,33.535,30.403,29.056,29.076,25.21,20.277,16.835
1955,16.54,18.937,26.731,29.53,34.075,33.307,28.931,28.744,28.694,26.061,21.202,17.137
1956,16.67,18.8,25.702,31.565,34.661,31.08,29.875,28.809,27.975,26.274,20.336,18.064
1957,17.466,18.593,24.063,30.411,34.829,34.251,30.195,29.51,29.197,26.908,21.857,18.325
1958,18.481,20.263,26.036,31.873,35.039,35.607,30.528,28.993,29.061,26.726,22.255,18.243
1959,17.397,19.008,25.371,31.104,33.91,34.108,30.431,29.334,28.845,26.4,21.56,17.428
1960,16.747,21.527,24.32,30.777,34.021,34.806,29.692,29.455,29.113,26.545,20.705,18.139
1961,17.346,18.226,25.621,30.539,34.291,32.757,29.992,29.169,28.776,26.289,20.42,13.91
1962,15.146,19.448,24.305,30.188,33.293,34.805,31.02,28.511,28.275,25.306,21.29,17.299
1963,15.179,20.383,24.569,29.973,32.424,32.58,29.73,29.227,28.46,26.928,22.587,17.888
1964,16.179,19.275,26.203,31.106,32.376,33.42,28.631,29.255,28.676,27.19,21.02,17.566
1965,17.519,19.866,23.803,28.588,32.863,35.13,30.403,29.413,28.313,26.749,22.33,16.307
1966,16.702,21.156,25.4,31.438,34.377,33.732,31.206,28.895,29.283,27.021,23.109,16.824
1967,16.375,20.783,23.799,29.204,33.459,34.772,30.244,28.516,28.658,25.865,21.031,18.145
1968,16.079,18.311,24.465,29.586,33.259,32.336,29.813,29.107,29.949,26.144,21.74,16.882
1969,16.354,20.288,27.086,31.238,32.822,34.493,29.89,28.491,28.457,27.23,23.095,17.282
1970,17.069,18.665,24.511,31.319,33.703,32.063,29.929,29.29,28.405,26.963,21.122,16.862
1971,15.898,17.628,24.065,28.723,30.806,30.464,28.46,27.707,28.594,26.159,20.777,17.081
1972,15.963,17.029,24.736,29.686,34.076,34.964,30.744,29.154,27.975,25.41,21.458,17.154
1973,16.782,20.455,24.137,31.576,33.85,33.145,30.605,29.038,28.519,26.207,20.856,16.724
1974,15.943,18.308,25.204,31.241,33.414,33.735,29.548,28.99,28.741,27.593,21.038,15.635
1975,15.763,18.997,24.465,30.904,34.27,33.036,28.926,28.773,28.457,27.342,20.436,16.378
1976,16.698,19.745,24.984,29.411,33.059,33.272,30.085,28.643,28.275,26.664,22.997,17.132
1977,16.116,19.547,26.183,30.14,31.496,32.57,29.157,29.076,28.94,26.385,23.25,17.483
1978,15.637,18.228,22.713,29.558,34.351,33.028,29.393,28.916,28.741,26.529,22.796,17.046
1979,17.401,17.65,23.957,30.048,33.766,32.982,30.127,30.317,28.904,27.818,24.305,18.764
1980,17,19.846,24.348,31.95,34.214,32.159,29.635,28.651,28.515,26.818,22.276,17.581
1981,16.236,19.587,24.383,29.591,32.495,33.5,29.258,29.225,29.255,26.345,20.956,16.763
1982,17.785,18.645,23.089,29.628,32.612,32.295,31.769,29.288,28.826,26.719,22.039,16.781
1983,15.496,19.254,24.348,28.691,31.853,33.77,30.208,29.805,29.737,26.393,20.819,17.578
1984,16.474,18.109,25.495,30.969,34.38,31.947,29.227,28.61,28.34,27.275,20.712,17.718
1985,17.4,19.217,27.049,31.104,34.149,34.136,29.094,29.175,29.094,26.011,21.73,18.533
1986,16.737,18.92,24.613,30.321,31.757,32.798,28.937,28.42,28.186,25.745,22.574,17.016
1987,16.052,20.607,24.346,30.356,32.656,35.264,30.367,29.203,29.243,26.647,21.811,17.452
1988,17.446,20.098,24.771,30.838,34.414,32.081,29.456,28.762,30.193,27.058,21.9,18.545
1989,15.569,18.721,24.676,30.13,34.224,32.096,29.528,28.848,29.322,27.207,22.092,16.772
1990,16.996,19.555,23.566,30.683,32.231,33.18,28.621,28.86,29.138,26.444,21.817,17.78
1991,16.79,20.17,25.03,29.586,33.895,32.037,30.638,28.272,29.023,26.289,21.233,17.084
1992,15.489,17.404,26.167,30.634,32.277,32.461,30.783,28.739,28.901,27.228,22.867,17.364
1993,17.379,21.027,23.927,29.484,33.893,33.735,30.948,29.485,28.776,27.644,21.557,17.712
1994,17.919,18.982,26.624,29.668,34.912,33.317,29.577,28.711,29.177,26.604,22.003,17.499
1995,15.172,20.512,24.12,30.301,34.127,34.891,30.167,28.491,28.668,27.146,22.155,18.33
1996,17.234,19.331,26.028,29.351,34.294,32.422,29.692,27.825,29.557,26.789,21.91,17.3
1997,16.002,18.13,25.013,29.179,32.576,34.506,31.237,28.995,28.375,26.26,22.084,17.981
1998,16.026,20.204,23.015,29.611,33.414,34.814,29.498,29.325,29.357,28.671,23.068,18.99
1999,16.207,20.712,25.281,31.844,33.5,32.733,29.692,28.99,28.658,27.725,23.731,18.712
2000,16.911,19.386,24.53,31.405,33.453,32.044,30.311,29.328,28.631,28.143,24.293,17.726
2001,16.376,19.778,25.196,30.01,34.065,31.547,29.177,29.491,29.792,28.206,24.482,19.417
2002,16.621,20.239,25.828,30.704,34.943,34.13,31.57,29.025,28.641,26.893,22.375,17.959
