Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,13.656,16.968,23.522,29.445,33.978,36.631,31.95,28.473,28.489,26.925,20.532,16.272
1902,16.539,18.869,26.212,30.552,34.289,34.795,29.82,29.313,27.959,25.611,19.28,14.893
1903,15.629,17.146,23.093,28.88,33.478,35.933,31.791,28.675,28.555,24.785,18.96,14.796
1904,15.558,17.897,23.487,30.348,33.311,34.26,28.354,27.572,27.752,25.552,19.231,16.073
1905,14.058,13.635,21.244,27.117,33.949,36.402,30.38,28.671,28.984,25.725,21.037,15.854
1906,14.756,16.77,22.384,29.785,35.58,33.983,29.757,28.513,27.738,25.773,20.681,16.399
1907,16.666,16.856,21.794,27.681,32.605,34.864,32.887,28.07,29.342,26.879,20.684,14.645
1908,14.327,18.142,23.385,31.206,34.381,35.702,29.219,27.968,28.647,25.487,19.762,14.988
1909,16.51,16.712,24.385,27.779,33.437,31.57,28.523,28.147,27.757,25.54,20.842,15.417
1910,14.613,18.098,23.951,29.279,33.884,33.158,30.147,28.399,28.345,24.576,18.768,15.225
1911,17.385,17.871,21.955,29.355,35.186,33.557,31.053,28.574,27.355,25.893,18.888,15.028
1912,15.826,19.076,23.05,29.508,34.286,35.794,30.384,28.45,27.549,25.547,19.201,15.056
1913,15.339,18.165,21.815,30.757,32.214,31.589,30.159,29.303,29.441,27.253,20.027,15.886
1914,17.135,18.799,23.253,29.714,33.645,34.125,29.378,28.254,28.615,25.351,20.917,15.479
1915,15.6,16.507,22.91,29.048,35.608,34.804,30.957,28.708,28.726,26.863,20.271,15.959
1916,15.495,17.532,25.631,30.856,34.178,31.502,29.902,27.951,28.116,25.441,18.298,14.35
1917,15.383,17.68,22.864,26.952,30.182,32.53,29.15,28.174,27.62,25.107,17.661,15.652
1918,14.066,18.335,23.885,28.276,34.993,32.542,32.332,29.423,29.173,26.46,20.378,14.986
1919,15.644,16.57,24.151,29.048,33.507,35.122,28.658,28.013,28.22,25.143,19.774,15.288
1920,15.132,17.641,24.027,29.552,31.448,33.814,28.821,28.703,29.676,27.415,21.338,16.282
1921,16.466,18.405,26.209,32.007,36.256,34.424,31.927,27.757,27.651,25.242,19.44,17.447
