Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,13.262,16.347,23.749,29.003,33.661,36.731,33.295,29.607,30.44,28.721,21.632,16.644
1902,16.229,18.703,25.847,30.222,34.137,34.29,30.945,30.818,29.269,26.992,20.671,14.955
1903,15.028,16.834,22.552,28.137,32.966,36.668,33.44,29.519,30.221,26.122,19.805,14.559
1904,14.458,17.793,22.992,30.285,33.112,35.258,29.622,28.39,28.861,26.643,20.031,15.759
1905,13.11,12.946,20.118,27.023,34.53,36.674,32.118,30.146,31.239,27.57,22.46,16.036
1906,14.089,15.755,21.297,29.078,35.986,34.234,31.441,29.709,28.709,27.222,21.69,16.399
1907,16.369,15.661,20.724,27.13,32.137,35.359,34.049,29.151,30.607,27.387,21.198,14.409
1908,13.979,17.434,22.921,30.287,33.519,36.046,29.763,28.437,29.231,26.195,20.243,14.747
1909,14.039,16.263,23.27,27.245,32.469,33.309,29.653,29.11,28.893,26.795,22.131,14.721
1910,13.85,17.512,23.331,28.448,34.147,34.296,31.347,29.697,29.47,25.415,19.914,15.157
1911,16.439,17.812,21.408,29.203,35.355,35.625,32.948,30.434,28.674,27.254,18.91,15.093
1912,15.345,18.3,22.484,29.441,34.486,36.811,32.202,29.687,28.181,26.793,19.831,15.237
1913,15.249,17.311,21.241,30.656,32.075,33.193,31.484,31.237,31.531,28.3,20.859,15.747
1914,16.747,17.466,22.991,30.324,34.329,34.503,31.069,29.498,29.951,25.977,21.459,14.619
1915,14.531,15.535,22.82,28.878,35.952,35.448,33.489,30.679,31.284,28.7,20.884,16.175
1916,15.549,16.839,25.813,30.999,33.837,33.775,31.407,28.87,29.223,25.86,18.716,14.39
1917,15.228,17.467,22.883,26.284,29.801,33.837,30.103,28.67,28.303,25.156,17.834,15.408
1918,13.783,17.508,22.871,27.286,35.597,34.802,34.535,31.841,30.817,27.521,20.842,14.641
1919,14.909,16.335,23.731,28.756,33.368,36.927,30.218,28.808,29.374,26.294,20.143,14.809
1920,14.612,16.823,23.628,29.1,30.862,33.624,30.217,30.242,31.59,28.625,22.376,16.181
1921,15.861,18.368,26.131,32.362,36.575,36.139,33.911,29.186,28.624,26.121,20.662,17.336
1922,14.903,18.78,24.747,30.317,34.353,34.275,31.378,28.567,28.48,26.283,20.332,15.19
1923,14.529,16.761,23.887,30.158,33.409,37.507,32.23,28.727,29.551,25.861,20.326,15.357
1924,13.549,16.784,24.459,29.906,31.447,36.879,31.159,29.151,28.746,25.627,20.047,15.442
1925,12.711,15.035,23.09,31.195,33.18,31.358,29.091,30.371,30.596,27.266,19.709,15.075
1926,14.869,18.618,22.129,26.474,31.754,36.513,32.008,29.225,28.514,25.533,18.454,14.399
1927,12.705,15.595,21.831,28.424,32.792,35.069,30.885,28.626,29.065,26.66,19.976,16.578
1928,14.278,17.672,23.717,29.095,35.236,34.941,31.78,31.51,30.853,27.694,21.792,15.252
1929,14.483,15.885,25.158,30.408,34.824,35.085,30.78,28.907,31.025,27.103,21.341,14.78
1930,14.238,17.113,24.503,29.296,33.759,34.453,29.58,29.186,30.063,27.048,20.377,15.247
1931,16.12,16.083,22.537,30.675,34.126,35.885,32.057,29.948,28.976,25.884,20.09,15.935
1932,17.02,16.579,23.986,29.021,32.903,36.636,32.491,28.987,29.532,26.561,19.627,14.904
1933,12.468,17.565,23.649,27.728,31.063,33.81,30.135,28.273,28.161,25.494,20.011,15.42
1934,13.191,18.067,21.891,28.779,33.026,33.524,30.769,28.464,29.413,24.434,19.518,16.387
1935,13.01,17.793,23.159,26.623,34.003,36.425,31.037,29.043,29.281,25.769,21.154,15.486
1936,13.212,17.761,23.071,29.046,35.645,32.793,30.207,29.022,29.017,26.314,20.958,15.598
