Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,13.501,16.939,23.843,29.669,34.107,36.814,32.172,28.513,28.826,27.451,20.964,16.188
1902,16.494,19.017,26.386,30.79,34.498,34.861,30.01,29.537,28.154,26.014,19.774,14.706
1903,15.457,17.233,23.27,28.999,33.45,36.338,32.148,28.694,28.755,25.041,19.248,14.538
1904,15.267,18.011,23.618,30.637,33.407,34.634,28.506,27.575,27.817,25.846,19.55,15.744
1905,13.815,13.572,21.264,27.507,34.421,36.686,30.678,28.939,29.393,26.252,21.536,15.659
1906,14.6,16.672,22.364,29.971,35.894,34.169,30.045,28.67,27.745,26.039,21.106,16.158
1907,16.524,16.683,21.836,27.865,32.683,35.232,33.025,28.093,29.465,27.007,21.017,14.367
1908,14.205,18.144,23.499,31.276,34.331,35.986,29.185,27.904,28.603,25.677,20.026,14.668
1909,15.71,16.819,24.364,27.964,33.345,32.248,28.728,28.264,27.887,25.823,21.308,14.998
1910,14.415,18.125,24.085,29.446,34.145,33.601,30.354,28.614,28.418,24.75,19.184,15.043
1911,17.11,18.017,22.104,29.707,35.446,34.247,31.275,28.664,27.487,26.233,18.99,14.911
1912,15.705,19.044,23.185,29.84,34.545,36.306,30.796,28.656,27.548,25.846,19.445,14.858
1913,15.296,18.073,22.003,31.106,32.354,32.221,30.443,29.648,29.876,27.545,20.399,15.636
1914,17.029,18.601,23.471,30.221,34.073,34.356,29.723,28.435,28.788,25.579,21.173,15.031
1915,15.288,16.373,23.152,29.335,35.817,35.243,31.535,29.004,29.271,27.37,20.55,15.812
1916,15.544,17.519,26.014,31.228,34.306,32.279,30.272,28.086,28.223,25.431,18.479,14.139
1917,15.353,17.731,23.141,27.169,30.311,33.074,29.306,28.126,27.674,25.112,17.813,15.372
1918,13.97,18.277,23.866,28.379,35.384,33.406,32.754,29.928,29.436,26.769,20.674,14.668
1919,15.41,16.718,24.303,29.336,33.649,35.735,28.897,28.013,28.34,25.421,20.001,14.92
1920,15.006,17.645,24.226,29.79,31.502,33.902,29.078,28.932,30.005,27.792,21.768,16.123
1921,16.306,18.583,26.453,32.405,36.508,34.969,32.288,27.955,27.67,25.457,19.889,17.216
1922,15.078,19.425,25.153,30.686,34.899,33.83,29.713,27.665,27.653,25.513,20.025,14.988
1923,14.958,17.544,24.427,30.637,33.922,37.204,30.667,27.872,28.541,25.122,20.181,15.678
1924,14.366,17.787,25.454,30.769,32.487,36.659,29.597,28.264,27.997,25.33,19.722,15.258
1925,13.364,16.209,23.808,31.17,32.909,31.774,28.105,29.232,28.799,26.442,19.328,14.63
1926,15.129,19.144,22.78,26.834,32.204,36.434,31.005,28.494,27.622,24.665,18.164,14.24
1927,13.251,16.497,22.201,29.142,33.307,34.863,29.746,28.026,28.549,25.837,19.089,16.212
1928,14.754,18.162,24.198,29.437,35.107,34.226,30.014,29.901,29.58,26.759,21.415,15.26
1929,14.901,16.472,25.265,30.599,35.167,34.5,29.733,27.712,29.733,25.88,20.671,14.706
1930,14.741,17.612,24.994,29.622,33.993,34.364,28.804,28.117,28.681,26.555,19.818,15.256
1931,16.738,17.106,23.436,31.371,34.485,35.843,30.949,29.084,28.06,25.089,19.716,15.834
1932,17.475,17.112,24.245,29.495,33.537,36,31.305,28.246,28.507,25.973,19.402,15.172
