Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,13.89,17.19,24.221,29.742,33.992,35.988,30.989,27.318,27.944,27.303,21.141,16.858
1902,17.038,19.521,26.821,30.82,34.382,34.338,29.137,28.619,27.233,25.831,19.85,15.299
1903,16.041,17.674,23.536,29.032,32.949,35.793,31.137,27.674,27.723,24.797,19.398,15.201
1904,15.806,18.35,23.683,30.652,33.265,33.824,27.463,26.582,26.917,25.793,19.834,16.291
1905,14.411,13.99,21.665,27.601,34.571,35.952,29.673,28.091,28.353,26.104,21.789,16.278
1906,14.989,17.041,22.793,30.092,35.735,33.219,28.885,27.869,26.675,25.635,21.322,16.767
1907,16.991,17.091,22.314,27.82,32.405,34.438,31.816,26.959,28.447,26.945,21.326,14.99
1908,14.798,18.599,23.681,31.207,33.999,35.251,28.033,26.834,27.741,25.607,20.247,15.29
1909,15.997,17.518,24.791,27.895,33.195,31.679,27.74,27.256,26.935,25.668,21.485,15.567
1910,15.037,18.646,24.536,29.454,34.004,32.672,29.224,27.592,27.497,24.524,19.249,15.886
1911,17.53,18.558,22.439,29.79,35.288,32.923,30.169,27.578,26.583,26.029,19.25,15.718
1912,16.288,19.498,23.636,29.89,34.414,35.645,29.833,27.626,26.685,25.743,19.55,15.477
1913,15.848,18.4,22.364,31.153,32.236,31.427,29.264,28.382,28.931,27.468,20.707,16.151
1914,17.688,18.892,23.689,30.07,33.875,33.262,28.684,27.471,27.895,25.643,21.56,15.739
1915,15.879,16.74,23.497,29.342,35.378,34.892,30.561,27.919,28.561,27.094,20.832,16.537
1916,16.108,17.816,26.444,31.203,34.17,31.368,29.446,27.161,27.433,25.103,18.701,14.808
1917,15.947,18.049,23.425,27.341,30.362,32.272,28.202,27.1,26.898,24.914,18.185,16.149
1918,14.39,18.799,24.265,28.505,35.236,32.776,31.528,28.633,28.482,26.793,21.101,15.275
1919,15.839,17.306,24.664,29.342,33.272,34.636,27.847,26.829,27.407,25.195,20.299,15.569
1920,15.639,18.098,24.675,29.841,31.195,32.991,28.051,27.776,28.983,27.66,22.022,17.059
1921,16.877,19.069,26.811,32.329,36.042,33.996,31.245,26.935,26.724,25.394,20.167,17.848
1922,15.379,19.946,25.512,30.689,34.548,32.889,28.668,26.709,26.821,25.384,20.151,15.528
1923,15.539,17.998,24.863,30.63,33.513,36.486,29.684,26.7,27.634,24.966,20.447,16.34
1924,14.978,18.348,25.814,30.844,32.396,35.629,28.646,27.299,27.095,25.017,19.713,15.867
1925,13.828,16.817,24.373,31.309,32.464,30.981,27.012,28.136,27.953,26.278,19.558,15.311
1926,15.8,19.621,23.037,26.68,31.954,35.735,29.832,27.426,26.821,24.212,18.167,14.592
1927,13.68,16.595,22.342,28.982,33.178,34.037,28.713,27.008,27.673,25.436,18.939,16.642
1928,15.213,18.526,24.365,29.441,34.705,33.463,28.862,28.696,28.622,26.403,21.515,15.534
1929,15.28,16.815,25.671,30.258,34.674,33.589,28.564,26.621,28.597,25.593,21.062,15.298
1930,15.415,18,25.324,29.42,33.645,33.584,27.666,27.111,27.828,26.517,19.957,16.158
1931,17.438,17.538,23.864,31.492,34.304,35.12,30.009,28.033,27.175,24.639,19.898,16.304
1932,18.111,17.484,24.331,29.394,33.404,35.085,29.889,27.307,27.511,25.844,19.698,16.05
1933,14.165,18.989,24.705,28.248,30.977,32.618,28.712,27.134,26.647,24.86,20.008,15.902
1934,14.5,19.026,23.165,29.716,33.418,32.886,28.464,27.05,26.998,23.888,19.452,16.588
1935,14.004,18.501,24.181,27.182,34.107,34.836,28.712,26.98,27.197,24.933,20.907,16.038
1936,14.082,18.35,24.127,29.307,35.101,31.857,28.359,27.131,27.072,25.283,20.587,15.892
1937,14.499,18.761,22.653,28.394,33.642,34.142,29.008,27.815,27.592,24.92,21.196,15.237
1938,15.63,16.808,25.865,30.906,35.22,30.875,28.727,27.768,28.575,26.108,19.6,15.9
