Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,14.363,17.662,23.661,29.711,34.104,36.755,32.056,28.763,28.259,26.51,20.512,16.3
1902,16.908,18.957,26.51,30.858,34.357,34.962,29.813,29.062,28.113,25.412,19.366,15.355
1903,16.156,17.41,23.712,29.515,34.359,35.356,31.514,28.964,28.617,25.014,19.213,15.354
1904,16.357,18.256,24.363,30.616,33.505,33.804,28.664,27.914,28.065,25.46,19.313,16.704
1905,14.708,14.26,22.065,27.16,33.354,36.212,30.16,28.313,28.613,25.311,20.761,16.154
1906,15.457,17.561,23.26,30.213,35.356,34.061,29.764,28.36,28.268,25.911,20.715,16.954
1907,17.257,17.657,22.461,28.11,33.004,34.652,33.108,28.365,29.562,27.057,20.957,15.207
1908,14.707,18.708,24.161,31.964,35.208,35.56,29.867,28.416,29.016,25.66,20.012,15.654
1909,18.507,16.811,25.304,28.361,34.158,30.559,28.567,28.314,27.97,25.51,20.713,16.307
1910,15.157,18.406,24.411,29.915,33.807,32.71,30.162,28.215,28.565,24.867,18.918,15.404
1911,18.159,17.957,22.513,29.463,35.16,33.055,31.266,28.861,27.516,25.862,19.414,15.205
1912,16.156,19.706,23.564,29.614,34.206,35.108,29.963,28.314,27.965,25.413,19.563,15.355
1913,15.707,18.856,22.36,30.91,32.309,30.757,30.213,29.111,28.862,27.152,19.96,16.451
1914,17.503,19.658,23.81,29.51,33.452,34.208,29.117,28.216,28.612,25.206,20.964,16.305
1915,16.459,17.412,23.214,29.416,35.858,34.159,30.265,28.365,27.966,26.514,20.568,16.253
1916,15.653,18.21,25.712,30.965,34.311,30.462,29.464,27.914,28.113,26.066,18.772,14.656
1917,15.556,18.16,23.211,27.312,30.157,31.91,29.364,28.562,27.815,25.713,18.069,15.953
1918,14.608,18.806,24.711,28.765,34.653,31.104,32.064,28.91,29.062,26.205,20.408,15.603
1919,16.313,16.708,24.51,29.261,33.805,34.55,28.666,28.464,28.412,25.21,20.114,15.905
1920,15.656,18.157,24.411,29.912,31.957,34.165,28.864,28.611,29.459,27.155,21.111,16.203
1921,16.954,18.456,26.461,32.061,36.509,33.807,31.555,27.714,28.014,25.207,19.307,17.799
1922,15.959,19.706,25.161,30.309,35.457,33.4,28.813,27.712,27.911,25.057,20.11,15.902
1923,15.707,18.155,24.508,30.712,34.51,36.305,29.413,28.264,28.664,24.959,20.262,16.755
1924,15.51,18.608,26.31,31.113,33.256,36.51,28.764,28.214,28.162,26.06,20.018,16.055
1925,14.558,17.012,24.059,30.312,32.81,32.211,28.066,29.011,27.968,26.258,19.266,15.058
1926,15.605,19.505,23.362,26.912,32.457,35.861,31.063,28.714,27.616,25.113,18.562,15.559
1927,14.51,17.814,22.764,29.711,33.504,34.462,29.717,28.461,28.918,26.012,19.17,17.057
1928,15.759,18.759,24.764,29.41,35.053,33.155,29.313,29.365,29.316,26.612,21.164,16.707
1929,15.758,17.163,25.161,30.762,35.556,33.811,29.565,27.414,29.713,25.209,19.912,15.358
1930,15.305,17.959,25.161,29.564,34.255,33.91,29.115,28.263,28.265,26.461,19.618,15.704
1931,17.258,17.961,23.911,31.41,34.608,35.606,30.36,29.065,28.367,25.514,19.717,16.856
1932,17.705,17.561,24.765,29.911,33.807,35.16,31.062,28.014,28.567,26.062,19.767,15.953
1933,14.258,19.456,25.011,27.312,31.007,32.308,29.464,28.761,28.317,25.862,19.662,16.106
1934,15.859,18.957,23.664,30.016,34.408,33.216,29.464,28.364,28.368,24.963,20.018,16.955
1935,14.708,18.761,24.51,27.56,35.003,35.109,29.366,27.814,27.815,24.963,20.36,16.156
1936,14.861,18.305,24.51,29.111,34.455,31.556,28.714,28.014,27.914,25.608,20.316,16.657
1937,14.456,18.607,22.911,28.712,33.505,33.262,29.914,27.163,27.865,24.264,20.862,15.301
1938,16.307,16.411,25.712,30.711,34.152,30.864,29.017,28.214,28.464,26.509,19.465,15.703
1939,16.957,18.959,23.412,28.961,35.16,32.661,29.264,27.862,27.765,26.258,19.816,15.755
1940,15.506,17.759,22.712,28.759,34.306,34.509,30.21,28.512,28.313,25.762,21.014,16.107
1941,15.911,18.76,26.46,32.161,34.557,32.504,30.963,29.061,28.914,27.402,20.262,16.754
1942,15.161,19.256,25.159,30.407,35.704,34.959,29.315,28.462,27.965,26.157,21.465,16.507
1943,18.359,18.509,25.66,28.758,35.254,34.608,30.213,27.514,28.665,25.815,21.006,17.206
1944,15.96,18.06,23.063,28.158,35.505,33.509,29.414,28.561,28.568,25.11,21.114,18.004
1945,14.362,18.105,25.11,28.261,33.907,34.559,30.613,29.614,28.464,24.86,19.815,15.055
1946,16.804,20.557,24.41,30.205,33.453,32.362,29.015,28.664,28.963,26.457,20.667,17.907
1947,15.46,19.306,25.957,31.56,34.904,35.31,29.414,28.714,28.664,25.762,21.407,17.004
1948,16.81,18.46,24.061,31.609,35.605,34.86,29.261,28.214,27.966,26.357,20.069,16.255
1949,17.454,19.355,25.108,30.907,34.101,34.808,30.213,28.216,28.664,26.611,18.715,15.452
1950,16.755,17.762,23.563,28.861,34.407,33.548,29.363,28.214,28.464,25.46,19.815,16.408
1951,15.256,18.208,24.113,28.763,33.606,33.96,30.558,28.414,28.217,28.009,21.711,16.454
1952,17.556,21.058,24.409,31.111,35.254,32.762,29.169,27.814,28.661,26.31,20.314,17.151
1953,16.008,20.856,28.108,30.61,34.959,34.008,28.415,27.214,27.965,25.212,19.862,18.353
1954,15.108,20.21,24.763,31.313,35.556,33.855,30.463,28.266,28.265,24.513,20.013,16.754
1955,16.407,18.956,26.51,29.063,34.358,33.509,28.613,28.214,28.065,25.215,19.968,17.204
1956,16.608,18.559,25.412,31.115,35.26,31.06,29.267,28.257,27.413,25.561,19.314,17.506
1957,16.761,17.862,23.613,29.615,34.31,34.311,29.862,28.912,27.868,25.961,21.163,17.803
1958,18.055,19.66,25.864,31.963,35.406,35.91,29.916,28.461,28.365,25.815,21.066,17.657
1959,16.66,18.159,25.659,30.863,34.308,34.709,30.064,28.312,28.465,26.208,20.962,17.251
1960,16.206,21.006,24.51,29.911,34.304,35.306,29.311,28.366,28.615,25.711,19.614,17.505
1961,16.61,17.361,25.859,30.462,34.608,33.558,29.814,28.263,28.068,25.313,19.464,14.097
1962,14.907,19.207,24.611,30.362,34.257,36.855,31.116,27.963,27.364,24.513,20.414,17.204
1963,14.759,20.01,24.462,29.917,32.809,32.462,29.366,28.615,27.867,26.361,22.91,16.805
1964,15.56,18.906,26.407,31.159,32.955,33.959,28.907,28.561,27.715,26.261,20.015,17.401
1965,17.457,19.608,24.107,28.61,33.808,36.109,30.611,29.21,27.913,26.458,21.913,16.704
1966,16.706,21.656,25.46,31.367,34.908,33.565,31.512,28.514,29.112,27.157,22.016,15.957
1967,15.26,20.358,23.366,29.162,33.902,34.963,29.418,27.361,27.718,25.803,20.907,17.605
1968,15.357,17.508,24.158,29.263,33.807,32.611,29.515,28.611,29.813,25.758,21.009,16.902
1969,16.355,20.21,27.46,31.266,32.909,35.311,29.066,27.714,27.813,27.056,22.464,16.754
1970,16.758,18.058,24.06,31.209,34.006,32.158,29.961,28.664,27.365,26.409,20.364,16.903
1971,15.506,18.204,23.577,28.956,31.208,30.514,27.916,27.064,28.115,25.561,20.071,16.805
