Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,13.885,17.096,23.564,29.311,33.689,35.866,30.896,27.387,27.716,26.673,20.569,16.547
1902,16.893,19.127,26.335,30.415,34.01,34.25,28.995,28.41,27.193,25.35,19.268,15.195
1903,15.998,17.399,23.14,28.786,33.037,35.32,30.898,27.763,27.614,24.441,18.952,15.186
1904,15.883,18.106,23.413,30.212,32.989,33.419,27.479,26.663,26.975,25.347,19.338,16.308
1905,14.47,13.907,21.412,27.027,33.923,35.682,29.434,27.824,28.033,25.473,21.085,16.125
1906,14.986,16.986,22.518,29.703,35.236,33.174,28.804,27.701,26.863,25.328,20.78,16.699
1907,16.907,17.087,21.938,27.496,32.269,34.113,31.803,26.986,28.48,26.63,20.986,14.993
1908,14.693,18.474,23.332,31,34.051,34.983,28.243,26.981,27.876,25.323,19.909,15.299
1909,16.71,17.126,24.517,27.595,33.232,30.874,27.609,27.263,26.97,25.256,20.867,15.684
1910,14.992,18.397,24.063,29.187,33.607,32.229,29.118,27.417,27.505,24.245,18.747,15.636
1911,17.657,18.213,22.04,29.232,34.906,32.446,30.088,27.576,26.506,25.562,19.014,15.503
1912,16.195,19.373,23.161,29.407,34.005,35.123,29.449,27.488,26.776,25.256,19.223,15.322
1913,15.695,18.295,21.935,30.698,31.91,30.76,29.118,28.139,28.549,27.048,20.155,16.107
1914,17.514,18.97,23.249,29.445,33.328,33.187,28.429,27.381,27.801,25.24,21.057,15.869
1915,15.974,16.691,22.965,28.911,35.112,34.327,30.045,27.625,28.048,26.485,20.429,16.315
1916,15.817,17.694,25.773,30.641,33.89,30.568,29.111,27.079,27.391,25.009,18.345,14.624
1917,15.718,17.816,22.872,26.994,29.998,31.736,28.187,27.246,26.897,24.82,17.835,16.014
1918,14.308,18.603,24.018,28.208,34.722,31.797,31.222,28.234,28.303,26.269,20.617,15.299
1919,15.886,16.918,24.171,28.911,33.083,34.131,27.704,26.956,27.406,24.835,19.936,15.6
1920,15.586,17.973,24.162,29.482,31.076,32.98,27.904,27.609,28.804,27.156,21.434,16.752
1921,16.798,18.646,26.264,31.748,35.779,33.458,30.928,26.792,26.855,25.025,19.555,17.794
1922,15.464,19.698,24.966,30.206,34.475,32.604,28.329,26.685,26.876,24.947,19.818,15.506
1923,15.497,17.874,24.362,30.212,33.458,36.028,29.223,26.785,27.671,24.627,20.109,16.47
1924,15.073,18.272,25.516,30.573,32.363,35.483,28.316,27.215,27.106,25,19.436,15.799
1925,13.96,16.763,23.92,30.544,32.179,31.042,26.983,28.002,27.613,25.927,19.139,15.115
1926,15.616,19.402,22.654,26.298,31.774,35.404,29.801,27.478,26.791,24.039,17.908,14.704
