Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,13.321,16.711,23.686,29.417,33.995,37.179,33.491,29.717,30.275,28.407,21.625,16.378
1902,16.272,18.91,25.894,30.463,34.489,34.846,31.034,30.655,29.348,26.756,20.58,14.905
1903,15.071,16.998,22.79,28.675,33.455,36.766,33.544,29.669,30.188,25.875,19.895,14.663
1904,14.69,18.016,23.299,30.611,33.295,35.402,29.759,28.524,28.909,26.525,19.994,15.701
1905,13.181,13.31,20.416,27.298,34.422,37.067,32.034,30.109,30.969,27.207,22.271,15.953
1906,14.268,16.163,21.569,29.617,36.072,34.525,31.441,29.714,28.864,26.965,21.74,16.348
1907,16.38,16.118,20.958,27.56,32.55,35.721,34.251,29.224,30.691,27.444,21.35,14.409
1908,13.926,17.772,23.156,30.929,34.064,36.421,30.222,28.828,29.513,26.188,20.389,14.709
1909,14.833,16.459,23.682,27.668,32.965,33.097,29.963,29.321,29.052,26.679,21.975,14.966
1910,14.041,17.76,23.562,29.074,34.285,34.457,31.647,29.807,29.552,25.383,19.98,14.999
1911,16.578,17.91,21.551,29.552,35.585,35.72,32.684,29.944,28.648,27.064,19.158,14.9
1912,15.316,18.575,22.663,29.698,34.631,36.851,32.233,29.811,28.412,26.571,19.89,15.089
1913,15.164,17.562,21.451,30.902,32.292,33.194,31.841,31.241,31.418,28.118,20.782,15.686
1914,16.675,18.114,23.144,30.476,34.316,34.972,31.234,29.566,29.995,25.924,21.496,14.816
1915,14.956,16.026,22.747,29.113,36.081,35.569,33.171,30.487,30.86,28.446,21.002,16.112
1916,15.406,17.264,25.892,31.253,34.25,33.627,31.536,29.123,29.296,26.039,18.955,14.252
1917,15.113,17.65,22.844,26.662,30.046,33.999,30.507,29.082,28.616,25.448,18.171,15.396
1918,13.822,17.829,23.22,27.877,35.666,34.525,34.62,31.664,30.833,27.374,20.939,14.6
1919,15.083,16.456,23.849,29.002,33.63,36.834,30.302,29.121,29.494,26.126,20.347,14.855
1920,14.941,17.163,23.643,29.517,31.446,34.24,30.402,30.305,31.418,28.456,22.374,16.155
1921,15.863,18.603,26.203,32.492,36.879,35.981,33.82,29.205,28.713,26.017,20.529,17.239
1922,14.763,19.059,24.901,30.596,34.901,34.479,31.056,28.628,28.613,26.173,20.448,15.039
1923,14.625,17.062,24.002,30.565,33.997,37.805,32.218,29.024,29.651,25.767,20.548,15.458
1924,13.736,17.233,24.816,30.375,32.056,37.326,30.99,29.269,29.055,25.897,20.298,15.448
1925,12.886,15.589,23.166,31.233,33.278,31.952,29.36,30.451,30.275,27.113,19.793,14.944
1926,14.931,18.814,22.251,26.794,32.145,36.879,32.206,29.47,28.71,25.477,18.641,14.46
1927,12.841,16.169,22.049,28.965,33.15,35.375,30.933,28.927,29.412,26.619,19.977,16.547
1928,14.429,17.911,23.806,29.357,35.381,34.959,31.722,31.592,31.041,27.622,21.933,15.406
1929,14.568,16.226,25.041,30.692,35.243,35.257,30.816,28.963,31.037,26.849,21.231,14.905
1930,14.318,17.353,24.701,29.745,34.138,34.821,29.963,29.263,30.091,26.978,20.428,15.254
1931,16.275,16.563,22.866,31.07,34.45,36.181,32.237,30.266,29.016,25.876,20.244,16.184
1932,17.117,16.853,23.996,29.268,33.349,36.756,32.883,29.366,29.69,26.487,19.813,14.918
1933,12.593,17.882,23.96,27.801,31.331,34.013,30.61,28.942,28.571,25.644,20.202,15.308
1934,13.544,18.222,22.124,29.229,33.56,33.782,30.944,28.928,29.396,24.314,19.616,16.24
1935,13.174,18.108,23.459,27.014,34.401,36.711,31.287,29.205,29.394,25.629,21.21,15.384
1936,13.286,17.745,23.459,29.295,35.558,33.005,30.352,29.208,29.133,26.172,21.204,15.745
1937,13.571,18.199,21.763,28.261,33.93,35.883,31.683,30.567,29.875,26.052,21.246,14.596
1938,14.436,16.156,25.144,30.895,35.796,33.381,31.668,29.955,30.679,27.365,19.692,15.107
1939,15.775,18.203,21.467,28.417,35.481,33.917,31.221,30.971,29.286,27.368,20.148,15.35
1940,14.67,16.914,21.793,28.218,34.728,36.055,32.569,29.321,29.394,26.622,21.927,15.339
1941,14.233,18.407,25.795,32.199,35.465,34.362,33.806,31.083,30.637,29.291,21.386,17.036
1942,13.487,18.946,25.234,31.179,35.431,36.56,30.799,29.124,28.613,26.387,21.941,15.157
1943,15.933,17.758,24.464,28.164,34.369,34.93,31.502,28.621,29.751,26.381,21.7,16.787
1944,14.278,17.399,22.202,28.399,35.496,34.175,31.274,30.344,29.89,25.919,21.644,17.008
1945,13.114,17.209,24.548,28.737,34.182,35.914,32.045,30.324,29.303,25.821,20.876,14.451
1946,15.398,19.767,23.505,31.271,34.361,34.789,31.273,29.859,30.248,27.268,21.031,16.512
1947,13.583,19.285,25.187,31.347,35.128,36.415,31.825,30.109,29.406,25.202,21.888,16.197
1948,15.083,17.365,22.37,31.172,35.588,36.989,31.731,29.608,29.448,27.214,20.483,16.158
1949,16.329,18.556,24.305,30.998,35.258,35.968,31.506,29.708,29.991,26.638,19.544,14.643
1950,15.768,16.571,22.362,28.571,34.589,35.647,31.29,29.605,29.131,26.084,20.099,14.289
1951,13.729,17.229,23.166,27.536,34.185,35.078,32.932,29.963,29.398,29.549,22.433,15.803
1952,16.087,20.449,23.668,31.495,35.334,33.243,30.931,29.159,30.533,27.325,20.947,16.155
1953,13.447,18.99,26.864,30.952,35.809,36.69,31.853,29.451,29.597,26.564,20.247,17.493
1954,13.232,19.398,23.914,30.868,35.985,36.241,31.994,30.287,29.342,24.641,21.235,15.064
1955,14.336,17.984,25.845,28.46,33.75,35.795,31.571,29.269,29.594,25.376,20.196,15.865
1956,15.032,18.168,24.166,30.668,35.581,34.612,29.963,29.453,30.112,25.641,19.892,16.205
1957,14.533,17.064,22.738,29.014,33.216,34.44,31.348,30.409,28.707,26.529,22.135,16.659
1958,17.016,19.249,25.198,32.095,34.846,35.839,31.047,29.569,29.16,26.373,21.21,17.432
1959,15.324,17.988,25.201,30.371,33.9,35.714,30.809,29.759,29.945,27.504,21.389,17.229
1960,14.968,21.196,24.09,29.463,34.206,36.221,31.29,29.414,29.893,26.181,20.34,16.613
1961,15.426,16.453,24.223,29.187,34.045,34.132,30.658,28.881,29.499,25.818,20.033,13.403
1962,14.162,18.604,23.452,30.392,33.9,36.001,32.102,29.843,28.848,25.173,21.347,16.84
1963,14.457,19.901,24.035,29.437,33.275,34.589,32.213,29.176,28.606,27.361,23.375,16.294
1964,14.129,18.111,25.799,30.917,32.496,35.272,30.113,30.302,28.894,26.598,20.205,16.694
1965,17.145,18.26,23.291,28.118,33.301,36.725,31.512,30.358,29.241,27.074,22.289,16.098
1966,16.107,20.949,23.947,30.319,34.295,33.602,32.755,29.321,29.861,27.82,22,15.55
1967,13.986,20.057,22.937,29.45,34.091,35.329,30.61,27.931,27.879,26.043,21.188,16.639
1968,14.074,16.52,23.422,29.206,33.251,34.892,29.731,28.885,29.924,25.99,21.107,16.442
1969,15.367,19.025,26.749,30.24,32.988,36.502,30.363,28.959,28.752,27.248,22.157,16.197
1970,15.614,17.174,23.258,31.505,34.295,32.978,31.933,29.762,29.012,26.926,20.844,16.691
1971,14.196,18.118,23.669,30.1,32.129,31.329,29.124,27.783,28.538,26.046,20.834,16.341
1972,15.14,16.111,24.599,29.644,35.198,35.738,32.57,28.722,27.883,26.013,21.783,16.544
1973,15.36,19.346,23.831,32.084,35.4,34.913,31.434,28.803,29.055,26.191,20.677,14.762
1974,14.271,17.241,25.333,32.044,34.44,34.839,30.343,28.857,29.81,27.445,20.931,15.283
1975,14.27,17.487,23.829,31.964,35.64,33.539,30.48,28.87,28.021,27.151,20.173,16.429
1976,16.172,18.798,24.032,29.432,33.478,32.662,31.034,27.975,28.45,27.315,22.348,16.612
1977,14.993,18.639,25.634,29.585,32.231,33.966,29.186,28.978,27.828,27.063,23.508,17.45
1978,15.011,17.356,21.981,29.699,36.415,33.744,29.686,28.039,28.103,26.652,22.207,16.326
1979,15.836,16.571,22.434,30.453,30.193,34.46,30.918,30.243,30.501,28.338,23.046,16.946
1980,15.119,19.243,23.505,31.894,35.487,33.009,29.119,29.014,29.01,27.669,21.603,16.406
1981,15.55,18.853,23.092,30.336,33.975,35.108,29.691,29.488,29.593,26.787,20.501,15.947
1982,15.719,16.695,21.395,29.13,32.094,34.328,32.613,29.246,28.83,27.237,21.607,16.894
1983,14.158,16.868,23.112,27.365,32.401,34.005,30.96,29.424,28.974,25.991,20.142,16.108
1984,15.151,15.911,24.989,30.647,36.149,34.489,30.479,29.107,28.094,26.288,20.548,16.701
1985,14.933,18.287,25.706,30.766,35.459,35.288,30.457,29.228,28.085,24.893,21.408,17.454
1986,15.043,17.387,23.839,30.282,32.718,34.693,29.915,30.155,29.843,26.348,21.946,15.465
1987,15.255,19.699,24.788,30.934,32.3,36.597,33.807,31.168,31.194,27.813,21.454,16.002
1988,16.497,19.498,24.48,31.446,36.119,33.933,30.405,29.366,30.126,26.576,21.337,16.581
1989,14.025,17.52,23.306,28.985,34.914,33.123,30.346,29.162,29.497,26.556,20.36,15.698
1990,16.474,18.118,22.222,30.206,33.344,34.687,30.045,29.772,28.678,26.378,21.644,16.243
1991,13.86,18.932,23.999,28.933,34.661,35.122,33.065,29.205,29.879,26.032,20.403,15.646
1992,15.103,17.297,23.9,30.023,33.646,35.582,31.815,29.512,28.665,26.183,21.119,16.221
1993,15.409,19.439,21.56,28.87,34.909,35.231,31.764,30.605,28.435,26.639,22.046,16.309
1994,16.939,17.907,24.908,28.662,34.895,35.11,30.685,29.443,29.048,26.176,21.383,16.794
1995,14.222,18.458,22.859,30.116,35.757,36.262,31.99,29.066,29.541,27.622,21.56,16.964
1996,14.478,18.213,24.701,30.095,34.561,33.936,31.143,28.672,29.361,26.657,20.709,15.242
1997,14.094,17.456,23.511,28.315,32.405,33.947,32.373,29.366,29.139,25.139,20.654,14.875
1998,13.917,18.768,21.906,30.449,35.092,34.878,31.034,29.576,29.703,27.293,22.472,16.216
1999,14.182,18.919,24.595,31.553,34.327,33.956,31.689,30.096,29.241,27.083,22.666,16.466
2000,14.981,17.426,23.405,31.659,34.611,33.017,30.607,30.012,28.964,27.543,23.627,16.5
2001,14.08,18.766,23.863,29.638,33.53,32.53,30.937,30.367,30.201,27.778,22.154,16.749
2002,15.186,17.288,24.705,31.299,35.192,34.718,33.647,30.16,28.369,27.181,21.797,16.802
