Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,13.33,16.16,23.682,28.783,33.382,36.328,32.974,29.47,30.125,28.583,21.657,16.889
1902,16.358,18.638,25.781,30.057,33.857,33.95,30.823,30.669,29.001,26.858,20.781,15.213
1903,15.161,16.79,22.303,27.857,32.76,36.377,33.118,29.369,29.898,26.128,19.857,14.839
1904,14.588,17.712,22.829,30.057,32.984,34.822,29.545,28.265,28.624,26.558,20.084,15.909
1905,13.234,12.761,19.982,26.86,34.433,36.175,31.973,29.996,30.901,27.53,22.511,16.263
1906,14.135,15.583,21.311,28.804,35.655,33.904,31.243,29.602,28.527,27.184,21.807,16.661
1907,16.563,15.613,20.734,26.911,31.857,34.955,33.698,28.895,30.119,27.254,21.307,14.661
1908,14.264,17.412,22.852,30.032,33.283,35.572,29.52,28.171,28.902,26.106,20.261,15.062
1909,14.162,16.239,23.204,27.16,32.331,33.057,29.321,28.745,28.476,26.683,22.157,14.936
1910,14.038,17.439,23.258,28.132,33.931,33.952,30.97,29.371,29.202,25.357,19.931,15.439
1911,16.56,17.739,21.282,29.007,35.08,35.05,32.846,30.521,28.478,27.08,18.988,15.414
1912,15.51,18.362,22.402,29.307,34.153,36.402,31.795,29.371,27.927,26.677,19.858,15.485
1913,15.435,17.238,21.133,30.408,31.861,32.728,30.946,30.845,30.975,28.131,20.884,15.833
1914,16.913,17.237,22.829,29.931,34.212,34.079,30.748,29.296,29.579,25.859,21.484,14.836
1915,14.684,15.49,22.779,28.707,35.678,35.103,33.25,30.47,30.98,28.507,20.98,16.462
1916,15.735,16.633,25.702,30.678,33.557,33.375,31.077,28.57,28.853,25.701,18.731,14.609
1917,15.388,17.386,22.779,26.057,29.611,33.349,29.718,28.344,27.853,24.954,17.881,15.635
1918,13.908,17.587,22.858,27.035,35.353,34.401,34.068,31.492,30.3,27.404,20.858,14.81
1919,15.035,16.29,23.651,28.505,33.005,36.495,30.076,28.57,28.95,26.206,20.158,15.01
1920,14.735,16.712,23.506,28.781,30.455,32.969,29.942,29.918,31.176,28.354,22.305,16.307
1921,15.93,18.26,26.051,32.052,36.122,35.825,33.499,28.996,28.375,26.003,20.735,17.562
1922,14.86,18.762,24.576,30.005,33.978,33.875,31.147,28.496,28.227,26.081,20.357,15.387
1923,14.661,16.716,23.904,29.931,33.105,36.923,31.821,28.496,29.275,25.833,20.331,15.635
1924,13.757,16.816,24.407,29.731,31.157,36.322,31.05,28.918,28.2,25.453,19.978,15.609
1925,12.835,14.99,23.18,31.03,32.927,30.974,28.847,30.173,30.354,27.182,19.784,15.365
1926,15.084,18.691,22.055,26.256,31.483,36.101,31.77,28.97,28.175,25.507,18.535,14.657
1927,12.886,15.46,21.778,28.256,32.583,34.753,30.573,28.419,28.698,26.632,20.004,16.736
1928,14.464,17.689,23.631,28.93,35.057,34.626,31.522,31.14,30.324,27.554,21.731,15.361
1929,14.607,15.811,25.181,30.128,34.429,34.674,30.521,28.697,30.524,26.958,21.358,14.887
1930,14.339,17.035,24.328,28.927,33.378,33.898,29.27,28.993,29.784,26.955,20.309,15.462
1931,16.188,15.886,22.408,30.48,33.857,35.501,31.671,29.57,28.652,25.803,20.11,16.192
1932,17.071,16.565,23.98,28.854,32.709,36.148,31.897,28.572,29.208,26.552,19.731,15.238
1933,12.71,17.64,23.532,27.531,30.757,33.35,29.777,27.924,27.805,25.38,20.084,15.736
1934,13.261,18.189,21.981,28.633,32.779,33.227,30.47,28.2,29.175,24.724,19.704,16.536
1935,13.111,17.686,23.082,26.458,33.78,35.849,30.574,28.824,28.779,25.705,21.156,15.658
1936,13.411,17.686,22.855,28.854,35.43,32.43,29.977,28.747,28.706,26.257,20.907,15.736
1937,13.783,17.889,21.558,27.759,33.584,35.28,30.693,30.618,29.499,26.107,20.938,14.737
1938,14.185,15.938,24.859,30.304,35.757,33.022,31.575,30.047,30.724,27.629,19.51,15.314
1939,15.714,17.862,20.855,27.803,35.028,33.153,30.996,31.226,29.453,27.533,20.184,15.914
1940,14.964,16.735,21.654,27.859,34.53,35.373,31.999,28.524,28.85,26.656,21.708,15.635
1941,13.985,18.238,25.555,31.776,35.074,33.555,33.443,30.601,30.004,29.408,21.234,17.167
1942,13.461,18.609,25.029,31.033,34.807,35.852,29.849,28.171,27.828,26.18,21.609,14.936
1943,15.462,17.389,24.204,27.783,33.711,34.003,30.425,28.047,29.227,26.18,21.431,16.936
1944,14.139,17.139,22.108,28.157,34.954,33.501,30.325,29.67,29.151,25.68,21.355,16.936
1945,12.81,16.636,24.304,28.358,33.434,35.318,30.969,29.667,28.406,25.777,20.705,14.41
1946,15.284,19.166,23.059,31.086,33.983,34.301,30.624,29.144,29.271,27.08,20.556,15.891
1947,13.708,18.337,24.705,30.678,34.53,36.147,32.121,29.743,28.65,25.153,21.805,16.142
1948,14.515,16.887,22.134,31.124,35.184,36.202,31.27,28.776,29.128,27.406,20.258,16.189
1949,16.56,18.113,24.005,30.734,35.264,35.348,30.851,29.143,29.467,26.484,19.535,15.159
1950,16.061,15.916,22.28,28.076,34.257,35.371,30.574,28.873,28.398,26.033,19.754,14.359
1951,13.957,16.96,22.928,26.854,33.378,34.346,32.694,29.443,28.977,29.654,22.435,16.187
1952,16.165,19.711,23.483,31.479,35.118,33.495,30.684,28.444,30.026,27.255,20.934,16.51
1953,13.708,18.701,26.725,30.939,35.389,35.573,31.229,28.853,29.13,26.757,20.254,18.362
1954,13.537,18.944,23.635,30.389,35.635,35.629,31.395,29.714,28.889,24.487,21.313,15.703
1955,14.657,17.782,25.3,27.678,33.091,35.399,31.67,28.752,29.284,25.465,20.108,16.34
1956,14.834,17.403,23.602,30.128,35.33,34.521,29.387,28.85,29.923,25.435,19.609,16.383
1957,14.183,15.984,22.079,28.132,32.737,33.674,30.665,29.675,27.873,26.507,21.862,16.61
1958,17.192,17.998,24.886,31.531,34.138,35.653,30.422,28.644,28.55,26.507,20.934,17.54
1959,14.89,17.16,24.51,29.63,33.207,35.18,30.317,29.118,29.297,27.528,21.261,17.291
1960,14.815,20.388,23.181,28.609,34.161,35.445,30.825,28.544,29.575,26.08,20.131,16.63
1961,15.123,16.186,23.855,28.883,33.787,34.101,30.851,28.422,29.249,25.806,19.811,13.539
1962,13.811,18.39,23.508,30.455,33.747,35.168,32.165,29.611,28.192,25.08,21.153,16.663
1963,14.165,19.968,23.988,29.266,33.042,34.556,32.624,28.667,28.13,27.682,23.314,16.088
1964,13.565,17.716,25.704,30.736,32.235,34.851,30.025,29.819,28.154,26.359,19.758,16.537
1965,16.961,17.641,23.111,27.888,32.913,36.204,31.274,29.927,28.778,27.136,22.187,15.687
1966,15.911,20.469,23.708,29.986,33.836,33.026,32.923,28.918,29.148,27.705,21.608,15.556
1967,13.881,19.936,22.752,28.854,33.701,35.018,30.82,27.989,27.996,26.428,21.281,16.811
1968,14.109,16.086,23.075,28.757,33.054,35.033,29.846,29.187,30.076,26.501,21.202,16.557
1969,15.435,18.409,26.255,30.404,32.502,36.653,30.595,29.217,28.197,27.88,22.41,16.485
1970,15.586,16.836,22.929,30.625,33.931,32.802,32.071,29.696,29.095,27.103,20.858,16.807
1971,13.862,17.83,23.335,30.283,31.906,31.575,29.298,27.751,28.128,26.003,20.931,16.228
1972,15.281,15.485,24.225,28.904,34.762,35.67,32.247,28.901,27.582,26.261,21.805,16.932
1973,15.322,19.283,23.502,31.487,34.861,35.074,31.689,28.026,29.497,25.74,20.411,14.684
1974,14.378,16.536,25.132,31.279,33.709,33.858,30.224,28.979,30.028,27.276,20.633,15.403
1975,14.176,16.679,23.359,31.48,34.759,32.7,30.053,28.499,27.65,26.525,19.657,16.637
1976,16.06,18.406,23.06,28.361,32.374,31.832,29.512,27.828,28.57,27.357,21.657,15.935
1977,14.507,17.813,25.11,28.904,30.937,32.339,28.176,28.604,27.35,26.442,22.138,17.136
1978,14.434,15.79,21.082,28.763,36.127,32.953,29.218,27.45,27.957,25.982,20.959,15.585
1979,15.075,16.479,21.331,29.347,29.036,33.699,29.405,29.592,28.409,28.079,22.63,16.655
1980,14.78,18.934,23.078,31.275,33.743,32.495,28.525,28.006,28.653,27.561,21.054,15.886
1981,15.402,18.533,22.782,29.226,32.632,33.138,28.103,28.694,29.129,26.309,19.881,15.582
1982,15.007,16.257,20.805,27.907,30.229,33.403,31.968,28.15,29.472,26.877,21.299,16.38
1983,13.781,16.356,22.627,26.379,32.074,33.197,30.718,28.797,29.051,26.222,19.256,15.63
1984,14.031,15.608,23.761,30.303,36.295,34.345,29.748,28.924,27.874,24.99,19.908,16.208
1985,13.886,18.025,25.723,30.376,35.054,34.501,29.848,28.918,27.879,24.06,20.286,16.312
1986,15.078,16.905,23.778,29.634,32.209,34.249,30.39,29.893,29.781,26.503,23.17,15.798
1987,15.777,19.232,24.652,30.78,30.885,36.015,34.342,30.695,31.178,28.18,21.402,16.006
1988,16.629,19.286,23.756,30.831,35.884,33.478,29.824,28.846,29.654,26.457,21.298,16.63
1989,14.079,17.083,23.054,28.157,34.402,33.273,29.874,29.418,29.075,26.461,21.132,15.681
1990,16.678,17.73,22.105,29.461,33.08,34.348,29.895,29.344,28.372,26.18,21.553,16.678
1991,14.482,18.383,23.557,28.531,33.757,34.307,32.92,28.97,29.672,26.006,20.58,15.581
1992,15.075,17.029,23.375,29.234,33.207,35.627,31.348,29.093,28.074,26.354,20.636,16.53
1993,15.577,19.183,21.807,29.079,34.731,34.396,30.796,30.365,27.654,26.564,22.009,16.261
1994,17.103,17.46,24.804,27.857,34.26,34.5,30.094,28.998,28.449,26.107,21.133,16.831
1995,14.157,17.855,22.302,29.056,34.53,35.749,31.569,28.468,29.128,27.511,21.128,16.684
1996,14.26,17.782,24.383,29.431,33.204,32.678,30.52,28.122,28.502,26.724,20.332,15.083
1997,13.938,17.312,23.182,27.63,31.479,32.152,31.072,28.947,29.001,24.778,20.38,13.886
1998,14.261,17.888,21.58,29.93,34.679,33.954,30.871,29.252,29.429,26.834,21.534,16.189
1999,14.384,18.159,24.529,31.26,34.056,33.578,31.496,29.969,28.898,26.73,22.059,16.284
2000,15.213,16.338,23.132,31.357,34.454,32.555,29.921,29.699,29.277,27.408,22.536,16.862
2001,14.31,18.511,23.804,29.578,33.156,31.651,30.616,30.171,30.055,27.833,22.059,17.26
2002,15.058,17.81,24.529,31.206,34.682,33.981,33.075,29.87,27.835,27.33,21.71,17.438
