Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,12.665,15.215,22.453,27.755,31.882,35.234,32.48,30.213,30.045,27.765,21.092,15.628
1902,15.491,17.945,24.218,28.686,32.484,33.039,30.831,30.983,29.189,25.92,20.191,14.588
1903,14.049,15.814,20.854,27.1,31.779,35.178,32.903,30,30.174,26.056,19.874,14.617
1904,13.603,17.173,21.668,29.12,31.678,33.948,30.325,29.397,28.98,26.17,19.425,15.104
1905,11.992,12.134,18.449,25.49,33.054,34.806,31.81,30.598,30.594,26.847,21.311,15.257
1906,12.995,14.439,20.073,28.033,34.369,33.097,31.598,29.486,28.911,26.631,21.442,16.09
1907,15.819,14.194,18.718,25.491,30.645,33.737,32.964,29.57,30.674,27.2,20.691,14.45
1908,14.017,16.885,22.15,29.394,32.189,34.911,30.159,28.516,29.243,26.054,19.595,14.517
1909,13.192,15.344,22.624,26.482,31.933,32,29.752,29.361,29.115,26.711,21.251,14.667
1910,13.833,16.411,22.329,27.501,32.679,32.933,30.497,29.531,29.375,25.146,19.396,14.57
1911,15.031,16.955,19.835,27.964,33.877,33.557,32.865,31.065,29.106,26.538,18.283,14.536
1912,14.285,17.487,21.676,27.837,32.719,34.905,31.439,29.542,28.324,26.271,19.061,14.571
1913,14.632,15.769,19.7,29.243,30.631,31.522,30.697,30.714,30.667,27.008,19.645,14.288
1914,15.825,15.776,21.283,28.086,32.254,32.934,30.471,29.87,29.356,24.674,20.412,14.307
1915,14.109,14.894,21.912,28.135,34.514,33.78,32.805,30.894,30.481,27.948,20.713,15.446
1916,14.832,15.989,25.145,29.863,32.611,32.612,30.646,29.357,29.075,25.872,19.062,14.077
1917,14.324,16.681,21.61,24.953,28.176,32.433,29.918,29.089,27.811,24.781,18.438,14.743
1918,13.388,17.004,21.883,26.035,34.099,33.097,33.443,31.347,30.315,26.751,19.961,13.976
1919,13.833,15.629,22.405,27.123,31.494,35.246,30.282,29.371,29.306,26.019,19.594,14.102
1920,14.594,15.395,21.592,27.934,29.226,32.499,30.245,30.356,30.716,27.421,21.407,16.102
1921,14.641,17.633,25.293,31.187,35.554,34.294,32.533,29.42,28.622,25.255,20.026,16.262
1922,13.329,17.67,23.928,28.942,33.31,33.02,30.968,29.348,28.389,25.493,19.727,14.16
1923,14.095,15.295,22.772,29.296,32.056,35.769,31.175,28.917,29.296,25.23,19.806,14.855
1924,13.096,16.113,23.425,29.079,29.618,35.713,31.239,29.504,28.146,25.546,19.639,15.281
1925,12.132,14.89,22.56,30.162,32.222,30.792,29.208,29.922,29.891,26.128,18.775,14.691
1926,14.288,17.589,20.607,24.989,30.012,35.2,31.472,29.138,28.747,25.331,17.936,14.45
1927,12.726,14.414,20.991,27.32,31.028,33.789,30.422,28.806,29.126,25.905,19.578,15.89
1928,13.26,16.826,22.279,27.842,33.891,33.534,31.371,31.261,30.313,27.017,20.598,14.558
1929,13.738,15.253,24.213,29.098,33.545,33.582,30.763,29.108,30.328,26.131,20.513,13.424
1930,12.908,16.078,23.179,27.887,32.375,32.835,29.443,29.668,29.163,25.985,19.52,14.876
1931,15.194,14.55,21.298,29.605,32.43,34.785,31.251,29.97,28.589,25.595,19.272,15.285
1932,15.476,15.405,23.249,28.404,31.296,35.283,31.301,28.839,28.912,26.169,19.939,14.501
1933,12.202,16.808,22.265,26.564,29.261,32.455,29.481,28.104,27.941,25.183,19.437,15.586
1934,12.23,18.107,21.228,28.265,31.697,32.657,30.422,28.337,29.838,25.823,19.887,15.121
