Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,14.811,17.945,23.489,29.421,33.227,35.408,30.642,28.043,27.472,26.149,20.262,15.983
1902,16.989,18.841,26.55,30.395,34.155,34.665,29.248,28.655,27.642,25.334,19.419,15.386
1903,16.495,17.622,23.99,29.801,33.663,34.254,30.561,28.582,28.34,25.151,19.006,15.13
1904,16.454,18.234,24.42,30.739,32.988,32.385,27.983,27.443,27.642,25.292,19.225,16.767
1905,15.108,14.804,22.58,27.095,33.048,35.915,29.23,27.934,27.863,25.043,20.382,16.118
1906,15.654,18.151,23.27,30.03,34.871,33.332,29.138,27.943,27.961,25.651,20.571,16.814
1907,17.096,17.699,22.626,27.717,32.295,33.097,31.549,27.863,28.712,26.489,20.513,15.126
1908,14.684,18.831,23.964,31.721,34.668,34.693,29.339,28.102,28.616,25.32,19.598,15.399
1909,18.446,17.563,24.591,28.02,33.714,29.894,28.089,27.882,27.705,25.082,20.515,16.6
1910,15.414,18.451,24.44,30.032,33.473,31.766,29.332,27.816,28.144,25.138,19.163,15.477
1911,18.59,17.95,22.878,29.532,34.706,31.554,30.698,27.929,27.299,25.701,19.914,15.239
1912,16.321,19.744,23.949,29.632,33.712,34.487,29.347,27.828,27.569,25.378,19.607,15.313
1913,15.87,18.893,22.433,30.624,31.93,29.693,29.242,28.202,28.106,26.171,19.612,16.214
1914,17.154,19.745,23.681,29.026,32.531,32.964,28.692,27.973,28.003,24.856,21.091,16.324
1915,16.678,18.063,23.596,29.683,35.245,33.691,29.795,28.153,27.63,26.516,21.059,16.021
1916,15.463,18.728,25.58,31.048,34.074,29.816,28.911,27.576,27.777,26.086,19.53,14.622
1917,15.82,18.441,23.361,27.566,29.888,31.028,28.713,27.903,27.514,25.721,18.472,15.966
1918,14.857,18.833,24.628,28.858,33.822,29.854,30.981,27.898,28.199,25.345,19.962,15.574
1919,17.502,17.288,24.632,29.038,32.887,32.667,28.121,27.876,27.776,24.958,20.265,15.826
1920,15.8,18.517,24.569,29.759,31.49,33.831,28.295,27.992,28.533,26.549,20.827,16.043
1921,17.063,18.309,26.458,31.686,36.047,32.719,30.268,27.138,27.537,24.863,18.82,17.381
1922,16.14,19.553,25,29.903,34.75,31.442,27.95,27.086,27.112,24.27,19.582,15.596
1923,15.879,18.274,23.937,30.514,34.221,35.425,28.664,27.533,28.109,24.563,19.946,16.912
1924,15.96,18.88,26.129,30.961,32.934,35.545,28.121,27.816,27.626,25.699,20.026,16.074
1925,14.825,17.383,23.986,30.254,32.346,31.493,27.494,28.286,27.696,25.837,19.722,15.342
1926,15.953,19.539,23.523,26.864,31.75,35.24,30.135,28.165,27.237,24.874,18.346,15.622
1927,15.335,18.35,22.717,29.394,32.791,33.83,29.145,27.821,28.58,25.714,19.493,17.078
1928,16.261,18.877,24.878,29.006,34.13,31.931,28.523,28.577,28.688,26.519,21.02,16.847
1929,16.107,17.464,25.073,30.495,34.843,33.054,28.716,27.001,28.978,24.9,19.847,15.534
1930,15.579,18.024,25,29.321,33.184,33.315,28.353,27.616,27.998,26.305,19.829,15.74
1931,17.685,18.393,23.904,30.982,34.2,34.428,29.328,28.401,28.134,25.546,19.883,16.761
1932,17.707,17.914,24.724,29.673,33.202,34.492,29.825,27.791,28.204,25.911,20.044,15.966
1933,14.821,19.512,24.95,27.359,30.682,31.382,28.752,27.962,27.98,25.587,19.586,16.083
1934,15.91,18.753,23.952,29.977,33.902,32.727,28.729,27.89,28.015,24.793,19.97,16.926
1935,15.104,18.976,24.416,27.426,34.211,34.16,28.897,27.343,27.491,24.941,20.156,16.544
1936,15.294,18.357,24.776,28.932,33.803,30.577,28.174,27.613,27.525,24.948,20.465,16.718
1937,14.491,19.054,23.025,28.452,32.814,32.847,29.106,26.968,27.604,24.376,20.614,15.116
1938,16.747,16.915,25.888,30.421,33.394,30.2,28.535,27.749,28.029,26.1,19.61,15.487
1939,17.086,19.421,23.435,28.894,34.64,32.106,28.527,27.275,27.331,25.9,19.724,15.808
1940,15.434,18.238,22.909,28.522,33.592,33.634,29.013,27.903,27.707,25.662,21.073,16.4
1941,16.387,18.824,26.207,31.817,34.101,31.598,29.811,28.346,28.337,26.294,20.086,16.762
1942,15.648,18.999,24.832,29.843,34.906,34.246,28.514,27.821,27.307,25.576,21.194,16.56
1943,18.52,18.139,25.183,28.462,34.369,33.452,29.151,26.997,28.184,25.787,20.665,16.92
1944,16.294,18.452,23.007,27.744,34.707,32.887,28.673,27.818,28.279,24.72,20.794,18.043
1945,14.905,17.905,24.89,27.976,33.202,33.727,29.571,29.123,27.984,24.567,19.665,14.852
1946,16.503,20.3,24.163,29.508,32.976,31.633,28.207,28.026,28.104,25.939,20.74,18.108
1947,15.906,18.999,25.493,30.95,34.11,34.366,28.793,28.191,28.171,25.449,21.004,16.98
1948,17.284,18.867,23.93,31.094,34.924,33.965,28.553,27.816,27.477,25.864,20.652,16.073
1949,17.216,19.146,24.82,30.394,33.319,33.777,29.279,27.586,27.957,26.287,18.586,15.436
1950,16.863,18.073,23.463,28.671,33.932,32.114,28.58,27.69,27.883,25.055,19.585,16.415
1951,15.339,18.426,24.213,28.491,33.17,33.268,29.456,28.09,28.059,27.686,21.466,16.259
1952,17.453,20.98,24.132,30.806,34.747,32.537,28.909,27.549,28.033,25.967,20.253,17.06
1953,16.374,20.908,27.819,30.4,34.558,33.507,28.003,27.135,27.583,25.138,19.698,18.063
1954,15.416,20.595,24.619,31.12,34.918,32.976,29.671,27.969,27.778,24.16,19.484,16.67
1955,16.714,19.072,26.466,28.907,34.076,33.156,27.971,27.749,27.642,25.274,19.932,17.033
1956,16.951,18.758,25.728,31.094,34.691,30.142,28.58,27.399,26.896,25.03,19.218,17.764
1957,17.448,18.086,23.578,29.599,34.029,33.897,28.946,28.302,27.561,25.767,20.953,17.867
1958,18.14,20.004,26.112,31.741,34.787,35.367,29.417,27.982,27.878,25.81,21.317,17.791
1959,17.217,18.498,25.423,30.631,34.018,33.74,29.26,27.762,27.723,25.871,20.727,16.858
1960,16.334,20.837,24.354,29.824,33.649,34.368,28.588,27.971,28.069,25.585,19.557,17.451
1961,17.013,17.664,25.626,30.212,34.267,32.18,28.803,27.816,27.593,25.185,19.401,13.778
1962,14.725,19.049,24.077,29.923,33.295,34.956,30.181,27.569,27.04,24.144,20.406,17.147
1963,14.793,20.18,24.416,29.788,32.335,31.791,28.722,28.184,27.369,26.014,22.108,17.068
1964,15.98,18.664,26.043,30.873,32.455,32.749,27.488,27.931,27.463,25.867,19.898,17.226
1965,17.343,19.553,23.756,28.082,32.725,34.986,29.733,28.405,27.31,26.027,21.696,16.555
1966,16.673,21.351,25.172,31.313,34.3,33.04,30.682,27.972,28.449,26.645,22.456,16.165
1967,16.065,20.569,23.633,28.873,33.376,34.545,29.278,27.01,27.404,25.116,20.536,17.8
1968,15.804,17.897,24.024,29.029,33.202,31.86,28.749,27.859,29.019,25.313,20.637,16.516
1969,16.342,20.58,26.998,31.001,32.556,34.158,28.682,27.369,27.269,26.595,22.306,16.851
1970,17.277,18.442,24.083,30.912,33.437,31.076,28.868,27.943,27.024,25.831,19.975,16.299
1971,15.747,18.182,23.656,28.538,30.557,29.617,27.271,26.71,27.493,25.367,20.014,16.47
1972,15.669,16.865,24.627,29.357,34.101,35.188,30.131,27.862,26.905,24.653,20.727,17.204
1973,16.714,20.561,24.187,31.362,34.336,33.004,29.917,27.816,27.254,25.185,19.889,16.224
1974,15.389,17.877,25.197,31.103,33.63,33.269,28.604,27.702,27.736,26.593,20.118,15.631
1975,15.389,18.898,24.225,30.703,34.696,32.623,27.851,27.49,27.272,26.414,19.361,15.913
1976,16.402,19.402,24.821,28.719,33.242,32.912,29.227,27.661,27.063,26.02,22.538,17.112
1977,16.069,19.416,26.043,29.92,31.615,32.166,27.971,27.89,27.629,25.902,22.594,17.195
1978,15.596,17.938,22.261,29.33,34.762,32.623,28.327,27.488,27.558,25.74,22.09,16.474
1979,17.328,17.242,23.414,29.404,33.056,32.341,29.035,28.682,28.2,27.384,23.975,18.327
1980,16.983,19.797,24.005,31.512,34.533,31.062,28.064,27.188,27.443,26.346,21.592,17.217
1981,16.192,19.555,24.117,29.504,32.58,32.901,28.062,28.194,27.976,25.447,20.158,16.326
1982,17.911,18.292,22.534,29.084,31.776,31.543,31.054,27.99,27.767,26.22,21.018,17.55
1983,15.256,18.442,24.227,27.913,31.647,33.434,29.105,28.669,28.353,25.341,19.724,17.05
1984,16.71,17.548,24.961,30.495,34.619,31.04,28.167,27.454,27.114,26.193,19.98,17.738
1985,17.228,19.199,26.859,30.825,34.469,33.634,28.014,27.964,28.033,25.112,21.057,18.373
1986,16.63,18.844,24.235,30.129,31.674,32.194,27.557,27.13,27.539,25.006,21.753,16.949
1987,16.049,19.884,23.976,30.424,32.319,35.161,29.502,28.706,28.044,25.859,21.086,16.581
1988,16.989,19.924,24.605,30.553,34.746,31.421,28.211,27.973,29.105,25.775,21.084,18.052
1989,15.653,18.999,24.229,29.748,34.189,31.278,28.469,28.038,27.998,26.061,21.437,16.941
1990,17.787,19.763,23.354,30.107,32.277,32.135,27.167,27.803,27.788,25.486,20.673,17.413
1991,16.03,20.38,24.575,29.133,34.25,31.545,30,27.04,27.836,25.208,20.688,16.662
1992,15.854,17.534,25.799,30.079,32.471,31.938,30.177,27.722,27.551,26.22,22.307,17.063
1993,17.144,20.526,23.541,29.151,34.128,33.644,30.089,28.859,27.603,26.983,20.765,17.108
