Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,12.498,15.64,22.619,28.437,32.449,35.53,32.234,29.819,29.668,27.763,21.363,15.853
1902,15.903,18.44,24.231,28.926,32.88,33.362,30.333,30.344,29.081,25.593,20.291,15.158
1903,14.315,15.958,20.948,27.813,32.43,35.03,32.51,29.728,29.96,25.774,20.202,15.258
1904,14.271,17.946,22.066,29.737,31.765,33.849,29.821,29.04,28.682,26.072,19.472,15.082
1905,11.922,12.564,18.532,25.847,32.997,34.841,31.194,30.127,30.166,26.683,21.388,15.284
1906,13.29,14.478,20.341,28.756,34.56,33.143,31.002,29.493,28.882,26.377,21.707,16.356
1907,16.375,14.37,18.681,26.213,31.056,34.139,32.526,29.502,30.37,27.257,20.793,14.891
1908,14.44,17.36,22.451,30.329,32.552,35.036,29.9,28.78,29.236,26.079,19.884,14.693
1909,13.569,15.911,23.334,26.85,32.164,32.219,29.907,29.608,29.454,26.953,21.013,15.34
1910,14.552,16.761,22.766,28.354,32.844,33.04,30.305,29.695,29.259,25.081,19.591,14.853
1911,15.097,17.532,19.972,28.519,34.333,33.756,32.318,30.43,28.777,26.273,18.593,14.851
1912,14.453,17.732,21.831,28.17,32.773,34.73,31.199,29.574,28.276,26.186,18.902,14.868
1913,14.797,15.831,19.964,29.547,30.974,31.901,30.772,30.885,30.74,26.763,19.519,14.202
1914,16.185,16.121,21.357,28.543,32.465,33.232,30.567,29.802,29.345,24.732,20.59,14.593
1915,14.659,15.416,21.789,28.451,34.288,33.821,32.194,30.512,30.257,27.787,21.006,15.677
1916,15.071,16.437,25.619,30.228,33.246,32.644,30.517,29.499,29.032,25.751,19.692,14.273
1917,14.594,16.762,21.445,25.268,28.477,32.54,29.983,29.34,28.06,24.937,19.265,14.949
1918,13.693,17.558,22.266,26.83,34.07,32.933,32.83,31.008,30.238,26.646,19.992,13.805
1919,13.612,15.873,22.372,27.177,31.565,34.663,30.006,29.393,29.077,25.862,19.861,14.349
1920,15.359,15.626,21.384,28.518,29.643,32.615,29.992,30.111,30.363,27.09,21.388,16.586
1921,14.526,17.972,25.532,31.164,35.76,33.861,31.835,29.032,28.149,25.071,20.088,16.203
1922,13.368,18.146,24.229,29.247,33.775,32.948,30.605,28.82,28.338,25.372,19.886,13.891
1923,14.604,15.526,23.049,29.878,32.643,35.916,30.993,29.165,29.057,25.067,20.084,14.977
1924,13.218,16.624,23.838,29.542,30.143,35.937,30.695,29.383,28.243,25.643,19.791,15.392
1925,12.297,15.803,22.608,30.337,32.373,30.864,29.291,29.914,29.557,26.059,19.005,15.168
1926,14.229,18.021,20.449,25.347,30.563,35.436,31.185,29.382,28.769,25.267,17.972,14.751
1927,12.995,14.82,21.267,27.938,31.437,33.853,30.303,28.818,29.129,25.839,19.515,16.185
1928,13.684,17.213,22.651,28.06,34.051,33.449,31.015,31.024,30.541,27.058,20.669,14.87
1929,13.893,15.829,24.178,29.333,33.877,33.473,30.519,29.005,29.889,25.875,20.705,13.757
1930,13.185,16.462,23.734,28.55,32.656,33.041,29.581,29.51,29.611,25.858,19.802,15.368
1931,15.666,14.939,21.929,30.256,32.856,34.949,30.99,30.197,28.639,25.47,19.761,15.531
1932,16.142,15.741,23.171,28.566,31.931,35.239,31.291,29.169,29.054,26,20.585,14.849
