Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,12.537,14.946,22.065,27.345,31.508,34.958,32.321,30.366,29.924,27.542,20.99,15.49
1902,15.318,17.76,23.734,28.248,32.144,32.823,30.889,31.052,29.163,25.675,20.127,14.57
1903,13.797,15.598,20.317,26.767,31.541,34.954,32.82,30.124,30.14,26.045,19.9,14.718
1904,13.423,17.075,21.252,28.745,31.417,33.771,30.573,29.692,28.98,26.047,19.327,15.051
1905,11.76,11.956,17.981,25.048,32.754,34.479,31.815,30.965,30.45,26.654,21.118,15.11
1906,12.723,14.145,19.711,27.667,34.043,32.929,31.725,29.478,28.922,26.512,21.401,16.122
1907,15.717,13.853,18.182,25.01,30.343,33.42,32.766,29.688,30.641,27.164,20.626,14.537
1908,14.039,16.717,21.848,29.046,31.902,34.751,30.339,28.523,29.239,25.993,19.49,14.557
1909,13.021,15.161,22.383,26.216,31.845,31.827,29.791,29.41,29.088,26.666,21.107,14.741
1910,13.825,16.146,21.952,27.165,32.381,32.711,30.228,29.496,29.32,25.104,19.31,14.546
1911,14.707,16.799,19.374,27.569,33.526,33.149,32.891,31.263,29.208,26.349,18.165,14.545
1912,14.068,17.338,21.383,27.372,32.365,34.564,31.287,29.52,28.314,26.148,18.914,14.529
1913,14.495,15.427,19.221,28.844,30.322,31.201,30.507,30.568,30.379,26.683,19.419,14.039
1914,15.62,15.39,20.78,27.425,31.831,32.675,30.33,29.988,29.177,24.346,20.197,14.299
1915,14.03,14.753,21.618,27.911,34.218,33.519,32.758,30.988,30.274,27.73,20.701,15.367
1916,14.694,15.801,24.861,29.504,32.341,32.47,30.486,29.425,29.005,25.887,19.158,14.118
1917,14.12,16.55,21.25,24.582,27.879,32.177,29.858,29.125,27.634,24.634,18.611,14.667
1918,13.289,16.911,21.547,25.649,33.777,32.678,33.225,31.226,30.173,26.538,19.794,13.904
1919,13.615,15.473,22.027,26.686,31.088,34.975,30.347,29.501,29.242,25.945,19.49,14.028
1920,14.602,15.088,21.039,27.569,28.852,32.312,30.33,30.379,30.474,27.14,21.217,16.143
1921,14.383,17.473,24.986,30.822,35.32,34.012,32.269,29.467,28.636,25.057,19.928,16.093
1922,13.026,17.421,23.587,28.545,33.077,32.789,30.955,29.536,28.362,25.29,19.593,14.03
1923,13.954,14.971,22.411,28.986,31.765,35.426,30.935,28.94,29.185,25.111,19.731,14.825
1924,12.996,16.012,23.068,28.779,29.192,35.533,31.348,29.59,27.953,25.503,19.531,15.29
1925,11.996,14.849,22.357,29.841,32.054,30.796,29.254,29.809,29.732,25.875,18.562,14.705
1926,14.173,17.401,20.129,24.548,29.608,34.976,31.421,29.118,28.758,25.263,17.85,14.556
1927,12.745,14.145,20.687,26.944,30.668,33.588,30.378,28.854,29.081,25.714,19.504,15.789
1928,13.021,16.585,21.858,27.46,33.638,33.314,31.355,31.201,30.134,26.852,20.326,14.489
1929,13.596,15.119,23.901,28.706,33.279,33.354,30.753,29.174,30.133,25.86,20.352,13.168
1930,12.628,15.88,22.758,27.41,32.061,32.558,29.44,29.788,28.922,25.74,19.334,14.863
1931,15.124,14.211,20.952,29.221,32.051,34.554,31.181,30.086,28.563,25.51,19.229,15.324
1932,15.498,15.278,22.868,28.095,30.913,35.124,31.204,28.953,28.904,26.065,19.892,14.562
1933,12.147,16.615,21.817,26.05,29.056,32.477,29.555,28.231,27.867,25.034,19.321,15.623
1934,11.919,18.102,20.888,27.92,31.279,32.579,30.449,28.523,29.874,25.748,19.773,15
1935,11.816,16.558,21.665,24.608,32.69,34.859,30.404,29.127,28.738,25.666,20.113,14.396
1936,12.65,16.235,21.346,27.533,33.784,30.89,29.945,29.098,28.559,25.692,19.726,14.303
1937,13.062,16.013,20.309,25.866,31.717,33.554,30.218,30.889,29.382,25.227,19.13,13.923
1938,13.044,14.752,23.048,28.946,33.984,32.178,31.222,30.411,30.485,27.04,18.311,15.148
1939,14.424,16.304,19.225,26.648,33.84,31.764,30.755,30.848,29.524,26.747,19.763,15.533
1940,13.923,15.715,19.83,26.612,33.02,34.017,31.276,28.791,28.884,25.97,20.492,14.458
1941,12.73,17.214,24.248,30.942,33.655,32.092,32.669,30.278,29.582,27.89,20.032,16.351
1942,12.531,17.21,23.705,29.498,32.848,34.744,29.657,28.474,27.919,25.988,20.755,13.976
1943,13.42,16.889,22.552,26.414,31.917,33.224,30.057,28.598,29.622,25.97,20.896,16.017
1944,12.658,15.539,20.493,26.896,33.873,32.768,30.111,29.754,28.908,25.648,20.296,15.878
