Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,12.729,15.918,22.351,28.935,32.493,35.242,31.325,29.551,28.87,27.237,21.512,15.908
1902,16.412,18.7,24.129,29,32.876,33.34,29.755,29.637,28.811,24.944,20.44,15.782
1903,14.791,16.051,20.93,28.589,32.968,34.158,31.681,29.584,29.511,25.62,20.814,16.115
1904,15.063,18.574,22.404,30.265,31.648,32.917,29.589,28.925,28.436,25.88,19.58,15.359
1905,12.168,13.024,18.709,25.942,32.451,34.22,30.254,29.598,29.069,26.165,21.106,15.359
1906,13.63,14.625,20.776,29.448,34.164,32.8,30.284,29.132,28.936,25.978,22.087,16.794
1907,17.125,14.637,18.635,26.747,31.06,33.591,31.575,29.485,29.955,27.364,20.979,15.594
1908,15.12,17.825,22.891,31.377,33.034,34.599,29.808,28.952,29.223,26.252,20.192,15.266
1909,14.779,16.313,24.216,27.421,32.735,31.437,29.907,29.785,29.658,27.112,20.791,16.366
1910,15.559,17.006,23.238,29.25,32.576,32.246,29.592,29.412,29.023,25.194,19.835,15.18
1911,15.368,17.873,20.131,28.903,34.237,32.604,31.556,29.858,28.512,25.746,18.991,15.093
1912,14.63,18.091,22.221,28.302,32.268,33.639,30.269,29.183,28.309,25.98,18.957,15.093
1913,15.151,15.828,20.103,29.646,31.049,31.096,30.155,30.259,29.97,26.159,19.256,14.035
1914,16.623,16.307,21.189,28.261,31.934,32.857,30.045,29.573,28.849,24.416,20.585,15.345
1915,15.61,16.092,21.779,28.904,33.813,33.081,30.926,29.759,29.253,27.454,21.522,15.92
1916,15.252,16.852,25.947,30.364,33.578,31.552,29.742,29.513,28.723,25.932,20.785,14.62
1917,14.852,16.778,21.245,25.682,28.548,31.775,29.811,29.485,28.023,25.271,20.546,15.232
1918,14.124,18.185,22.904,27.589,33.495,31.555,31.551,29.884,29.581,26.222,19.99,13.897
1919,13.596,16,22.329,27.112,31.286,33.042,29.616,29.485,28.695,25.68,20.232,14.732
1920,16.246,15.756,21.068,28.975,29.787,32.406,29.655,29.598,29.306,26.375,21.205,17.143
1921,14.584,18.139,25.726,31.002,35.638,32.484,30.317,28.639,27.761,24.818,20.012,16.189
1922,13.436,18.452,24.412,29.274,34.122,32.189,29.702,28.552,28.095,24.821,20.124,13.837
1923,15.385,15.657,23.257,30.537,32.917,35.185,29.902,29.284,28.621,24.891,20.392,15.443
1924,13.903,17.265,24.408,30.249,30.628,35.412,29.811,29.039,27.961,26.005,20.092,15.821
1925,12.93,16.86,22.837,30.324,32.177,30.913,29.157,29.537,28.664,25.69,19.286,15.681
1926,14.391,18.284,20.328,25.502,30.748,35.115,30.566,29.324,28.725,25.391,18.264,15.466
1927,13.837,15.27,21.652,28.56,31.42,33.327,30.057,28.851,29.135,25.691,19.648,16.531
1928,14.19,17.552,22.863,28.202,33.781,32.546,30.071,30.489,30.222,26.917,20.516,15.399
1929,14.29,16.558,24.153,29.401,33.993,32.685,30,28.7,29.059,25.233,20.707,14.349
1930,13.356,16.751,23.952,28.935,32.579,32.526,29.5,29.311,29.338,25.557,19.975,15.926
