Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,12.034,14.486,21.516,26.877,30.982,34.433,31.962,30.378,29.47,27.029,20.758,15.226
1902,15.065,17.529,22.944,27.579,31.619,32.436,30.608,30.804,28.945,25.024,19.855,14.569
1903,13.393,15.226,19.473,26.38,31.192,34.408,32.402,30.141,29.835,25.782,19.86,14.942
1904,13.118,17.032,20.672,28.317,30.933,33.239,30.549,29.814,28.815,25.636,19.032,14.803
1905,11.226,11.657,17.212,24.485,32.233,33.839,31.367,31.083,29.907,26.166,20.653,14.792
1906,12.292,13.553,19.179,27.285,33.457,32.576,31.446,29.324,28.748,26.034,21.298,16.073
1907,15.527,13.293,17.31,24.55,29.923,32.999,32.13,29.744,30.308,26.868,20.434,14.709
1908,14.043,16.494,21.454,28.71,31.433,34.379,30.316,28.54,29.078,25.707,19.219,14.501
1909,12.589,14.858,22.153,25.854,31.675,31.44,29.711,29.329,29.046,26.469,20.762,14.757
1910,13.797,15.724,21.454,26.842,31.896,32.273,29.697,29.398,29.116,24.838,19.024,14.363
1911,14.048,16.596,18.643,27.084,33.092,32.463,32.54,31.176,29.083,25.833,17.998,14.497
1912,13.59,17.063,20.886,26.711,31.724,33.839,30.804,29.398,28.218,25.776,18.493,14.366
1913,14.231,14.823,18.475,28.212,29.859,30.666,30.091,30.255,29.829,25.965,18.889,13.459
1914,15.295,14.786,19.973,26.504,31.157,32.236,30.002,29.971,28.776,23.69,19.653,14.194
1915,13.865,14.567,21.155,27.521,33.631,32.971,32.164,30.766,29.773,27.365,20.597,15.126
1916,14.36,15.454,24.447,28.942,31.951,32.008,30.061,29.437,28.778,25.605,19.332,14.034
1917,13.755,16.199,20.477,23.978,27.386,31.599,29.608,29.209,27.414,24.341,18.977,14.433
1918,13.062,16.757,21.008,25.177,33.193,31.998,32.415,30.757,29.73,25.996,19.36,13.566
1919,13.024,15.227,21.271,25.946,30.391,34.17,30.174,29.513,28.975,25.575,19.298,13.825
1920,14.735,14.553,20.078,27.044,28.249,31.841,30.081,30.168,29.83,26.464,20.76,16.24
1921,13.788,17.194,24.485,30.226,34.897,33.346,31.499,29.272,28.318,24.463,19.592,15.626
1922,12.388,17.057,23.045,27.872,32.688,32.237,30.602,29.478,28.218,24.862,19.295,13.563
1923,13.726,14.423,21.958,28.594,31.359,34.698,30.366,28.97,28.813,24.667,19.495,14.592
1924,12.698,15.827,22.618,28.384,28.55,35.11,31.109,29.541,27.642,25.381,19.335,15.175
1925,11.699,14.895,21.961,29.392,31.629,30.619,29.21,29.564,29.273,25.297,18.195,14.74
1926,13.829,17.093,19.31,23.951,29.122,34.503,31.042,29.099,28.712,25.041,17.561,14.605
1927,12.67,13.685,20.186,26.517,30.159,33.173,30.107,28.844,28.918,25.268,19.272,15.634
1928,12.661,16.264,21.277,26.889,33.309,32.777,31.003,30.892,29.801,26.43,19.754,14.295
1929,13.189,14.865,23.352,28.118,32.825,32.84,30.472,29.071,29.571,25.196,20.057,12.547
1930,12.123,15.525,22.173,26.844,31.555,32.027,29.31,29.771,28.637,25.093,18.988,14.871
1931,15.004,13.646,20.52,28.818,31.451,34.097,30.806,30.207,28.384,25.176,19.137,15.235
1932,15.475,14.968,22.247,27.69,30.422,34.71,30.868,29.006,28.685,25.738,19.895,14.575
1933,12.066,16.254,21.241,25.335,28.633,32.36,29.455,28.442,27.744,24.707,19.167,15.574
1934,11.382,18.109,20.378,27.612,30.682,32.318,30.213,28.683,29.755,25.47,19.56,14.561
1935,11.363,16.156,21.155,23.974,32.255,34.55,30.316,29.143,28.587,25.298,19.693,14.067
1936,12.363,15.656,20.881,27.015,33.268,30.587,29.785,29.253,28.384,25.31,19.536,13.788
1937,12.901,15.559,19.887,25.498,31.234,33.25,30.008,30.635,29.076,24.799,18.73,13.835
1938,12.805,14.363,22.445,28.453,33.507,31.811,30.917,30.205,29.968,26.533,17.962,15.482
1939,14.238,15.899,18.653,26.077,33.319,31.411,30.442,30.598,29.111,26.241,19.703,15.614
1940,13.768,15.323,19.047,25.976,32.387,33.291,30.866,28.946,28.513,25.638,20.202,14.128
1941,12.437,16.964,23.684,30.415,33.025,31.769,31.946,30.164,29.276,27.198,19.732,16.476
1942,12.302,16.747,23.287,28.919,32.147,34.335,29.548,28.569,27.889,25.707,20.495,13.974
1943,12.857,16.832,21.978,25.929,31.382,32.851,29.884,28.604,29.415,25.678,20.801,15.972
1944,12.163,14.983,19.915,26.421,33.322,32.347,30.01,29.671,28.712,25.509,19.995,15.759
1945,11.329,15.024,21.946,25.805,31.382,33.993,30.299,29.834,28.281,24.696,19.764,13.674
1946,15.169,18.241,20.778,28.74,31.368,32.711,30.147,29.806,29.385,25.46,19.529,14.167
1947,12.698,16.566,22.014,29.088,32.603,35.385,31.646,30.138,28.566,24.63,20.353,15.004
1948,13.521,14.983,19.885,30.251,33.225,34.233,30.705,28.706,28.752,25.73,18.624,14.09
1949,15.498,15.719,21.822,28.965,32.816,33.734,29.868,29.639,29.75,25.801,18.661,13.829
1950,14.557,14.63,20.112,27.184,32.737,33.476,30.351,29.404,27.801,24.931,19.536,13.533
1951,12.597,16.569,21.592,25.112,31.42,33.49,32.14,30.444,29.622,27.593,20.999,15.875
1952,14.901,18.361,20.682,29.754,32.333,32.678,30.766,29.247,30.074,25.793,20.368,15.598
1953,12.693,18.897,25.189,28.552,32.671,33.804,30.277,29.45,29.176,25.867,19.998,17.27
1954,12.597,16.791,22.12,28.755,32.883,33.434,30.804,30.436,29.607,23.672,19.486,14.523
1955,13.297,17.167,23.783,25.712,29.913,34.248,30.971,28.981,28.512,24.338,19.637,14.627
1956,13.496,17.538,21.613,28.821,33.749,33.008,29.642,29.203,29.611,24.499,18.998,14.425
1957,12.695,15.361,20.228,26.081,30.319,32.711,30.883,29.903,27.88,25.669,20.391,15.195
1958,15.2,16.042,22.55,29.865,31.657,34.31,29.945,29.551,28.88,25.709,20.511,16.167
1959,13.967,15.595,22.858,27.992,31.153,34.047,30.18,29.936,29.241,26.122,19.756,16.03
1960,13.199,20.109,20.613,26.522,32.41,34.185,30.619,29.555,29.645,25.44,19.158,16.467
1961,14.198,14.341,22.589,27.786,32.142,33.26,30.775,29.647,29.791,24.991,18.101,12.774
1962,12.504,16.601,21.516,28.629,32.203,33.433,31.445,30.075,27.877,26.654,19.691,14.319
1963,13.589,18.154,21.253,26.961,30.598,32.959,31.191,28.861,28.22,26.038,20.029,14.698
1964,12.376,15.89,22.448,27.971,29.759,33.877,29.177,29.873,28.4,25.803,19.102,14.731
1965,15.274,15.772,20.829,25.727,30.935,34.56,30.265,29.232,28.924,25.473,20.099,13.824
1966,13.914,17.948,21.838,28.411,32.533,32.85,31.363,29.711,28.817,25.386,19.385,14.628
1967,13.264,18.653,20.73,27.092,31.516,33.968,30.475,28.974,28.893,24.759,18.763,14.531
