Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,13.098,16.141,22.607,29.07,32.962,36.025,32.268,29.63,29.196,27.46,21.534,16.028
1902,16.372,18.65,24.565,29.488,33.289,33.989,30.315,29.898,28.928,25.378,20.443,15.505
1903,15.015,16.252,21.42,28.646,33.199,35.031,32.463,29.634,29.678,25.624,20.52,15.673
1904,15.125,18.295,22.649,30.292,32.137,33.754,29.842,28.829,28.632,25.954,19.697,15.504
1905,12.641,13.104,19.234,26.338,32.887,35.189,30.989,29.694,29.57,26.352,21.407,15.508
1906,13.933,15.127,21.045,29.56,34.664,33.509,30.848,29.245,28.991,26.229,21.982,16.667
1907,16.963,15.145,19.34,27.063,31.559,34.376,32.731,29.407,30.225,27.411,21.155,15.248
1908,14.801,17.812,22.917,31.352,33.431,35.27,30.266,28.957,29.347,26.207,20.311,15.139
1909,15.123,16.257,24.075,27.561,32.908,31.893,30.105,29.657,29.482,26.905,21.086,15.999
1910,15.168,17.168,23.269,29.233,33.039,32.975,30.49,29.491,29.201,25.196,19.834,15.094
1911,15.916,17.778,20.487,29.05,34.581,33.52,32.08,29.861,28.539,26.087,19.117,15.02
1912,14.974,18.258,22.243,28.711,32.946,34.644,30.975,29.366,28.442,26.05,19.307,15.075
1913,15.172,16.385,20.433,30.037,31.403,31.698,30.889,30.435,30.293,26.748,19.785,14.604
1914,16.719,16.908,21.69,28.832,32.596,33.627,30.422,29.538,29.21,24.858,20.902,15.271
1915,15.486,16.078,21.941,28.964,34.518,33.879,31.649,29.852,29.57,27.473,21.402,15.962
1916,15.324,16.935,25.687,30.575,33.768,32.052,30.313,29.352,28.901,25.992,20.228,14.513
1917,15.015,17.009,21.585,26.01,28.955,32.429,30.241,29.403,28.206,25.391,19.815,15.275
1918,14.096,18.087,22.985,27.72,34.041,32.325,32.691,30.287,29.918,26.529,20.367,14.209
1919,14.12,16.01,22.708,27.715,32.027,34.254,30.025,29.403,28.96,25.748,20.338,14.825
1920,15.843,16.181,21.761,29.147,30.333,33.151,30.118,29.749,29.883,26.926,21.507,16.799
1921,15.038,18.213,25.743,31.414,35.981,33.601,31.594,28.726,28.131,25.134,20.167,16.518
1922,13.946,18.586,24.417,29.656,34.418,33.053,30.281,28.57,28.347,25.212,20.293,14.267
1923,15.246,16.122,23.394,30.533,33.295,36.038,30.699,29.207,28.938,25.109,20.511,15.545
