Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1951,10.5,11.227,10.015,10.058,15.139,26.569,32.433,31.687,29.299,21.352,13.888,12.966
1952,11.859,12.124,9.913,11.037,16.24,26.537,32.31,31.687,29.234,20.008,13.157,12.915
1953,10.685,12.545,12.123,11.047,16.688,28.03,32.31,31.595,29.234,20.093,13.054,13.661
1954,10.637,12.026,10.205,11.596,16.671,26.717,32.309,31.687,29.291,18.815,13.147,13.012
1955,10.85,11.241,10.624,9.997,15.142,27.352,32.261,31.687,29.234,20.095,13.211,13.011
1956,11.183,11.035,9.905,11.553,16.248,24.817,31.177,31.687,29.18,19.812,13.087,12.931
1957,11.711,10.74,9.213,10.042,15.274,27.729,32.26,31.687,29.178,20.025,13.916,13.047
1958,12.16,11.718,10.233,11.558,16.192,29.879,32.409,31.704,29.221,20.061,13.767,12.966
1959,11.183,11.224,10.628,10.689,15.296,26.663,32.158,31.628,29.18,20.198,13.887,12.931
1960,10.887,12.226,9.913,11.113,15.233,28.022,32.309,31.687,29.299,20.093,13.087,13.009
1961,11.183,10.352,10.856,10.981,15.142,26.522,32.409,31.638,28.96,20.588,13.303,11.618
1962,10.559,11.265,9.913,10.746,15.143,29.616,34.126,31.685,29.274,19.054,13.496,12.931
1963,10.417,11.133,9.612,10.46,14.606,26.389,32.461,31.687,29.899,20.025,14.631,13.008
1964,11.084,11.35,10.797,11.073,14.822,26.891,30.612,31.687,29.299,20.128,13.144,13.012
1965,11.811,11.526,9.911,10.066,15.194,29.769,32.31,32.737,29.299,20.117,13.887,12.3
1966,10.777,12.362,9.847,11.218,16.374,26.471,33.993,31.892,29.284,20.35,14.371,13.012
1967,11.176,12.026,9.18,10.621,15.308,27.913,32.26,31.687,29.274,20.025,13.632,13.194
1968,10.589,10.615,9.755,10.289,15.139,27.355,32.15,31.687,30.331,20.025,13.687,12.979
1969,11,12.066,11.548,11.131,14.814,28.028,32.029,31.687,29.299,20.433,14.985,12.516
1970,11.183,11,9.816,11.314,15.093,25.07,32.112,31.687,29.177,20.093,13.151,12.877
1971,11.183,11.224,9.614,10.016,13.443,23.987,30.177,30.313,29.291,20.02,13.678,12.869
1972,10.915,10.352,9.173,10.559,14.541,27.653,33.56,31.106,27.825,19.08,13.637,12.927
1973,11.583,10.96,9.478,11.07,15.773,26.492,31.211,31.687,28.79,19.584,12.876,12.197
1974,10.773,10.683,10.629,11.513,14.61,25.842,31.531,28.544,28.977,21.09,13.237,12.156
1975,10.485,11.535,9.822,11.632,16.299,26.14,30.79,31.555,29.283,21.146,13.046,12.253
1976,11.566,11.224,9.913,10.114,14.954,26.097,32.102,30.157,29.221,19.843,15.053,13.141
1977,11.364,11.006,10.354,10.41,13.493,26.665,33.209,31.644,29.234,20.384,15.37,13.012
1978,10.816,10.674,8.607,10.041,16.268,26.635,32.886,31.232,29.029,20.343,14.525,13.405
1979,11.986,10.421,9.571,10.557,15.143,27.249,32.239,31.687,29.181,21.359,16.734,13.931
1980,11.276,11.785,9.862,11.496,15.842,24.375,29.69,31.622,28.684,20.601,13.887,13.014
1981,11.265,11.816,9.997,10.58,14.487,26.529,30.9,31.644,29.283,19.578,13.221,13.054
1982,12,10.511,8.599,10.032,14.258,25.999,35.325,31.687,29.816,20.231,13.887,13.317
1983,10.79,10.96,10.181,10.065,14.219,27.716,31.53,31.687,29.178,20.128,13.195,12.825
1984,11.183,10.401,10.562,10.58,16.211,25.123,32.185,31.687,29.299,20.118,13.054,13.007
1985,10.979,10.841,11.144,11.238,15.143,27.853,32.086,31.687,29.24,19.541,13.887,13.711
1986,11.183,11.157,9.905,10.662,14.234,26.476,30.843,31.638,29.299,19.769,13.887,13.07
1987,11.099,11.933,9.816,10.981,14.874,29.847,32.576,33.121,29.304,19.965,13.864,12.971
1988,11.879,12.026,9.913,11.366,16.271,26.431,32.26,31.595,30.983,20.008,13.887,13.754
1989,10.895,11.908,9.913,11.039,15.522,25.534,32.086,30.515,29.283,20.025,13.99,13.006
1990,12.041,11.607,9.457,10.938,14.589,26.79,30.876,31.687,29.283,20.065,13.887,13.054
1991,11.009,12.026,10.029,10.748,15.733,26.51,33.59,31.687,29.549,20.008,13.767,13.008
1992,11.136,10.511,10.39,11.241,14.914,26.706,33.556,31.687,29.232,20.118,14.617,13.008
1993,11.605,12.026,9.213,10.231,15.143,27.98,33.998,32.152,29.299,20.628,13.795,12.915
1994,12.001,11.224,10.834,10,16.544,26.578,32.31,31.687,29.299,20.066,13.791,12.904
1995,10.494,11.66,9.422,10.664,16.571,29.258,32.31,31.685,29.283,21.328,13.791,13.713
1996,11.486,10.877,10.665,10.656,16.233,26.97,32.367,31.687,29.283,20.065,13.899,12.922
1997,11.126,10.69,10.015,10.22,14.763,27.576,34.86,31.687,29.237,19.075,13.859,13.875
1998,10.541,11.873,9.269,11.012,15.439,28.282,32.326,31.687,29.242,21.233,16.158,13.368
1999,10.616,12.172,10.419,11.611,15.142,26.572,32.449,31.685,29.299,20.008,15.084,13.66
2000,12.007,11.459,10.023,11.554,15.143,25.187,32.31,32.096,29.299,21.444,15.372,13.692
2001,11.183,11.9,9.922,10.376,15.143,24.228,32.011,31.687,29.547,21.409,15.023,12.979
2002,11.795,11.724,10.721,11.024,16.177,26.595,35.741,31.685,29.283,20.355,13.887,13.402
