Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1951,10.973,11.798,10.871,11.571,17.488,28.018,34.035,33.317,30.715,22.49,14.696,13.797
1952,12.368,12.59,10.792,12.68,18.512,28.125,33.602,33.234,30.629,21.105,14.088,13.744
1953,11.053,13.222,13.01,12.457,18.774,29.326,33.602,33.317,30.622,21.105,13.924,14.514
1954,11.113,12.536,11.193,13.469,19.524,28.003,33.559,33.317,30.682,20.011,13.658,13.797
1955,11.068,11.829,11.508,11.567,17.458,29.163,33.59,33.234,30.629,21.135,14.117,13.797
1956,11.553,11.666,10.692,13.065,18.574,26.847,32.12,33.294,30.54,21.059,14.023,13.797
1957,11.776,11.352,10.015,11.482,17.563,28.758,33.609,33.317,30.622,21.076,14.775,13.99
1958,12.522,12.267,11.099,13.058,18.49,31.136,33.702,33.399,30.622,21.135,14.396,13.797
1959,11.553,11.812,11.442,12.188,17.848,28.003,33.333,33.317,30.446,21.284,14.696,13.797
1960,11.26,12.868,10.792,12.236,17.642,29.541,33.609,33.399,30.698,21.129,13.902,13.797
1961,11.553,11.012,11.593,12.357,17.503,28.024,33.803,33.317,30.698,21.798,14.218,12.381
1962,10.951,11.958,10.792,12.274,17.503,31.101,35.358,33.317,30.698,20.207,14.518,13.744
1963,10.951,11.857,10.592,11.987,17.386,28.085,33.931,33.399,31.522,21.105,15.195,13.797
1964,11.459,11.928,11.493,12.903,16.757,28.525,32.314,33.317,30.646,21.17,14.078,13.797
1965,12.251,12.029,10.77,11.588,17.502,31.335,33.702,33.603,30.622,21.113,14.696,13.003
1966,11.153,13.077,11.075,12.888,18.676,28.003,35.211,33.213,30.622,20.961,14.982,13.797
1967,11.553,12.529,10.038,12.181,17.488,29.256,33.333,33.317,30.622,21.022,14.014,13.858
1968,11.012,11.043,10.568,12.096,17.725,28.886,33.198,33.317,31.562,21.173,14.49,13.744
1969,11.546,12.607,12.369,12.364,17.38,29.541,33.287,33.317,30.682,21.105,15.695,13.297
1970,11.553,11.437,10.61,12.898,17.259,26.626,33.358,33.317,30.629,21.105,14.017,13.775
1971,11.553,11.812,10.592,11.406,15.542,26.131,31.676,31.473,30.622,21.105,14.597,13.803
1972,11.475,10.965,9.992,12.103,17.009,27.583,34.342,33.216,29.467,19.728,14.536,13.797
1973,11.951,11.605,10.491,12.764,17.498,27.688,32.47,33.317,30.583,21.011,14.055,13.003
1974,11.374,11.413,11.532,13.074,17.209,27.658,32.879,30.728,30.601,22.367,14.117,12.926
1975,10.944,12.006,10.692,12.905,18.496,27.441,32.292,33.109,30.698,22.251,13.917,13.448
1976,11.974,11.812,10.776,11.505,17.043,27.387,33.198,31.452,30.524,21.088,16.071,13.797
1977,12.028,11.43,11.277,11.512,15.492,28.362,34.502,33.317,30.629,21.129,15.882,13.797
1978,11.374,11.274,9.416,11.564,18.594,28.124,33.881,34.058,30.454,21.113,15.256,14.19
1979,12.229,10.858,10.491,12.181,17.38,28.68,33.387,33.317,30.546,22.39,17.244,14.547
1980,11.553,12.252,10.692,13.081,18.123,26.108,30.694,33.317,30.445,21.727,14.696,13.797
1981,11.674,12.207,10.693,12.181,16.829,28.018,31.875,33.317,30.622,20.546,13.978,13.804
1982,12.261,11.058,9.569,11.504,16.735,26.864,35.878,33.24,30.939,21.105,14.696,13.82
1983,11.213,11.414,10.778,11.582,16.556,28.797,32.579,33.194,30.622,21.113,14.117,13.797
1984,11.553,11.019,11.333,12.181,18.479,26.725,33.347,33.166,30.622,21.113,13.924,13.797
1985,11.346,11.833,11.693,12.559,17.481,28.913,33.404,33.317,30.682,20.773,14.696,14.504
1986,11.553,11.812,10.692,12.259,16.487,27.902,32.27,33.233,30.622,20.827,14.696,13.875
1987,11.546,12.429,10.692,12.357,17.33,31.545,34.743,34.595,30.722,21.027,14.574,13.797
1988,12.191,12.452,10.792,12.927,18.64,27.796,33.347,33.317,32.299,21.155,14.696,14.658
1989,11.153,12.306,10.792,12.357,17.481,26.842,33.387,31.794,30.722,21.105,14.696,13.797
1990,12.522,12.23,10.368,12.334,17.435,28.425,32.453,33.317,30.722,21.105,14.696,13.896
1991,11.352,12.536,11.199,12.266,18.042,28.185,34.534,33.317,30.722,21.105,14.403,13.797
1992,11.274,10.934,11.355,12.566,16.759,28.025,34.236,33.317,30.622,21.105,15.067,13.797
1993,12.242,12.605,10.261,11.681,17.488,28.944,34.668,33.317,30.715,21.451,14.741,13.886
1994,12.451,11.812,11.6,11.482,18.733,28.085,33.602,33.317,30.722,21.105,14.597,13.818
1995,10.951,12.184,10.62,12.28,19.319,29.137,33.602,33.317,30.622,22.03,14.581,14.597
1996,11.553,11.375,11.615,12.28,18.679,28.451,33.543,33.317,30.699,21.105,14.941,13.88
1997,11.553,11.258,10.894,12.064,17.271,28.453,37.06,33.317,30.622,19.861,14.597,14.337
1998,10.477,12.529,10.106,12.703,18.035,30.315,33.602,33.317,30.844,22.788,17.058,14.313
1999,11.364,13.051,11.515,14.221,17.503,28.095,34.056,33.317,30.622,21.355,16.216,14.83
2000,12.552,11.929,10.792,13.171,17.557,27.391,33.608,33.351,30.682,22.574,16.658,14.606
2001,11.774,12.468,10.8,12.209,17.503,26.492,33.446,33.345,31.032,22.52,15.802,13.818
2002,12.251,12.405,11.6,12.573,18.621,28.119,36.94,33.317,30.705,21.105,14.696,13.797
