Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1951,11.14,12.066,11.193,12.036,18.19,28.378,33.734,33.418,30.901,23.131,15.058,13.863
1952,12.518,12.939,11.094,12.944,19.071,28.512,33.549,33.336,30.824,21.695,14.382,13.839
1953,11.339,13.44,13.234,12.858,19.488,29.677,33.549,33.418,30.801,21.695,14.334,14.542
1954,11.364,12.915,11.455,13.965,20.052,28.378,33.549,33.418,30.901,20.696,13.951,13.863
1955,11.28,12.138,11.735,11.994,18.095,29.3,33.549,33.319,30.877,21.731,14.435,13.863
1956,11.779,11.857,10.994,13.419,19.188,27.057,32.188,33.382,30.74,21.695,14.34,13.863
1957,12.177,11.616,10.27,11.818,18.486,29.256,33.608,33.418,30.801,21.658,15.058,14.103
1958,12.706,12.556,11.394,13.458,19.071,31.337,33.648,33.502,30.801,21.731,14.758,13.863
1959,11.779,12.138,11.773,12.595,18.613,28.378,33.403,33.418,30.639,21.895,15.058,13.863
1960,11.516,13.057,11.094,12.698,18.428,29.756,33.608,33.502,30.901,21.731,14.315,13.863
1961,11.779,11.276,11.972,12.758,18.167,28.378,33.73,33.418,30.901,22.337,14.518,12.522
1962,11.123,12.256,11.094,12.619,18.167,31.141,35.167,33.418,30.901,20.893,14.759,13.839
1963,11.078,12.174,10.877,12.354,18.074,28.438,33.885,33.502,31.661,21.695,15.518,13.863
1964,11.715,12.254,11.832,13.179,17.47,28.762,32.168,33.418,30.877,21.846,14.458,13.863
1965,12.381,12.355,11.094,11.977,18.131,31.519,33.609,33.622,30.841,21.731,15.058,13.124
1966,11.417,13.363,11.337,13.217,19.369,28.338,34.955,33.267,30.841,21.511,15.456,13.863
1967,11.779,12.879,10.329,12.519,18.246,29.699,33.403,33.418,30.841,21.634,14.391,14.042
1968,11.28,11.431,10.877,12.303,18.531,29.335,33.403,33.418,31.804,21.767,14.857,13.839
1969,11.665,12.978,12.733,12.834,18.012,29.739,33.324,33.418,30.901,21.695,16.075,13.364
1970,11.779,11.83,10.911,13.181,17.896,27.035,33.394,33.418,30.824,21.695,14.318,13.818
1971,11.779,12.138,10.854,11.588,16.128,26.417,31.585,31.518,30.801,21.695,14.918,13.863
1972,11.6,11.291,10.253,12.418,17.631,28.023,34.226,33.26,29.619,20.256,14.857,13.903
1973,12.179,11.955,10.718,13.2,18.131,28.193,32.424,33.418,30.843,21.615,14.463,13.141
1974,11.501,11.699,11.771,13.4,17.793,28.1,32.86,31.095,30.801,22.891,14.418,12.999
1975,11.162,12.355,10.994,13.195,19.033,27.939,32.163,33.144,30.901,22.971,14.216,13.482
1976,12.139,12.138,11.094,11.818,17.83,27.875,33.13,31.692,30.717,21.679,16.62,13.863
1977,12.164,11.754,11.692,11.888,16.151,28.539,34.449,33.418,30.877,21.731,16.238,13.863
1978,11.518,11.677,9.729,11.941,19.154,28.476,33.888,34.163,30.501,21.731,15.68,14.205
1979,12.479,11.191,10.793,12.479,18.031,29.156,33.349,33.418,30.717,22.973,17.661,14.822
1980,11.819,12.556,10.994,13.441,18.731,26.495,30.921,33.418,30.521,22.296,15.058,13.863
1981,11.94,12.596,11.07,12.519,17.329,28.378,31.829,33.418,30.801,21.095,14.34,13.939
1982,12.557,11.339,9.893,11.876,17.608,27.374,35.752,33.336,31.281,21.695,15.058,13.88
1983,11.463,11.794,11.192,11.994,17.253,29.158,32.622,33.26,30.801,21.81,14.418,13.863
1984,11.779,11.356,11.513,12.519,19.055,27.112,33.475,33.283,30.801,21.731,14.293,13.863
1985,11.58,12.138,12.01,12.959,18.131,29.478,33.349,33.418,30.901,21.216,15.058,14.542
1986,11.779,12.138,10.994,12.619,17.206,28.278,32.185,33.26,30.818,21.332,15.058,13.963
1987,11.74,12.732,10.994,12.758,18.012,31.798,34.723,34.521,30.901,21.595,14.998,13.863
1988,12.34,12.754,11.094,13.195,19.276,28.118,33.475,33.418,32.32,21.695,15.058,14.77
1989,11.417,12.656,11.094,12.758,18.131,27.338,33.349,32.017,30.901,21.695,15.058,13.863
1990,12.706,12.573,10.694,12.741,18.069,28.738,32.345,33.418,30.901,21.695,15.058,13.963
1991,11.58,12.915,11.513,12.655,18.533,28.537,34.256,33.418,30.901,21.695,14.816,13.863
1992,11.418,11.255,11.775,13.035,17.51,28.475,34.367,33.441,30.824,21.695,15.438,13.863
1993,12.46,12.956,10.519,11.943,18.19,29.57,34.632,33.441,30.901,22.329,15.058,14.04
1994,12.64,12.138,11.991,11.818,19.516,28.476,33.549,33.441,30.901,21.695,14.958,13.863
1995,11.117,12.579,10.897,12.619,19.873,29.869,33.549,33.418,30.841,22.908,14.958,14.648
1996,11.858,11.632,11.951,12.619,19.329,28.424,33.549,33.418,30.901,21.695,15.212,13.982
1997,11.779,11.556,11.193,12.437,18.124,28.92,36.964,33.418,30.801,20.534,14.958,14.557
1998,10.755,12.839,10.489,13.078,18.516,31.01,33.549,33.418,31.036,23.584,17.378,14.265
1999,11.582,13.299,11.754,14.577,18.19,28.402,33.811,33.418,30.841,21.914,16.42,14.984
2000,12.725,12.33,11.133,13.577,18.231,27.816,33.549,33.435,30.901,23.231,17.094,14.53
2001,11.959,12.732,11.169,12.538,18.167,26.996,33.253,33.418,31.239,23.167,16.233,13.863
2002,12.381,12.813,11.968,12.844,19.104,28.46,36.648,33.418,30.901,21.695,15.058,13.863
