Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1951,10.497,11.159,10.938,11.631,17.712,26.836,33.566,32.057,29.4,20.252,13.576,12.252
1952,11.773,11.889,10.793,13.234,18.23,26.883,32.583,31.965,30.024,19.004,13.173,12.229
1953,10.166,12.61,13.197,12.657,18.592,28.133,32.483,32.08,29.563,19.004,12.968,12.856
1954,10.512,11.907,11.41,13.341,19.656,26.809,32.404,32.105,29.497,17.794,12.961,12.027
1955,10.505,11.408,12.068,11.739,17.466,27.944,32.405,32.03,29.472,19.029,13.199,12.229
1956,10.974,11.437,10.838,13.279,18.519,26.037,31.319,32.057,29.348,18.599,13.295,12.099
1957,10.873,11.09,10.238,11.666,17.419,26.991,32.452,32.057,29.472,18.956,14.025,12.247
1958,11.896,11.588,11.386,13.238,18.427,29.509,32.549,32.149,29.449,19.07,13.413,12.229
1959,10.997,11.084,11.273,12.512,17.603,26.809,32.38,32.057,29.472,19.004,13.576,12.508
1960,10.573,12.985,10.838,12.269,17.686,28.396,32.452,32.148,29.45,19.004,12.846,12.422
1961,10.997,10.285,11.785,12.512,17.664,26.836,32.755,32.057,29.472,19.86,13.349,10.853
1962,10.553,11.503,10.915,12.439,17.514,29.348,34.283,32.057,29.472,18.112,13.836,12.352
1963,10.398,11.729,10.786,12.263,17.467,26.909,33.349,32.148,30.372,19.005,14.003,12.229
1964,10.814,11.384,11.869,13.465,16.486,27.836,31.995,32.057,29.5,19.606,12.946,12.329
1965,11.83,11.389,10.743,11.836,17.672,30.306,32.634,32.274,29.472,19.004,13.576,11.378
1966,10.478,12.761,11.351,13.294,18.378,26.736,34.286,32.08,29.472,19.012,13.554,12.031
1967,10.916,11.993,10.224,12.462,17.467,27.734,32.38,32.057,29.194,18.913,12.836,12.253
1968,10.445,10.476,10.64,12.338,17.458,27.159,31.867,32.057,29.104,19.004,13.275,12.229
1969,10.974,11.888,12.365,12.443,17.319,27.841,31.899,32.057,29.472,19.004,14.178,11.729
1970,10.997,10.808,10.739,13.165,17.341,25.334,31.922,32.057,29.637,18.809,13.073,12.004
1971,10.997,11.092,10.762,12.016,15.689,25.05,31.46,30.255,29.153,19.004,13.576,12.377
1972,11.23,10.476,10.432,12.389,17.904,27.2,32.941,31.565,28.569,17.87,13.576,12.311
1973,11.32,10.985,10.773,13.181,17.476,26.196,31.922,32.057,29.497,19.004,12.929,11.527
1974,10.997,10.976,11.943,13.396,17.467,26.266,32.075,29.966,29.119,20.256,13.272,11.471
1975,10.15,11.262,10.838,13.247,18.404,25.706,31.848,31.932,29.83,19.559,13.12,12.202
1976,11.544,11.11,10.89,11.826,16.682,25.753,32.129,30.354,29.175,18.83,14.518,12.229
1977,11.396,10.785,11.242,11.895,15.438,27.659,32.759,32.057,29.497,19.004,14.5,12.229
1978,10.997,10.384,9.587,11.922,18.77,26.939,32.638,32.715,29.756,19.004,14.077,12.628
1979,11.596,10.341,10.542,12.462,17.367,26.991,32.306,31.88,29.447,20.231,15.386,12.58
1980,10.997,11.736,10.815,13.286,18.816,25.121,30.341,32.057,29.472,19.708,13.576,12.277
1981,10.899,11.387,10.59,12.512,17.44,26.859,31.521,32.105,29.472,18.709,13.168,12.229
1982,10.997,10.683,9.434,11.787,16.148,25.86,34.406,32.008,29.472,19.004,13.576,12.74
1983,10.471,10.603,10.542,11.311,16.581,27.394,31.772,31.965,29.515,19.004,13.329,12.229
1984,10.852,10.41,11.921,12.462,18.745,25.969,32.38,31.464,29.292,19.004,13.173,12.229
1985,10.615,11.366,12.077,12.489,17.467,27.155,32.356,32.057,29.449,18.713,13.576,12.948
1986,10.997,11.135,10.791,12.462,16.123,26.691,31.677,32.008,29.472,18.982,13.576,11.913
1987,10.873,11.836,10.935,12.487,16.947,29.512,34.876,33.918,29.472,19.501,13.298,12.618
1988,11.9,12.034,10.838,13.581,18.625,26.658,32.38,32.057,31.35,19.657,13.576,13.019
1989,10.423,11.488,10.856,12.386,17.467,25.561,32.356,30.453,29.515,19.004,13.576,12.254
1990,12.264,11.529,10.311,12.264,17.068,27.431,31.824,32.057,29.848,18.704,13.576,12.229
1991,10.749,11.936,11.208,12.264,18.525,26.817,33.887,32.057,29.497,18.956,13.127,12.229
1992,10.971,10.337,11.205,12.68,16.582,26.827,32.583,32.057,29.497,18.981,13.706,12.229
1993,11.613,12.231,10.331,11.528,17.467,26.939,32.9,32.113,29.472,18.932,13.872,12.301
1994,11.889,11.182,11.735,11.83,18.258,27.332,32.506,32.057,29.637,18.982,13.477,12.452
1995,10.479,11.28,10.938,12.539,19.526,28.478,32.56,31.6,29.517,19.247,13.341,13.005
1996,10.997,11.092,11.509,12.539,18.503,26.845,31.699,32.035,29.545,18.931,14.074,12.042
1997,10.997,10.908,10.938,12.104,16.92,26.309,35.963,32.057,29.472,17.179,13.576,12.186
1998,10.012,11.821,10.312,12.779,18.545,28.27,32.429,32.057,29.787,19.907,15.594,12.916
1999,11.165,12.818,12.282,14.728,17.565,26.935,33.672,32.057,29.613,19.457,15.344,13.057
2000,12.019,11.159,10.929,13.303,17.467,26.093,32.459,32.057,29.92,20.16,15.079,13.277
2001,11.335,11.884,11.134,12.514,17.51,25.136,33.011,32.799,30.058,20.151,14.56,12.895
2002,11.804,11.608,11.639,12.96,18.759,26.883,36.189,32.057,29.551,19.004,13.722,12.329
