Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1951,11.744,12.697,12.142,13.805,20.888,29.747,33.585,33.731,31.635,24.538,15.942,13.96
1952,12.885,13.666,12.042,14.367,21.584,29.91,33.585,33.62,31.578,23.039,15.305,13.948
1953,12.069,14.016,14.101,14.526,22.157,30.84,33.573,33.725,31.559,23.033,15.399,14.468
1954,12.069,13.764,12.342,15.707,22.442,29.641,33.585,33.725,31.584,22.325,14.705,13.96
1955,11.782,12.805,12.55,13.627,20.677,30.296,33.691,33.619,31.578,23.145,15.26,13.96
1956,12.363,12.522,11.942,14.922,21.55,28.195,32.423,33.625,31.401,23.045,15.299,13.96
1957,12.98,12.385,11.085,13.346,21.589,30.607,33.776,33.639,31.536,22.961,15.884,14.318
1958,13.258,13.279,12.256,15.027,21.508,32.11,33.685,33.836,31.578,23.201,15.648,13.96
1959,12.384,12.966,12.534,14.147,21.437,29.652,33.585,33.725,31.201,23.396,15.942,13.96
1960,12.134,13.616,12.042,14.308,21.237,30.717,33.691,33.825,31.64,23.139,15.247,13.96
1961,12.378,11.984,13.171,14.426,20.876,29.718,33.785,33.736,31.655,23.632,15.362,12.751
1962,11.619,13.059,12.042,14.147,20.876,31.931,35.035,33.731,31.678,22.407,15.504,13.96
1963,11.49,12.98,11.842,13.947,20.776,29.752,33.962,33.836,32.222,23.139,16.343,13.96
1964,12.277,12.966,12.816,14.565,20.157,29.817,32.273,33.725,31.646,23.396,15.425,13.96
1965,12.814,13.107,12.042,13.638,20.858,32.436,33.604,33.725,31.559,23.134,15.942,13.352
1966,12.069,14.008,12.241,14.641,21.995,29.541,34.556,33.544,31.564,22.78,16.433,13.96
1967,12.378,13.745,11.346,14.048,21.014,31.026,33.556,33.725,31.578,22.933,15.241,14.332
1968,11.963,12.357,11.919,13.682,21.437,30.431,33.585,33.725,32.254,23.147,15.747,13.799
1969,12.177,13.745,13.696,14.483,20.496,30.717,33.515,33.725,31.578,23.039,16.915,13.485
1970,12.378,12.671,11.842,14.584,20.4,28.419,33.728,33.72,31.578,23.12,15.161,13.65
1971,12.378,12.966,11.761,12.428,18.807,27.768,31.761,31.836,31.479,23.125,15.762,13.96
1972,12.097,12.142,11.218,13.947,20.276,29.379,34.178,33.462,30.298,21.558,15.661,14.04
1973,12.777,12.966,11.561,14.827,20.776,29.69,32.485,33.714,31.578,23.139,15.499,13.352
1974,11.911,12.565,12.55,14.785,20.496,29.509,32.961,31.937,31.485,24.152,15.318,13.137
1975,11.776,13.245,11.942,14.589,21.427,29.39,32.125,33.267,31.684,24.253,15.061,13.679
1976,12.619,12.966,11.965,13.409,20.725,29.39,33.096,32.274,31.296,23.033,17.603,13.96
1977,12.614,12.646,12.722,13.509,18.859,29.638,34.473,33.725,31.578,23.139,17.042,13.96
1978,11.996,12.708,10.748,13.603,21.696,29.684,33.865,34.357,31.006,23.231,16.633,14.255
1979,13.109,12.076,11.823,13.967,20.665,30.508,33.385,33.725,31.316,24.233,18.522,15.061
1980,12.534,13.303,11.967,14.947,21.376,27.929,31.482,33.725,31.098,23.638,15.942,13.96
1981,12.557,13.445,12.122,14.048,19.809,29.652,32.245,33.736,31.479,22.496,15.241,14.06
1982,13.128,12.314,11.005,13.538,20.494,28.877,35.397,33.614,32.097,23.207,15.942,13.96
1983,12.083,12.722,12.28,13.638,20.068,30.26,32.866,33.448,31.479,23.231,15.255,13.96
1984,12.378,12.227,12.25,14.048,21.508,28.453,33.591,33.513,31.401,23.139,15.241,13.96
1985,12.183,12.966,12.923,14.532,20.776,30.763,33.385,33.725,31.578,22.415,15.942,14.502
1986,12.378,12.966,11.942,14.147,19.883,29.441,32.105,33.363,31.479,22.558,15.942,14.06
1987,12.335,13.408,11.942,14.432,20.508,32.382,34.836,34.518,31.678,22.881,15.942,13.96
1988,12.771,13.554,12.042,14.69,21.795,29.235,33.585,33.725,32.654,23.039,15.942,15.021
1989,12.063,13.465,12.042,14.322,20.776,28.789,33.385,32.574,31.678,23.139,15.942,13.96
1990,13.234,13.365,11.727,14.328,20.533,29.966,32.404,33.725,31.64,23.139,15.942,14.06
1991,12.177,13.764,12.524,14.247,20.933,29.755,33.774,33.782,31.584,23.039,15.747,13.96
1992,11.897,12.046,12.933,14.633,20.125,29.896,34.527,33.81,31.578,23.12,16.261,13.948
1993,13.109,13.753,11.355,13.284,20.876,30.981,34.564,33.81,31.635,24.382,15.954,14.499
1994,13.245,12.811,13.073,13.62,22.23,29.904,33.585,33.81,31.635,23.039,15.836,13.96
1995,11.628,13.557,12.142,14.152,22.308,31.558,33.585,33.805,31.552,24.467,15.764,14.747
1996,12.538,12.653,12.999,14.147,22.06,29.074,33.585,33.799,31.584,23.033,16.078,14.255
1997,12.358,12.207,12.142,13.887,20.814,30.673,36.345,33.787,31.578,22.024,15.842,14.572
1998,11.588,13.736,11.972,14.724,20.948,32.467,33.585,33.731,31.789,25.501,18.156,14.036
1999,12.372,14.089,12.624,16.547,20.888,29.783,33.624,33.725,31.578,23.36,17.076,15.058
2000,13.329,13.25,12.142,15.155,20.87,29.411,33.585,33.725,31.584,24.172,17.901,14.315
2001,12.582,13.484,12.142,14.147,20.876,28.879,33.236,33.731,31.93,24.538,17.233,13.96
2002,12.808,13.764,12.868,14.289,21.292,29.803,35.809,33.805,31.584,23.039,15.942,13.96
