Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1951,10.851,11.572,11.137,12.193,18.269,27.599,33.633,32.743,30.123,21.364,14.389,12.966
1952,12.068,12.367,11.109,13.437,19.091,27.698,33.055,32.63,30.472,20.272,13.9,12.966
1953,10.639,13.011,13.329,12.899,19.242,28.806,33.014,32.743,30.195,20.272,13.646,13.614
1954,10.861,12.31,11.579,13.704,20.325,27.544,32.896,32.743,30.151,19.125,13.532,12.909
1955,10.809,11.804,12.051,12.053,17.997,28.98,32.929,32.643,30.122,20.372,13.905,12.966
1956,11.31,11.738,11.038,13.545,19.045,26.746,31.567,32.647,29.982,19.988,13.997,12.966
1957,11.214,11.455,10.427,12.011,18.03,27.83,33.055,32.743,30.122,20.172,14.649,13.025
1958,12.168,12.083,11.536,13.512,18.955,30.449,33.113,32.883,30.122,20.372,13.969,12.966
1959,11.31,11.538,11.45,12.782,18.214,27.598,32.868,32.743,30,20.372,14.363,13.092
1960,10.925,13.126,11.097,12.545,18.093,29.138,33.055,32.842,30.123,20.324,13.563,13.035
1961,11.31,10.824,11.937,12.787,18.228,27.603,33.266,32.743,30.196,21.058,14.101,11.657
1962,10.804,12.013,11.137,12.754,18.188,30.577,34.819,32.743,30.196,19.282,14.445,13.06
1963,10.751,11.954,10.978,12.604,18.088,27.71,33.726,32.855,31.023,20.285,14.823,12.966
1964,11.18,11.819,11.922,13.69,17.156,28.367,32.327,32.743,30.151,20.749,13.763,13.006
1965,12.099,11.878,11.038,12.108,18.232,31.033,33.154,32.848,30.11,20.272,14.363,12.175
1966,10.766,13.108,11.509,13.531,19.044,27.502,34.888,32.789,30.122,20.257,14.392,12.909
1967,11.269,12.376,10.449,12.753,18.092,28.519,32.868,32.743,29.996,20.16,13.59,12.966
1968,10.76,10.924,10.932,12.712,18.114,28.15,32.519,32.743,30.194,20.418,14.065,12.966
1969,11.31,12.311,12.528,12.692,18.082,28.898,32.543,32.743,30.122,20.272,15.159,12.475
1970,11.31,11.273,10.936,13.445,17.868,26.199,32.571,32.73,30.253,20.148,13.9,12.789
1971,11.31,11.528,10.936,12.12,16.38,25.969,31.764,30.888,29.946,20.272,14.358,13.064
1972,11.392,10.936,10.473,12.753,18.177,27.589,33.744,32.469,29.255,19.081,14.349,12.994
1973,11.625,11.47,10.935,13.327,18.092,26.935,32.263,32.743,30.07,20.268,13.665,12.225
1974,11.305,11.414,12.01,13.653,18.082,27.013,32.55,30.318,29.887,21.573,13.998,12.188
1975,10.583,11.777,11.038,13.54,19.083,26.638,32.177,32.542,30.291,21.022,13.799,12.956
1976,11.809,11.623,11.042,12.101,17.314,26.666,32.546,31.078,29.791,20.136,15.413,12.966
1977,11.714,11.224,11.547,12.057,16.258,28.324,33.802,32.743,30.151,20.324,15.369,12.966
1978,11.305,10.911,9.844,12.203,19.334,27.731,33.118,33.633,30.273,20.272,14.864,13.449
1979,11.859,10.832,10.796,12.753,17.981,27.83,32.803,32.702,30.1,21.476,16.378,13.438
1980,11.31,12.167,11.132,13.612,19.237,25.831,30.157,32.743,30.117,20.973,14.363,12.966
1981,11.282,11.883,10.909,12.792,17.962,27.612,31.935,32.793,30.113,19.896,13.841,12.966
1982,11.351,11.073,9.808,12.16,16.929,26.422,34.914,32.647,30.062,20.272,14.363,13.23
1983,10.824,11.137,10.873,11.89,17.23,28.144,32.081,32.546,30.151,20.272,13.998,12.966
1984,11.269,10.924,11.854,12.753,19.211,26.463,32.896,32.255,30.122,20.294,13.841,12.883
1985,11.011,11.819,12.014,12.904,18.092,27.923,32.842,32.743,30.122,20.196,14.363,13.742
1986,11.31,11.623,10.996,12.753,16.928,27.404,32.062,32.634,30.122,20.208,14.363,12.883
1987,11.21,12.268,11.078,12.787,17.615,30.472,34.841,34.384,30.2,20.534,14.078,13.12
1988,12.082,12.408,11.053,13.681,19.184,27.302,32.868,32.743,31.998,20.727,14.363,13.764
1989,10.81,11.981,11.137,12.717,18.092,26.339,32.855,30.958,30.226,20.272,14.363,13.05
1990,12.197,12.022,10.637,12.713,17.851,28.139,32.242,32.73,30.295,20.146,14.363,12.97
1991,11.069,12.418,11.614,12.639,19.003,27.702,33.966,32.743,30.2,20.272,13.979,12.966
1992,11.245,10.919,11.611,12.999,17.133,27.599,33.138,32.743,30.122,20.272,14.467,12.966
1993,11.968,12.663,10.655,11.944,18.143,27.77,33.594,32.743,30.123,20.478,14.7,13.147
1994,12.174,11.572,11.883,12.147,19.045,27.841,33.026,32.743,30.228,20.272,14.264,13.16
1995,10.669,11.891,11.154,12.841,19.933,28.607,33.043,32.743,30.057,20.579,14.168,13.764
1996,11.31,11.436,11.866,12.841,19.301,27.609,32.392,32.743,30.151,20.244,14.79,12.988
1997,11.31,11.263,11.164,12.589,17.761,27.274,36.744,32.743,30.151,18.8,14.346,13.089
1998,10.084,12.283,10.501,13.234,18.833,29.402,32.906,32.743,30.459,21.75,16.176,13.689
1999,11.362,13.205,12.282,14.805,18.251,27.697,33.917,32.743,30.195,20.609,16.217,13.652
2000,12.321,11.729,11.15,13.68,18.102,27.122,32.99,32.743,30.35,21.496,16.051,13.882
2001,11.668,12.389,11.273,12.841,18.188,26.132,33.423,33.232,30.842,21.633,15.407,13.293
2002,12.013,12.143,11.909,13.153,19.295,27.653,36.287,32.743,30.264,20.272,14.554,12.966
