Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1951,10.024,10.605,9.554,8.98,13.867,25.495,32.461,30.36,28.286,19.626,13.173,11.562
1952,11.449,11.643,9.454,10.454,15.011,25.233,31.606,30.328,28.39,18.264,12.366,11.562
1953,10.202,11.392,11.701,10.025,15.035,27.754,31.664,30.304,28.137,18.286,12.058,12.107
1954,10.024,11.33,9.678,10.124,15.457,26.634,31.49,30.304,28.272,16.69,12.324,11.562
1955,10.523,10.671,10.199,9.136,13.911,26.609,31.664,30.304,28.158,17.637,11.961,11.559
1956,10.68,10.596,9.454,10.182,14.91,24.394,30.44,30.304,28.137,17.533,11.936,11.562
1957,10.94,10.074,8.733,9.169,13.911,26.345,31.604,30.993,28.158,18.329,12.726,11.561
1958,11.766,11.108,9.996,10.891,14.935,28.976,31.664,30.802,28.201,18.032,12.733,11.582
1959,10.726,10.529,10.153,9.769,13.944,26.204,31.604,30.281,28.137,18.353,12.758,11.562
1960,10.622,11.313,9.454,9.928,14.454,27.953,31.511,30.304,28.221,18.088,11.958,11.773
1961,10.647,9.806,10.013,10.005,13.867,25.539,31.631,30.304,27.484,18.038,12.202,10.588
1962,10.314,10.774,9.433,9.714,13.911,28.128,33.311,30.304,27.364,16.693,12.644,11.628
1963,10.069,10.695,9.079,9.668,13.468,25.053,31.534,30.304,28.044,18.221,14.236,11.562
1964,10.647,10.676,10.469,9.792,13.577,25.672,30.118,30.304,28.335,18.222,11.981,11.562
1965,11.469,10.855,9.313,9.149,14.098,28.724,31.664,31.972,28.335,18.329,12.758,10.957
1966,10.302,12.13,9.408,10.421,14.655,25.091,33.554,30.304,28.884,19.037,13.213,11.521
1967,10.647,11.31,9.017,9.713,13.911,26.423,31.49,30.2,27.51,18.221,12.732,11.783
1968,10.233,9.828,9.146,9.582,13.814,26.043,30.987,30.304,28.586,18.221,12.457,11.562
1969,10.592,11.33,10.833,10.124,13.374,26.912,31.637,30.304,28.286,19.054,13.497,11.136
1970,10.68,10.402,9.429,10.732,14.119,24.108,31.32,30.304,27.773,18.329,12.167,11.219
1971,10.648,10.529,9.197,9.412,12.651,22.308,28.759,29.056,28.201,18.175,12.535,11.411
1972,10.515,9.828,8.897,9.769,13.793,27.284,33.513,29.475,27.098,17.756,12.58,11.846
1973,11.082,10.087,9.187,10.29,14.817,25.463,30.893,30.304,28.001,17.808,11.945,10.749
1974,10.394,10.083,10.08,10.813,13.698,24.506,31.048,27.858,27.995,19.155,12.345,10.761
1975,10.213,10.688,9.355,10.529,14.989,24.876,30.362,30.36,28.137,18.768,11.936,10.928
1976,11.027,10.529,9.454,9.316,13.911,24.755,31.511,28.912,28.158,18.328,14.241,11.563
1977,10.673,10.497,10.241,9.698,12.882,25.612,31.732,30.304,27.988,18.373,14.024,11.705
1978,10.394,9.829,8.297,9.235,15.57,25.62,30.853,28.697,27.352,18.597,13.543,11.861
1979,11.449,9.829,9.055,9.669,13.782,25.542,31.639,30.328,28.861,19.519,15.624,12.292
1980,10.825,11.26,9.454,10.57,14.322,23.995,28.873,30.281,27.627,19.149,12.758,11.562
1981,10.573,10.888,9.433,9.574,13.755,25.639,29.807,30.304,28.137,18.06,11.958,11.562
1982,11.172,9.829,8.209,9.144,12.869,25.468,34.199,30.304,28.204,18.603,12.758,12.28
1983,10.269,10.128,9.611,9.036,13.131,26.718,31.227,30.36,28.158,18.329,12.039,11.561
1984,10.703,9.742,10.1,9.714,15.549,24.673,31.664,30.328,28.286,18.353,12.026,11.751
1985,10.745,10.628,10.732,10.149,14.478,26.466,31.511,30.328,28.158,17.843,12.758,12.185
1986,10.747,10.186,9.454,9.769,13.064,25.573,30.104,30.304,28.158,18.283,12.758,11.562
1987,10.505,11.032,9.429,9.83,13.072,28.897,32.955,32.357,29.595,18.61,12.713,11.562
1988,11.626,11.33,9.477,10.57,15.452,25.704,31.426,30.281,29.983,18.221,12.758,12.118
1989,10.577,10.793,9.282,10.102,14.263,24.284,31.511,29.905,28.158,18.221,13.311,11.562
1990,11.862,10.709,8.935,9.882,13.445,25.538,29.867,31.018,28.221,18.286,12.78,11.562
1991,10.622,11.33,9.479,9.794,14.834,25.682,33.464,30.328,29.127,18.221,12.713,11.562
1992,10.845,10.046,9.567,10.181,13.917,25.729,32.63,30.304,28.158,18.373,13.495,11.562
1993,10.928,11.287,8.855,9.743,14.108,26.358,33.507,31.732,27.846,18.465,12.758,11.561
1994,11.48,10.605,10.209,9.169,15.001,25.629,31.664,30.304,28.137,18.373,12.758,11.452
1995,10.191,10.808,9.1,9.745,14.746,28.109,31.606,30.304,28.641,19.295,12.733,12.261
1996,10.903,10.397,10.199,9.769,14.401,26.751,31.664,30.304,28.137,18.286,12.758,11.12
1997,10.592,10.138,9.487,9.15,13.123,26.518,32.765,30.38,28.335,17.294,12.835,11.847
1998,10.585,11.054,8.855,9.951,14.787,26.7,31.664,30.963,28.541,18.939,14.732,11.687
1999,10.336,11.234,9.905,10.96,13.891,25.559,31.657,30.304,28.335,18.221,14.008,12.009
2000,11.547,10.586,9.534,10.595,13.771,24.241,31.606,31.056,28.335,19.957,14.243,12.359
2001,10.726,11.262,9.454,9.46,13.887,22.786,31.039,31.004,28.853,19.518,13.655,11.771
2002,11.186,10.729,10.154,10.311,14.935,25.785,34.839,30.304,28.137,18.809,12.758,12.221
