Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1951,10.485,11.053,10.567,10.959,16.885,26.853,33.966,32.134,29.785,20.344,13.547,12.425
1952,11.826,11.856,10.468,12.536,18.019,26.878,32.991,32.133,29.958,18.997,13.049,12.425
1953,10.291,12.549,12.937,12,18.118,28.26,32.918,32.134,29.759,18.997,12.746,13.126
1954,10.426,11.854,10.966,12.656,18.954,26.818,32.719,32.134,29.758,17.583,12.892,12.394
1955,10.625,11.227,11.573,11.201,16.852,28.391,32.719,32.134,29.758,18.996,13.081,12.386
1956,11.025,11.187,10.468,12.643,17.951,25.941,31.314,32.134,29.617,18.65,13.081,12.394
1957,10.992,10.859,9.867,11.201,16.852,27.351,32.719,32.134,29.717,18.997,13.92,12.453
1958,11.927,11.621,10.968,12.81,18.03,30.314,32.986,32.135,29.717,19.025,13.353,12.428
1959,11.025,11.02,11.133,11.9,16.919,26.818,32.719,32.134,29.718,18.997,13.547,12.531
1960,10.653,12.594,10.534,11.799,16.992,28.617,32.719,32.135,29.76,18.997,12.746,12.425
1961,11.025,10.181,11.37,11.9,16.885,26.851,33.079,32.134,29.679,19.45,13.18,10.888
1962,10.599,11.423,10.567,11.9,16.892,30.172,34.785,32.134,29.718,17.892,13.612,12.499
1963,10.425,11.39,10.367,11.701,16.825,26.88,33.386,32.135,30.617,18.997,14.049,12.425
1964,10.893,11.254,11.402,12.806,16.025,27.684,31.92,32.134,29.786,19.362,12.845,12.459
1965,11.899,11.354,10.468,11.202,17.024,30.42,33.019,32.78,29.786,18.997,13.547,11.569
1966,10.528,12.626,10.829,12.694,18.058,26.818,34.818,32.161,29.757,19.111,13.601,12.393
1967,10.993,11.887,9.94,11.9,16.892,27.836,32.719,32.128,29.612,18.995,12.987,12.425
1968,10.505,10.255,10.307,11.866,16.821,27.411,31.839,32.134,30.238,18.997,13.247,12.425
1969,11.025,11.854,12.093,11.899,16.66,28.485,32.314,32.134,29.758,18.997,14.438,11.926
1970,11.025,10.654,10.408,12.741,16.794,25.418,32.353,32.134,29.787,18.924,12.949,12.291
1971,11.025,11.052,10.367,11.475,15.116,24.878,31.18,30.301,29.65,18.997,13.48,12.526
1972,11.09,10.255,9.87,11.9,16.767,27.112,33.837,31.968,28.691,18.008,13.519,12.458
1973,11.392,10.814,10.4,12.395,17.07,26.458,32.055,32.134,29.691,18.997,12.754,11.587
1974,11.025,10.687,11.5,12.974,16.825,26.149,32.319,29.746,29.512,20.296,13.081,11.529
1975,10.251,11.221,10.468,12.799,18.018,25.912,31.927,32.074,29.713,19.827,12.881,12.26
1976,11.528,11.053,10.567,11.475,16.087,25.912,32.586,30.268,29.584,18.964,14.685,12.425
1977,11.385,10.654,11.099,11.441,14.935,27.512,33.332,32.134,29.717,18.997,14.473,12.425
1978,10.959,10.253,9.169,11.374,18.166,27.021,33.178,32.104,29.544,18.997,14.046,12.784
1979,11.665,10.224,10.265,11.9,16.833,27.351,32.719,32.102,29.761,20.298,15.845,12.852
1980,11.025,11.654,10.468,12.76,17.89,24.815,29.444,32.094,29.652,19.876,13.547,12.425
1981,11.024,11.38,10.333,11.9,16.673,26.851,31.448,32.134,29.717,18.669,12.882,12.425
1982,11.186,10.387,9.135,11.201,15.825,25.639,34.914,32.134,29.785,18.997,13.547,12.844
1983,10.524,10.521,10.331,10.992,15.893,27.658,32.265,32.105,29.787,18.997,13.179,12.425
1984,11.024,10.211,11.5,11.9,18.138,25.514,32.719,31.867,29.689,18.997,12.955,12.425
1985,10.695,10.976,11.672,12.066,16.892,27.28,32.719,32.134,29.717,18.932,13.547,13.153
1986,11.025,11.011,10.468,11.9,15.758,26.79,31.855,32.134,29.758,18.942,13.547,12.39
1987,10.926,11.794,10.468,11.9,16.558,30.291,34.908,33.988,29.75,19.215,13.313,12.46
1988,11.898,11.854,10.495,12.835,18.232,26.719,32.719,32.095,31.618,19.434,13.547,13.127
1989,10.491,11.521,10.496,11.967,16.891,25.551,32.719,30.719,29.747,18.997,13.55,12.425
1990,12,11.382,10.034,11.866,16.656,27.352,31.953,32.134,29.783,18.93,13.547,12.452
1991,10.825,11.854,10.893,11.865,17.899,27.021,34.54,32.134,29.717,18.997,13.186,12.425
1992,10.898,10.28,10.794,12.132,16.131,26.82,33.219,32.133,29.758,18.997,13.954,12.425
1993,11.553,11.886,9.868,11.5,16.891,27.318,34.059,32.212,29.714,18.997,13.615,12.425
1994,11.854,11.053,11.329,11.203,17.786,27.087,32.957,32.134,29.787,18.997,13.446,12.559
1995,10.597,11.249,10.54,12,19.023,28.577,32.991,31.967,29.718,19.323,13.445,13.185
1996,11.025,10.959,11.262,12,18.088,27.018,32.617,32.134,29.718,18.997,13.878,12.218
1997,11.025,10.688,10.567,11.528,16.075,27.117,35.928,32.134,29.717,17.398,13.547,12.617
1998,10.237,11.852,9.867,12.226,17.831,28.272,32.851,32.134,29.88,19.904,15.879,12.925
1999,10.959,12.416,11.493,13.619,16.852,27.019,33.686,32.134,29.787,19.158,15.208,13.214
2000,12.025,11.081,10.535,12.768,16.892,25.839,32.985,32.134,29.825,20.326,15.24,13.427
2001,11.148,11.782,10.599,11.96,16.893,24.766,32.821,32.504,29.941,20.294,14.29,12.794
2002,11.896,11.416,11.295,12.401,17.952,26.987,36.836,32.134,29.852,18.997,13.547,12.526
