Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1951,10.971,11.714,10.915,11.829,17.801,27.956,33.857,33.142,30.584,22.098,14.584,13.541
1952,12.271,12.414,10.915,12.916,18.901,28.056,33.4,33.042,30.543,20.798,13.985,13.541
1953,10.942,13.115,13.144,12.586,19.001,29.214,33.4,33.142,30.513,20.798,13.855,14.241
1954,10.972,12.415,11.315,13.557,20,27.885,33.199,33.142,30.513,19.74,13.614,13.541
1955,10.971,11.715,11.715,11.687,17.729,29.215,33.342,33.042,30.513,20.898,14.084,13.541
1956,11.471,11.715,10.815,13.214,18.829,26.885,31.87,33.071,30.413,20.669,14.014,13.541
1957,11.471,11.315,10.143,11.687,17.8,28.484,33.4,33.142,30.513,20.698,14.785,13.712
1958,12.372,12.215,11.244,13.186,18.8,31.041,33.499,33.242,30.513,20.898,14.285,13.541
1959,11.471,11.715,11.414,12.386,18.1,27.885,33.199,33.142,30.342,20.898,14.584,13.541
1960,11.172,12.844,10.915,12.287,17.87,29.514,33.4,33.242,30.584,20.87,13.785,13.541
1961,11.471,10.915,11.715,12.485,17.871,27.985,33.6,33.142,30.584,21.498,14.185,12.113
1962,10.871,11.914,10.915,12.456,17.871,31.242,35.228,33.142,30.584,19.869,14.514,13.541
1963,10.871,11.815,10.715,12.187,17.772,27.985,33.8,33.242,31.414,20.798,15.085,13.541
1964,11.371,11.814,11.615,13.187,17,28.514,32.4,33.142,30.513,21.028,13.985,13.541
1965,12.2,11.914,10.815,11.787,17.9,31.314,33.499,33.328,30.513,20.798,14.584,12.741
1966,11.042,13.044,11.215,13.116,18.9,27.885,35.058,33.114,30.513,20.698,14.785,13.541
1967,11.471,12.415,10.215,12.386,17.8,29.055,33.199,33.142,30.513,20.698,13.815,13.541
1968,10.871,10.943,10.686,12.386,18.013,28.756,32.742,33.142,31.197,21.041,14.356,13.541
1969,11.471,12.414,12.415,12.485,17.729,29.514,33.071,33.142,30.513,20.798,15.585,13.042
1970,11.471,11.315,10.715,13.116,17.529,26.556,33.071,33.142,30.542,20.798,13.985,13.442
1971,11.471,11.714,10.715,11.715,15.972,26.156,31.701,31.271,30.513,20.798,14.486,13.57
1972,11.471,10.943,10.115,12.386,17.43,27.514,34.2,33.071,29.485,19.499,14.486,13.541
1973,11.872,11.485,10.644,12.957,17.8,27.484,32.4,33.142,30.455,20.769,13.956,12.742
1974,11.371,11.315,11.715,13.286,17.672,27.455,32.8,30.456,30.413,22.169,14.085,12.741
1975,10.843,11.814,10.815,13.116,18.829,27.185,32.3,32.943,30.584,21.798,13.885,13.342
1976,11.901,11.715,10.844,11.716,17.271,27.185,32.929,31.343,30.341,20.798,15.827,13.541
1977,11.901,11.314,11.386,11.716,15.901,28.414,34.3,33.142,30.513,20.87,15.685,13.541
1978,11.371,11.114,9.587,11.788,19.001,28.084,33.599,33.985,30.413,20.798,15.085,13.94
1979,12.071,10.815,10.614,12.386,17.701,28.484,33.199,33.142,30.442,22.027,16.984,14.112
1980,11.471,12.144,10.815,13.286,18.601,26.056,30.442,33.142,30.413,21.498,14.584,13.541
1981,11.471,12.014,10.786,12.387,17.33,27.956,31.901,33.143,30.513,20.299,13.885,13.541
1982,11.941,11.044,9.687,11.758,16.871,26.656,35.457,33.071,30.613,20.798,14.584,13.571
1983,11.072,11.243,10.815,11.757,16.872,28.613,32.428,32.972,30.513,20.798,14.085,13.541
1984,11.471,10.943,11.473,12.386,18.829,26.656,33.199,32.841,30.513,20.799,13.885,13.541
1985,11.242,11.814,11.743,12.686,17.8,28.556,33.199,33.142,30.513,20.627,14.584,14.271
1986,11.471,11.715,10.815,12.386,16.8,27.784,32.2,33.071,30.513,20.598,14.584,13.541
1987,11.442,12.314,10.815,12.485,17.5,31.212,34.743,34.571,30.613,20.799,14.385,13.541
1988,12.171,12.343,10.915,13.215,18.93,27.684,33.199,33.142,32.271,21.028,14.584,14.342
1989,11.042,12.114,10.915,12.485,17.8,26.585,33.199,31.513,30.613,20.798,14.584,13.541
1990,12.372,12.043,10.486,12.456,17.672,28.385,32.4,33.142,30.613,20.798,14.584,13.641
1991,11.27,12.415,11.387,12.386,18.459,28.084,34.386,33.142,30.613,20.798,14.285,13.541
1992,11.271,10.844,11.387,12.686,16.928,27.956,33.799,33.142,30.513,20.798,14.884,13.541
1993,12.171,12.485,10.387,11.843,17.801,28.583,34.328,33.142,30.584,21.013,14.785,13.684
1994,12.371,11.714,11.715,11.687,18.971,27.985,33.4,33.142,30.613,20.798,14.486,13.642
1995,10.871,11.985,10.816,12.486,19.729,28.8,33.4,33.142,30.513,21.468,14.414,14.342
1996,11.471,11.343,11.786,12.486,19.001,28.154,33.127,33.142,30.513,20.798,14.914,13.612
1997,11.471,11.243,11.015,12.258,17.614,28.182,37.072,33.142,30.513,19.469,14.486,13.912
1998,10.3,12.414,10.215,12.958,18.501,30.14,33.399,33.142,30.785,22.441,16.812,14.142
1999,11.371,13.016,11.716,14.7,17.871,27.985,34,33.142,30.513,21.07,16.214,14.369
2000,12.472,11.786,10.915,13.386,17.871,27.329,33.428,33.142,30.514,22.197,16.456,14.37
2001,11.743,12.415,10.916,12.486,17.871,26.47,33.472,33.271,31.057,22.198,15.685,13.641
2002,12.2,12.257,11.715,12.786,18.972,27.985,36.685,33.142,30.614,20.798,14.585,13.541
