Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1951,10.068,10.618,9.434,8.9,13.638,25.614,31.662,30.305,28.134,19.983,13.191,11.825
1952,11.461,11.57,9.333,10.124,14.683,25.446,31.277,30.275,28.054,18.707,12.355,11.763
1953,10.277,11.606,11.525,9.96,14.751,27.469,31.311,30.208,28.054,18.826,12.153,12.39
1954,10.134,11.378,9.532,10.299,15.064,26.438,31.274,30.211,28.127,17.415,12.355,11.769
1955,10.51,10.671,10.034,8.89,13.644,26.467,31.31,30.275,28.054,18.379,12.177,11.628
1956,10.769,10.511,9.333,10.165,14.647,23.901,30.334,30.275,28.054,18.15,12.123,11.831
1957,11.209,10.073,8.63,9.054,13.709,26.63,31.274,30.359,28.054,18.824,12.873,11.763
1958,11.636,11.109,9.775,10.611,14.581,28.976,31.368,30.573,28.056,18.646,12.862,11.767
1959,10.769,10.578,10.027,9.589,13.739,26.061,31.156,30.204,28.054,18.829,12.922,11.821
1960,10.607,11.166,9.333,9.869,13.993,27.621,31.159,30.269,28.063,18.709,12.123,12.004
1961,10.739,9.873,10.008,9.9,13.644,25.56,31.338,30.208,27.48,18.787,12.315,10.801
1962,10.257,10.773,9.329,9.55,13.703,28.545,33.004,30.21,27.722,17.482,12.643,11.831
1963,10.054,10.598,8.935,9.485,13.026,25.018,31.352,30.21,28.225,18.707,14.455,11.833
1964,10.672,10.68,10.2,9.601,13.519,25.726,29.719,30.275,28.134,18.766,12.123,11.823
1965,11.463,10.875,9.232,8.99,13.939,28.726,31.311,31.785,28.134,18.826,12.922,11.176
1966,10.371,12.167,9.273,10.323,14.636,25.298,33.168,30.211,28.398,19.366,13.435,11.833
1967,10.677,11.378,8.753,9.547,13.709,26.783,31.274,30.269,27.756,18.707,12.86,12.04
1968,10.101,9.879,8.996,9.271,13.592,26.311,30.975,30.211,28.859,18.707,12.626,11.833
1969,10.569,11.378,10.794,10.068,13.094,27.168,31.184,30.269,28.123,19.583,13.859,11.43
1970,10.769,10.41,9.273,10.422,13.868,24.118,31.099,30.211,27.823,18.826,12.224,11.59
1971,10.739,10.578,9.033,9.123,12.278,22.464,28.607,29.014,28.063,18.707,12.714,11.624
1972,10.464,9.81,8.676,9.587,13.303,27.399,33.08,29.423,26.876,18.123,12.659,11.83
1973,11.168,10.178,8.933,10.098,14.516,25.539,30.347,30.275,27.776,18.172,11.889,10.938
1974,10.361,10.128,10.003,10.52,13.321,24.375,30.536,27.174,27.74,19.776,12.397,11.031
1975,10.161,10.843,9.242,10.458,14.746,25.1,29.8,30.306,28.056,19.52,12.119,11.123
1976,11.117,10.588,9.333,9.082,13.636,24.997,31.156,28.859,28.056,18.748,14.256,11.91
1977,10.743,10.623,9.823,9.531,12.584,25.626,31.95,30.208,28.054,18.893,14.392,11.799
1978,10.361,9.88,8.131,8.994,15.043,25.713,31.198,28.923,27.49,19.102,13.629,12.192
1979,11.535,9.877,8.933,9.492,13.703,25.688,31.31,30.275,28.46,19.995,15.939,12.578
1980,10.874,11.257,9.333,10.39,14.216,23.435,28.638,30.204,27.437,19.345,12.922,11.823
1981,10.69,11.046,9.403,9.449,13.427,25.717,29.809,30.208,28.056,18.422,12.131,11.829
1982,11.503,9.887,8.068,8.989,12.695,25.554,34.259,30.211,28.398,19.127,12.922,12.397
1983,10.338,10.248,9.597,8.999,12.846,26.884,30.743,30.305,28.054,18.826,12.211,11.689
1984,10.769,9.878,9.925,9.493,15.045,24.253,31.368,30.275,28.123,18.827,12.123,11.868
1985,10.71,10.55,10.629,10.067,13.84,26.875,31.145,30.269,28.054,18.268,12.922,12.432
1986,10.769,10.337,9.337,9.527,12.846,25.651,29.862,30.208,28.056,18.616,12.922,11.833
1987,10.571,11.138,9.331,9.822,12.975,28.944,31.917,31.998,28.963,18.756,12.932,11.833
1988,11.667,11.378,9.343,10.383,15.003,25.589,31.099,30.204,29.854,18.696,12.922,12.494
1989,10.658,11.068,9.256,10,14.052,24.256,31.156,29.522,28.056,18.707,13.396,11.833
1990,11.834,10.781,8.833,9.78,13.082,25.816,29.634,30.585,28.056,18.826,12.926,11.765
1991,10.666,11.378,9.336,9.592,14.409,25.589,33.041,30.269,28.877,18.707,12.862,11.833
1992,10.869,9.964,9.604,10.101,13.673,25.63,32.503,30.275,28.054,18.827,13.731,11.833
1993,11.045,11.374,8.672,9.518,13.791,26.799,33.177,31.3,28.026,19.175,12.857,11.763
1994,11.57,10.618,10.207,8.994,14.863,25.614,31.31,30.211,28.056,18.827,12.92,11.631
1995,10.099,10.938,8.859,9.581,14.558,28.534,31.277,30.21,28.396,20.04,12.92,12.536
1996,10.979,10.314,10.034,9.589,14.206,26.745,31.376,30.21,28.056,18.826,12.917,11.566
1997,10.62,10.072,9.434,8.993,13.085,26.766,32.896,30.308,28.123,17.796,13.039,12.545
1998,10.451,11.136,8.732,9.857,14.191,26.972,31.374,30.614,28.239,19.623,15.22,12.002
1999,10.263,11.328,9.728,10.605,13.638,25.614,31.339,30.211,28.249,18.696,14.106,12.29
2000,11.57,10.685,9.439,10.45,13.666,24.262,31.277,30.948,28.134,20.253,14.197,12.556
2001,10.769,11.376,9.343,9.246,13.639,22.817,31.112,30.551,28.706,20.049,13.993,11.867
2002,11.333,10.906,10.099,10.09,14.645,25.744,34.082,30.21,28.056,19.327,12.922,12.575
