Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1951,11.357,12.379,11.89,13.363,20.22,29.269,33.591,33.597,31.325,23.937,15.721,13.814
1952,12.629,13.264,11.79,14.094,21.035,29.369,33.527,33.452,31.293,22.469,14.99,13.784
1953,11.595,13.843,13.775,14.031,21.387,30.367,33.527,33.597,31.225,22.424,15.059,14.43
1954,11.625,13.426,12.122,15.101,22.021,29.169,33.527,33.597,31.325,21.636,14.59,13.784
1955,11.413,12.625,12.376,13.132,20.019,30.117,33.627,33.498,31.325,22.569,15.059,13.814
1956,11.926,12.344,11.689,14.463,21.004,28.018,32.194,33.497,31.126,22.469,14.99,13.814
1957,12.264,12.157,10.92,12.963,20.407,29.904,33.642,33.582,31.225,22.369,15.659,14.082
1958,12.81,13.011,12.076,14.532,20.903,31.769,33.627,33.743,31.293,22.614,15.358,13.814
1959,12.012,12.625,12.144,13.763,20.556,29.215,33.465,33.597,30.925,22.769,15.659,13.814
1960,11.712,13.443,11.79,13.7,20.356,30.485,33.627,33.698,31.34,22.568,14.958,13.814
1961,12.012,11.79,12.638,13.93,20.22,29.269,33.729,33.643,31.425,23.069,15.189,12.529
1962,11.343,12.757,11.79,13.763,20.22,31.849,35.143,33.598,31.425,21.751,15.39,13.814
1963,11.274,12.711,11.589,13.564,20.119,29.315,33.959,33.743,32.057,22.568,16.09,13.814
1964,11.881,12.625,12.457,14.295,19.388,29.585,32.336,33.597,31.34,22.738,15.158,13.814
1965,12.497,12.825,11.79,13.178,20.219,32.17,33.627,33.597,31.225,22.523,15.659,13.129
1966,11.625,13.758,12.021,14.263,21.24,29.101,34.744,33.529,31.239,22.3,16.041,13.814
1967,11.981,13.294,11.134,13.664,20.188,30.436,33.355,33.597,31.293,22.324,14.958,13.964
1968,11.481,11.94,11.689,13.482,20.556,30.082,33.465,33.597,32.046,22.779,15.458,13.784
1969,11.844,13.294,13.258,13.9,19.92,30.485,33.355,33.597,31.325,22.469,16.559,13.413
1970,12.012,12.296,11.589,14.248,19.718,27.969,33.479,33.552,31.293,22.469,14.99,13.756
1971,12.012,12.563,11.589,12.36,18.297,27.546,31.758,31.742,31.194,22.483,15.558,13.814
1972,11.843,11.826,11.02,13.596,19.651,28.706,34.159,33.383,30.157,21.1,15.458,13.814
1973,12.38,12.624,11.419,14.331,20.119,29.05,32.427,33.552,31.325,22.568,15.158,13.129
1974,11.729,12.226,12.376,14.449,19.951,28.952,32.929,31.548,31.225,23.701,15.091,13.014
1975,11.411,12.825,11.689,14.263,20.903,28.752,32.245,33.228,31.425,23.692,14.858,13.645
1976,12.313,12.625,11.69,12.978,19.87,28.752,32.982,31.979,31.025,22.424,17.096,13.784
1977,12.299,12.226,12.36,13.111,18.265,29.331,34.381,33.597,31.325,22.568,16.726,13.814
1978,11.744,12.209,10.534,13.164,21.151,29.269,33.696,34.283,30.943,22.551,16.272,14.114
1979,12.58,11.772,11.489,13.664,19.974,29.835,33.326,33.597,31.08,23.668,18.094,14.651
1980,12.08,13.011,11.789,14.563,20.751,27.515,31.125,33.597,30.99,23.069,15.659,13.814
1981,12.112,12.994,11.759,13.665,19.413,29.215,32.086,33.643,31.224,21.869,14.958,13.883
1982,12.68,11.872,10.703,13.11,19.524,28.236,35.281,33.483,31.561,22.469,15.659,13.814
1983,11.68,12.295,11.858,13.178,19.332,29.722,32.695,33.297,31.194,22.551,15.076,13.814
1984,12.012,11.841,12.107,13.664,20.904,28.015,33.527,33.35,31.126,22.568,14.958,13.814
1985,11.781,12.625,12.589,14.031,20.119,30.173,33.327,33.597,31.325,22.118,15.659,14.413
1986,12.012,12.625,11.689,13.763,19.218,28.968,32.19,33.282,31.225,22.132,15.659,13.882
1987,11.912,13.126,11.69,13.93,19.874,32.226,34.943,34.614,31.425,22.401,15.626,13.814
1988,12.442,13.211,11.79,14.394,21.118,28.801,33.527,33.597,32.542,22.5,15.659,14.682
1989,11.625,13.093,11.79,13.831,20.119,28.151,33.327,32.279,31.425,22.568,15.659,13.814
1990,12.779,13.025,11.403,13.831,20.051,29.6,32.459,33.596,31.34,22.537,15.659,13.914
1991,11.781,13.426,12.335,13.831,20.436,29.323,33.868,33.597,31.325,22.469,15.458,13.784
1992,11.643,11.658,12.603,14.131,19.286,29.269,34.164,33.611,31.324,22.469,15.85,13.784
1993,12.612,13.379,11.175,12.95,20.22,30.141,34.262,33.611,31.325,23.581,15.66,14.374
1994,12.826,12.427,12.658,13.147,21.24,29.369,33.527,33.611,31.325,22.469,15.512,13.846
1995,11.243,13.108,11.889,13.808,21.704,30.129,33.527,33.597,31.239,23.621,15.458,14.614
1996,11.98,12.4,12.689,13.763,21.417,28.912,33.464,33.597,31.325,22.469,15.749,14.129
1997,11.912,11.958,11.89,13.695,20.174,29.491,37.267,33.611,31.324,21.305,15.558,14.368
1998,11.04,13.379,11.68,14.363,20.459,31.475,33.527,33.597,31.571,24.714,17.848,14.017
1999,12.028,13.903,12.435,16.306,20.251,29.215,33.791,33.597,31.324,23.079,17.006,14.735
2000,12.912,12.839,11.89,14.848,20.188,29.028,33.527,33.597,31.325,23.81,17.828,14.199
2001,12.258,13.258,11.89,13.794,20.22,28.444,33.39,33.597,31.841,23.969,16.872,13.814
2002,12.465,13.394,12.674,13.963,20.442,29.284,35.838,33.597,31.325,22.469,15.721,13.784
