Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1951,9.143,9.916,9.582,9.263,14.697,24.847,33.029,30.503,26.818,18.081,11.698,10.536
1952,10.468,10.83,9.201,11.218,15.593,24.017,30.938,30.493,28.645,16.227,11.17,10.536
1953,8.895,10.944,11.734,10.951,15.704,27.505,30.782,30.503,27.09,16.227,10.541,11.324
1954,9.281,10.696,9.755,10.945,16.724,25.649,30.827,30.71,26.985,14.767,11.163,10.287
1955,9.549,10.469,10.769,9.786,14.625,25.605,31.637,30.483,26.917,15.271,10.647,9.974
1956,9.754,10.541,9.575,10.929,15.692,24.852,29.804,30.503,27.001,15.225,10.926,10.248
1957,9.581,9.815,8.979,9.784,14.631,24.904,30.93,31.556,27.001,16.227,11.544,10.536
1958,10.957,10.036,10.275,11.462,15.704,26.43,30.751,30.601,26.976,16.21,11.821,11.141
1959,9.755,9.984,10.275,10.469,14.918,25.963,30.751,30.503,27.09,16.227,11.17,11.101
1960,9.674,11.683,9.56,10.292,15.023,26.396,30.931,30.503,27.41,16.227,10.516,10.625
1961,9.769,9.158,10.193,10.569,14.845,24.852,30.917,30.503,27.036,16.322,10.97,9.176
1962,9.718,10.275,9.575,10.469,14.714,26.12,31.926,30.503,26.995,15.558,11.732,10.744
1963,9.375,10.93,9.546,10.305,14.714,24.778,32.488,30.483,27.817,16.612,12.508,10.536
1964,9.486,10.268,10.974,11.301,13.989,25.4,30.381,30.577,26.99,16.853,10.605,10.636
1965,11.022,10.295,9.434,9.98,14.897,27.994,30.826,31.382,27.013,16.346,11.243,10.162
1966,9.764,11.593,9.816,10.418,14.956,24.014,32.978,30.503,27.023,17.2,11.096,10.37
1967,9.561,10.977,9.201,10.193,14.624,24.942,30.931,29.326,25.951,16.227,10.874,10.536
1968,9.499,9.302,9.603,10.474,14.603,25.067,30.263,30.503,26.401,16.227,10.838,10.536
1969,9.831,10.754,10.989,10.5,14.106,25.619,31.029,30.503,27.115,16.535,11.124,10.063
1970,9.769,9.727,9.575,11.193,14.833,23.468,30.345,30.503,27.015,16.054,10.82,10.232
1971,9.754,9.984,9.575,10.576,13.76,21.647,29.616,29.135,26.55,16.227,11.18,10.694
1972,10.127,9.201,9.648,10.204,15.726,26.288,31.851,30.15,25.609,15.946,11.186,10.904
1973,10.069,9.815,9.648,11.53,15.651,24.602,30.771,30.503,27.174,16.227,10.991,9.821
1974,9.74,9.499,10.548,11.589,14.714,24.852,30.934,29.334,26.699,16.774,11.147,9.821
1975,9.19,9.704,9.56,11.259,15.744,23.389,30.801,30.518,26.134,16.227,10.703,10.516
1976,10.418,9.985,9.575,10.114,14.551,23.461,30.699,28.773,26.553,16.154,11.954,10.536
1977,9.824,9.697,9.801,10.462,13.364,24.957,28.753,30.518,26.205,16.227,11.969,10.536
1978,9.755,9.318,8.609,10.552,16.544,24.697,29.604,29.778,26.779,16.227,11.879,10.722
1979,10.338,9.328,9.255,10.402,13.07,24.78,30.88,30.15,28.376,17.355,12.637,10.675
1980,9.868,10.687,9.487,11.229,15.64,23.258,30.374,30.503,27.242,17.153,11.17,10.536
1981,9.674,10,9.303,10.572,14.431,24.96,29.669,30.518,27.182,16.227,10.97,10.536
1982,9.779,9.391,8.302,9.784,13.145,24.815,32.644,30.518,27.068,16.227,11.195,11.145
1983,9.667,9.318,9.142,8.824,13.823,25.381,30.778,30.503,27.08,16.084,10.808,10.536
1984,9.481,8.814,10.644,10.484,16.724,24.854,30.801,30.054,26.197,15.934,11.127,10.535
1985,9.602,10.268,11.237,10.569,15.377,25.323,30.827,30.503,27.001,15.194,11.17,10.744
1986,9.755,9.592,9.575,10.598,13.561,24.847,29.5,30.348,27,16.195,11.463,9.875
1987,9.392,10.757,9.831,10.687,13.625,27.068,34.987,32.012,28.459,17.326,11.235,11.032
1988,10.936,10.805,9.66,11.77,16.351,24.947,30.947,30.503,28.718,16.41,11.18,11.015
1989,9.254,10.268,9.601,10.471,14.994,23.46,30.941,30.459,27.09,16.227,11.17,10.536
1990,11.234,9.984,8.844,10.212,14.005,25.307,30.449,30.53,27.552,15.7,11.18,10.536
1991,9.469,10.696,9.575,10.119,15.17,25.139,34.244,30.503,27.353,16.227,10.875,10.536
1992,9.879,9.303,9.585,10.297,14.276,26.404,30.941,30.503,27.044,16.227,11.199,10.536
1993,10.116,10.927,8.983,9.513,14.905,24.879,31.623,31.948,25.751,16.227,11.192,10.688
1994,10.478,9.985,10.275,9.968,15.724,25.692,30.599,30.503,27.09,16.227,11.17,10.708
1995,9.711,9.985,9.415,10.484,16.318,27.404,30.72,29.464,27.515,16.233,11.168,11.046
1996,9.779,9.984,9.698,10.5,14.704,24.491,30.457,30.334,26.991,16.227,11.17,10.209
1997,9.853,9.984,9.575,9.593,13.786,24.147,32.559,30.503,26.923,14.476,11.18,9.766
1998,8.906,10.029,8.985,10.59,15.998,25.088,30.776,30.428,27.151,16.227,12.014,10.718
1999,9.953,11.706,10.236,11.56,14.919,24.869,31.503,31.332,27.013,16.227,12.172,11.058
2000,10.4,9.745,9.575,11.52,14.999,23.701,30.931,30.588,27.804,17.096,12.473,11.617
2001,9.831,10.595,9.68,10.402,14.625,22.283,31.547,32.35,28.52,17.329,11.749,11.624
2002,10.056,10.266,10.275,11.265,15.962,24.889,34.58,31.53,27.075,16.227,11.18,10.931
